Running MPI Bcast benchmark: map=core, np=2, broadcast_algo= ...
Running MPI Bcast benchmark: map=core, np=4, broadcast_algo= ...
Running MPI Bcast benchmark: map=core, np=8, broadcast_algo= ...
Running MPI Bcast benchmark: map=core, np=16, broadcast_algo= ...
Running MPI Bcast benchmark: map=core, np=32, broadcast_algo= ...
Running MPI Bcast benchmark: map=core, np=64, broadcast_algo= ...
Running MPI Bcast benchmark: map=core, np=128, broadcast_algo= ...
Running MPI Bcast benchmark: map=core, np=256, broadcast_algo= ...
Running MPI Bcast benchmark: map=socket, np=2, broadcast_algo= ...
Running MPI Bcast benchmark: map=socket, np=4, broadcast_algo= ...
Running MPI Bcast benchmark: map=socket, np=8, broadcast_algo= ...
Running MPI Bcast benchmark: map=socket, np=16, broadcast_algo= ...
Running MPI Bcast benchmark: map=socket, np=32, broadcast_algo= ...
Running MPI Bcast benchmark: map=socket, np=64, broadcast_algo= ...
Running MPI Bcast benchmark: map=socket, np=128, broadcast_algo= ...
Running MPI Bcast benchmark: map=socket, np=256, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=2, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=4, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=8, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=16, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=32, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=64, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=128, broadcast_algo= ...
Running MPI Bcast benchmark: map=node, np=256, broadcast_algo= ...
