Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
bin_tree,core,2,1,0.16
bin_tree,core,2,2,0.16
bin_tree,core,2,4,0.15
bin_tree,core,2,8,0.16
bin_tree,core,2,16,0.16
bin_tree,core,2,32,0.15
bin_tree,core,2,64,0.15
bin_tree,core,2,128,0.23
bin_tree,core,2,256,0.25
bin_tree,core,2,512,0.27
bin_tree,core,2,1024,0.29
bin_tree,core,2,2048,0.34
bin_tree,core,2,4096,0.42
bin_tree,core,2,8192,0.59
bin_tree,core,2,16384,4.45
bin_tree,core,2,32768,5.41
bin_tree,core,2,65536,6.82
bin_tree,core,2,131072,11.11
bin_tree,core,2,262144,26.39
bin_tree,core,2,524288,51.40
bin_tree,core,2,1048576,106.88
bin_tree,core,4,1,0.18
bin_tree,core,4,2,0.19
bin_tree,core,4,4,0.18
bin_tree,core,4,8,0.19
bin_tree,core,4,16,0.19
bin_tree,core,4,32,0.19
bin_tree,core,4,64,0.19
bin_tree,core,4,128,0.32
bin_tree,core,4,256,0.36
bin_tree,core,4,512,0.36
bin_tree,core,4,1024,0.41
bin_tree,core,4,2048,0.53
bin_tree,core,4,4096,0.73
bin_tree,core,4,8192,1.09
bin_tree,core,4,16384,6.27
bin_tree,core,4,32768,7.76
bin_tree,core,4,65536,10.66
bin_tree,core,4,131072,19.88
bin_tree,core,4,262144,38.30
bin_tree,core,4,524288,86.03
bin_tree,core,4,1048576,177.89
bin_tree,core,8,1,0.82
bin_tree,core,8,2,0.79
bin_tree,core,8,4,0.81
bin_tree,core,8,8,0.80
bin_tree,core,8,16,0.83
bin_tree,core,8,32,0.87
bin_tree,core,8,64,0.88
bin_tree,core,8,128,1.19
bin_tree,core,8,256,1.25
bin_tree,core,8,512,1.35
bin_tree,core,8,1024,1.45
bin_tree,core,8,2048,2.11
bin_tree,core,8,4096,3.26
bin_tree,core,8,8192,5.28
bin_tree,core,8,16384,11.99
bin_tree,core,8,32768,19.61
bin_tree,core,8,65536,34.53
bin_tree,core,8,131072,64.53
bin_tree,core,8,262144,124.51
bin_tree,core,8,524288,240.57
bin_tree,core,8,1048576,447.88
bin_tree,core,16,1,1.53
bin_tree,core,16,2,1.44
bin_tree,core,16,4,1.46
bin_tree,core,16,8,1.47
bin_tree,core,16,16,1.47
bin_tree,core,16,32,1.46
bin_tree,core,16,64,1.47
bin_tree,core,16,128,2.15
bin_tree,core,16,256,2.19
bin_tree,core,16,512,2.34
bin_tree,core,16,1024,2.67
bin_tree,core,16,2048,3.73
bin_tree,core,16,4096,5.85
bin_tree,core,16,8192,9.41
bin_tree,core,16,16384,20.27
bin_tree,core,16,32768,34.11
bin_tree,core,16,65536,62.80
bin_tree,core,16,131072,121.43
bin_tree,core,16,262144,235.20
bin_tree,core,16,524288,464.62
bin_tree,core,16,1048576,898.55
bin_tree,core,32,1,2.22
bin_tree,core,32,2,2.32
bin_tree,core,32,4,2.09
bin_tree,core,32,8,3.56
bin_tree,core,32,16,2.08
bin_tree,core,32,32,2.28
bin_tree,core,32,64,2.17
bin_tree,core,32,128,3.51
bin_tree,core,32,256,3.40
bin_tree,core,32,512,3.47
bin_tree,core,32,1024,4.10
bin_tree,core,32,2048,5.77
bin_tree,core,32,4096,9.63
bin_tree,core,32,8192,16.58
bin_tree,core,32,16384,34.22
bin_tree,core,32,32768,60.35
bin_tree,core,32,65536,122.91
bin_tree,core,32,131072,225.02
bin_tree,core,32,262144,453.25
bin_tree,core,32,524288,887.97
bin_tree,core,32,1048576,1683.03
bin_tree,core,64,1,2.56
bin_tree,core,64,2,2.85
bin_tree,core,64,4,2.91
bin_tree,core,64,8,2.72
bin_tree,core,64,16,2.90
bin_tree,core,64,32,3.00
bin_tree,core,64,64,2.77
bin_tree,core,64,128,4.02
bin_tree,core,64,256,4.60
bin_tree,core,64,512,4.57
bin_tree,core,64,1024,5.21
bin_tree,core,64,2048,7.86
bin_tree,core,64,4096,14.13
bin_tree,core,64,8192,24.37
bin_tree,core,64,16384,60.20
bin_tree,core,64,32768,100.17
bin_tree,core,64,65536,187.52
bin_tree,core,64,131072,426.39
bin_tree,core,64,262144,859.42
bin_tree,core,64,524288,1444.85
bin_tree,core,64,1048576,2867.00
bin_tree,core,128,1,4.17
bin_tree,core,128,2,4.67
bin_tree,core,128,4,4.49
bin_tree,core,128,8,4.25
bin_tree,core,128,16,4.23
bin_tree,core,128,32,4.29
bin_tree,core,128,64,4.09
bin_tree,core,128,128,6.02
bin_tree,core,128,256,6.24
bin_tree,core,128,512,7.18
bin_tree,core,128,1024,7.10
bin_tree,core,128,2048,10.83
bin_tree,core,128,4096,20.00
bin_tree,core,128,8192,35.86
bin_tree,core,128,16384,97.08
bin_tree,core,128,32768,168.90
bin_tree,core,128,65536,322.58
bin_tree,core,128,131072,676.06
bin_tree,core,128,262144,1238.86
bin_tree,core,128,524288,2243.66
bin_tree,core,128,1048576,4283.64
