Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
bin_tree,core,2,1,0.18
bin_tree,core,2,2,0.17
bin_tree,core,2,4,0.17
bin_tree,core,2,8,0.17
bin_tree,core,2,16,0.17
bin_tree,core,2,32,0.17
bin_tree,core,2,64,0.17
bin_tree,core,2,128,0.24
bin_tree,core,2,256,0.25
bin_tree,core,2,512,0.28
bin_tree,core,2,1024,0.31
bin_tree,core,2,2048,0.36
bin_tree,core,2,4096,0.43
bin_tree,core,2,8192,0.60
bin_tree,core,2,16384,4.01
bin_tree,core,2,32768,4.28
bin_tree,core,2,65536,6.13
bin_tree,core,2,131072,11.00
bin_tree,core,2,262144,24.89
bin_tree,core,2,524288,57.70
bin_tree,core,2,1048576,113.20
bin_tree,core,4,1,0.18
bin_tree,core,4,2,0.18
bin_tree,core,4,4,0.18
bin_tree,core,4,8,0.18
bin_tree,core,4,16,0.18
bin_tree,core,4,32,0.18
bin_tree,core,4,64,0.18
bin_tree,core,4,128,0.32
bin_tree,core,4,256,0.30
bin_tree,core,4,512,0.34
bin_tree,core,4,1024,0.38
bin_tree,core,4,2048,0.49
bin_tree,core,4,4096,0.69
bin_tree,core,4,8192,1.07
bin_tree,core,4,16384,6.15
bin_tree,core,4,32768,7.37
bin_tree,core,4,65536,10.58
bin_tree,core,4,131072,17.43
bin_tree,core,4,262144,41.05
bin_tree,core,4,524288,92.33
bin_tree,core,4,1048576,185.58
bin_tree,core,6,1,0.36
bin_tree,core,6,2,0.36
bin_tree,core,6,4,0.38
bin_tree,core,6,8,0.37
bin_tree,core,6,16,0.37
bin_tree,core,6,32,0.42
bin_tree,core,6,64,0.41
bin_tree,core,6,128,0.65
bin_tree,core,6,256,0.64
bin_tree,core,6,512,0.74
bin_tree,core,6,1024,0.81
bin_tree,core,6,2048,1.14
bin_tree,core,6,4096,1.75
bin_tree,core,6,8192,2.69
bin_tree,core,6,16384,10.46
bin_tree,core,6,32768,15.74
bin_tree,core,6,65536,27.68
bin_tree,core,6,131072,51.86
bin_tree,core,6,262144,100.71
bin_tree,core,6,524288,203.35
bin_tree,core,6,1048576,392.12
bin_tree,core,8,1,0.85
bin_tree,core,8,2,0.94
bin_tree,core,8,4,0.90
bin_tree,core,8,8,0.90
bin_tree,core,8,16,0.87
bin_tree,core,8,32,0.93
bin_tree,core,8,64,0.98
bin_tree,core,8,128,1.33
bin_tree,core,8,256,1.32
bin_tree,core,8,512,1.67
bin_tree,core,8,1024,1.60
bin_tree,core,8,2048,2.10
bin_tree,core,8,4096,2.98
bin_tree,core,8,8192,4.87
bin_tree,core,8,16384,13.10
bin_tree,core,8,32768,19.05
bin_tree,core,8,65536,33.36
bin_tree,core,8,131072,63.57
bin_tree,core,8,262144,123.65
bin_tree,core,8,524288,243.54
bin_tree,core,8,1048576,455.53
bin_tree,core,10,1,1.19
bin_tree,core,10,2,1.26
bin_tree,core,10,4,1.24
bin_tree,core,10,8,1.30
bin_tree,core,10,16,1.27
bin_tree,core,10,32,1.59
bin_tree,core,10,64,1.52
bin_tree,core,10,128,1.81
bin_tree,core,10,256,1.84
bin_tree,core,10,512,1.92
bin_tree,core,10,1024,2.05
bin_tree,core,10,2048,2.72
bin_tree,core,10,4096,3.90
bin_tree,core,10,8192,6.15
bin_tree,core,10,16384,15.77
bin_tree,core,10,32768,25.25
bin_tree,core,10,65536,44.25
bin_tree,core,10,131072,82.03
bin_tree,core,10,262144,155.41
bin_tree,core,10,524288,301.97
bin_tree,core,10,1048576,573.15
bin_tree,core,12,1,1.22
bin_tree,core,12,2,1.23
bin_tree,core,12,4,1.22
