Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
bin_tree,core,2,1,0.18
bin_tree,core,2,2,0.20
bin_tree,core,2,4,0.17
bin_tree,core,2,8,0.15
bin_tree,core,2,16,0.16
bin_tree,core,2,32,0.15
bin_tree,core,2,64,0.16
bin_tree,core,2,128,0.21
bin_tree,core,2,256,0.22
bin_tree,core,2,512,0.23
bin_tree,core,2,1024,0.26
bin_tree,core,3,1,0.28
bin_tree,core,3,2,0.28
bin_tree,core,3,4,0.28
bin_tree,core,3,8,0.27
bin_tree,core,3,16,0.28
bin_tree,core,3,32,0.28
bin_tree,core,3,64,0.28
bin_tree,core,3,128,0.37
bin_tree,core,3,256,0.38
bin_tree,core,3,512,0.41
bin_tree,core,3,1024,0.43
bin_tree,core,4,1,0.18
bin_tree,core,4,2,0.18
bin_tree,core,4,4,0.18
bin_tree,core,4,8,0.18
bin_tree,core,4,16,0.18
bin_tree,core,4,32,0.18
bin_tree,core,4,64,0.18
bin_tree,core,4,128,0.30
bin_tree,core,4,256,0.31
bin_tree,core,4,512,0.36
bin_tree,core,4,1024,0.38
bin_tree,core,5,1,0.42
bin_tree,core,5,2,0.47
bin_tree,core,5,4,0.42
bin_tree,core,5,8,0.35
bin_tree,core,5,16,0.32
bin_tree,core,5,32,0.35
bin_tree,core,5,64,0.34
bin_tree,core,5,128,0.54
bin_tree,core,5,256,0.55
bin_tree,core,5,512,0.62
bin_tree,core,5,1024,0.65
bin_tree,core,6,1,0.37
bin_tree,core,6,2,0.38
bin_tree,core,6,4,0.37
bin_tree,core,6,8,0.38
bin_tree,core,6,16,0.37
bin_tree,core,6,32,0.42
bin_tree,core,6,64,0.41
bin_tree,core,6,128,0.66
bin_tree,core,6,256,0.67
bin_tree,core,6,512,0.75
bin_tree,core,6,1024,0.80
bin_tree,core,7,1,0.48
bin_tree,core,7,2,0.49
bin_tree,core,7,4,0.51
bin_tree,core,7,8,0.52
bin_tree,core,7,16,0.51
bin_tree,core,7,32,0.58
bin_tree,core,7,64,0.58
bin_tree,core,7,128,0.90
bin_tree,core,7,256,0.86
bin_tree,core,7,512,0.97
bin_tree,core,7,1024,1.07
bin_tree,core,8,1,0.83
bin_tree,core,8,2,0.83
bin_tree,core,8,4,0.92
bin_tree,core,8,8,0.92
bin_tree,core,8,16,0.90
bin_tree,core,8,32,0.97
bin_tree,core,8,64,1.01
bin_tree,core,8,128,1.28
bin_tree,core,8,256,1.32
bin_tree,core,8,512,1.41
bin_tree,core,8,1024,1.59
bin_tree,core,9,1,1.38
bin_tree,core,9,2,1.29
bin_tree,core,9,4,1.26
bin_tree,core,9,8,1.24
bin_tree,core,9,16,1.28
bin_tree,core,9,32,1.34
bin_tree,core,9,64,1.34
bin_tree,core,9,128,1.73
bin_tree,core,9,256,1.70
bin_tree,core,9,512,1.72
bin_tree,core,9,1024,1.91
bin_tree,core,10,1,1.34
bin_tree,core,10,2,1.25
bin_tree,core,10,4,1.22
bin_tree,core,10,8,1.24
bin_tree,core,10,16,1.22
bin_tree,core,10,32,1.34
bin_tree,core,10,64,1.31
bin_tree,core,10,128,1.79
bin_tree,core,10,256,1.81
bin_tree,core,10,512,1.97
bin_tree,core,10,1024,2.14
bin_tree,core,11,1,1.33
bin_tree,core,11,2,1.24
bin_tree,core,11,4,1.24
bin_tree,core,11,8,1.25
bin_tree,core,11,16,1.24
bin_tree,core,11,32,1.33
bin_tree,core,11,64,1.34
bin_tree,core,11,128,1.75
bin_tree,core,11,256,1.80
bin_tree,core,11,512,1.98
bin_tree,core,11,1024,2.24
bin_tree,core,12,1,1.24
bin_tree,core,12,2,1.23
bin_tree,core,12,4,1.24
bin_tree,core,12,8,1.23
bin_tree,core,12,16,1.23
bin_tree,core,12,32,1.39
bin_tree,core,12,64,1.35
bin_tree,core,12,128,1.83
bin_tree,core,12,256,1.88
bin_tree,core,12,512,2.14
bin_tree,core,12,1024,2.34
bin_tree,core,13,1,1.32
bin_tree,core,13,2,1.30
bin_tree,core,13,4,1.31
bin_tree,core,13,8,1.28
bin_tree,core,13,16,1.29
bin_tree,core,13,32,1.42
bin_tree,core,13,64,1.40
bin_tree,core,13,128,1.89
bin_tree,core,13,256,1.99
bin_tree,core,13,512,2.24
bin_tree,core,13,1024,2.29
bin_tree,core,14,1,1.26
bin_tree,core,14,2,1.25
bin_tree,core,14,4,1.26
bin_tree,core,14,8,1.26
bin_tree,core,14,16,1.27
bin_tree,core,14,32,1.44
bin_tree,core,14,64,1.44
bin_tree,core,14,128,1.98
bin_tree,core,14,256,2.10
bin_tree,core,14,512,2.37
bin_tree,core,14,1024,2.39
bin_tree,core,15,1,1.47
bin_tree,core,15,2,1.33
bin_tree,core,15,4,1.33
bin_tree,core,15,8,1.33
bin_tree,core,15,16,1.33
bin_tree,core,15,32,1.52
bin_tree,core,15,64,1.48
bin_tree,core,15,128,2.17
bin_tree,core,15,256,2.31
bin_tree,core,15,512,2.43
bin_tree,core,15,1024,2.57
bin_tree,core,16,1,1.26
bin_tree,core,16,2,1.27
bin_tree,core,16,4,1.28
bin_tree,core,16,8,1.28
bin_tree,core,16,16,1.28
bin_tree,core,16,32,1.46
bin_tree,core,16,64,1.45
bin_tree,core,16,128,2.22
bin_tree,core,16,256,2.23
bin_tree,core,16,512,2.48
bin_tree,core,16,1024,2.79
bin_tree,core,17,1,1.88
bin_tree,core,17,2,1.76
bin_tree,core,17,4,1.79
bin_tree,core,17,8,1.76
bin_tree,core,17,16,1.80
bin_tree,core,17,32,2.11
bin_tree,core,17,64,2.03
bin_tree,core,17,128,2.91
bin_tree,core,17,256,2.99
bin_tree,core,17,512,3.02
bin_tree,core,17,1024,3.24
bin_tree,core,18,1,1.78
bin_tree,core,18,2,1.73
bin_tree,core,18,4,1.72
bin_tree,core,18,8,1.73
bin_tree,core,18,16,1.74
bin_tree,core,18,32,2.01
bin_tree,core,18,64,1.96
bin_tree,core,18,128,2.72
bin_tree,core,18,256,2.81
bin_tree,core,18,512,3.06
bin_tree,core,18,1024,3.15
bin_tree,core,19,1,1.83
bin_tree,core,19,2,1.78
bin_tree,core,19,4,1.79
bin_tree,core,19,8,1.78
bin_tree,core,19,16,1.80
bin_tree,core,19,32,2.02
bin_tree,core,19,64,2.04
bin_tree,core,19,128,2.85
bin_tree,core,19,256,2.86
bin_tree,core,19,512,2.96
bin_tree,core,19,1024,3.16
bin_tree,core,20,1,1.86
bin_tree,core,20,2,1.78
bin_tree,core,20,4,1.78
bin_tree,core,20,8,1.78
bin_tree,core,20,16,1.78
bin_tree,core,20,32,2.09
bin_tree,core,20,64,2.08
bin_tree,core,20,128,2.84
bin_tree,core,20,256,2.87
bin_tree,core,20,512,2.94
bin_tree,core,20,1024,3.17
bin_tree,core,21,1,1.92
bin_tree,core,21,2,1.90
bin_tree,core,21,4,1.87
bin_tree,core,21,8,1.88
bin_tree,core,21,16,1.89
bin_tree,core,21,32,2.16
bin_tree,core,21,64,2.15
bin_tree,core,21,128,3.06
bin_tree,core,21,256,2.73
bin_tree,core,21,512,3.10
bin_tree,core,21,1024,3.20
bin_tree,core,22,1,2.04
bin_tree,core,22,2,1.89
bin_tree,core,22,4,1.88
bin_tree,core,22,8,1.87
bin_tree,core,22,16,1.87
bin_tree,core,22,32,2.08
bin_tree,core,22,64,2.15
bin_tree,core,22,128,2.92
bin_tree,core,22,256,2.94
bin_tree,core,22,512,3.09
bin_tree,core,22,1024,3.35
bin_tree,core,23,1,2.06
bin_tree,core,23,2,1.90
bin_tree,core,23,4,1.90
bin_tree,core,23,8,1.88
bin_tree,core,23,16,1.90
bin_tree,core,23,32,2.16
bin_tree,core,23,64,2.40
bin_tree,core,23,128,2.95
bin_tree,core,23,256,3.05
bin_tree,core,23,512,3.22
bin_tree,core,23,1024,3.46
bin_tree,core,24,1,2.00
bin_tree,core,24,2,1.96
bin_tree,core,24,4,1.91
bin_tree,core,24,8,1.91
bin_tree,core,24,16,1.92
bin_tree,core,24,32,2.21
bin_tree,core,24,64,2.30
bin_tree,core,24,128,2.99
bin_tree,core,24,256,2.95
bin_tree,core,24,512,3.23
bin_tree,core,24,1024,3.45
bin_tree,core,25,1,1.95
bin_tree,core,25,2,1.98
bin_tree,core,25,4,1.96
bin_tree,core,25,8,1.97
bin_tree,core,25,16,1.95
bin_tree,core,25,32,2.20
bin_tree,core,25,64,2.28
bin_tree,core,25,128,3.08
bin_tree,core,25,256,2.93
bin_tree,core,25,512,3.23
bin_tree,core,25,1024,3.53
bin_tree,core,26,1,1.88
bin_tree,core,26,2,1.87
bin_tree,core,26,4,1.91
bin_tree,core,26,8,1.89
bin_tree,core,26,16,1.90
bin_tree,core,26,32,2.14
bin_tree,core,26,64,2.24
bin_tree,core,26,128,3.03
bin_tree,core,26,256,3.06
bin_tree,core,26,512,3.24
bin_tree,core,26,1024,3.53
bin_tree,core,27,1,1.94
bin_tree,core,27,2,1.93
bin_tree,core,27,4,1.91
bin_tree,core,27,8,1.92
bin_tree,core,27,16,1.91
bin_tree,core,27,32,2.20
bin_tree,core,27,64,2.31
bin_tree,core,27,128,3.06
bin_tree,core,27,256,2.98
bin_tree,core,27,512,3.27
bin_tree,core,27,1024,3.55
bin_tree,core,28,1,1.96
bin_tree,core,28,2,1.89
bin_tree,core,28,4,1.87
bin_tree,core,28,8,1.88
bin_tree,core,28,16,1.87
bin_tree,core,28,32,2.31
bin_tree,core,28,64,2.20
bin_tree,core,28,128,2.99
bin_tree,core,28,256,2.98
bin_tree,core,28,512,3.24
bin_tree,core,28,1024,3.56
bin_tree,core,29,1,1.91
bin_tree,core,29,2,1.92
bin_tree,core,29,4,1.91
bin_tree,core,29,8,1.92
bin_tree,core,29,16,1.94
bin_tree,core,29,32,2.27
bin_tree,core,29,64,2.26
bin_tree,core,29,128,2.98
bin_tree,core,29,256,3.07
bin_tree,core,29,512,3.29
bin_tree,core,29,1024,3.59
bin_tree,core,30,1,1.91
bin_tree,core,30,2,1.90
bin_tree,core,30,4,1.91
bin_tree,core,30,8,1.91
bin_tree,core,30,16,1.97
bin_tree,core,30,32,2.45
bin_tree,core,30,64,2.21
bin_tree,core,30,128,3.01
bin_tree,core,30,256,3.06
bin_tree,core,30,512,3.37
bin_tree,core,30,1024,3.77
bin_tree,core,31,1,2.00
bin_tree,core,31,2,2.02
bin_tree,core,31,4,2.00
bin_tree,core,31,8,2.02
bin_tree,core,31,16,2.01
bin_tree,core,31,32,2.34
bin_tree,core,31,64,2.42
bin_tree,core,31,128,3.28
bin_tree,core,31,256,3.25
bin_tree,core,31,512,3.49
bin_tree,core,31,1024,3.83
bin_tree,core,32,1,1.91
bin_tree,core,32,2,1.88
bin_tree,core,32,4,1.98
bin_tree,core,32,8,1.87
bin_tree,core,32,16,1.81
bin_tree,core,32,32,2.09
bin_tree,core,32,64,2.05
bin_tree,core,32,128,3.25
bin_tree,core,32,256,3.33
bin_tree,core,32,512,3.54
bin_tree,core,32,1024,3.87
bin_tree,core,33,1,2.60
bin_tree,core,33,2,2.65
bin_tree,core,33,4,2.62
bin_tree,core,33,8,2.55
bin_tree,core,33,16,2.60
bin_tree,core,33,32,2.93
bin_tree,core,33,64,2.92
bin_tree,core,33,128,4.58
bin_tree,core,33,256,4.37
bin_tree,core,33,512,4.54
bin_tree,core,33,1024,4.90
bin_tree,core,34,1,2.65
bin_tree,core,34,2,2.63
bin_tree,core,34,4,2.62
bin_tree,core,34,8,2.54
bin_tree,core,34,16,2.54
bin_tree,core,34,32,2.83
bin_tree,core,34,64,2.88
bin_tree,core,34,128,4.21
bin_tree,core,34,256,4.23
bin_tree,core,34,512,4.43
bin_tree,core,34,1024,4.86
bin_tree,core,35,1,2.58
bin_tree,core,35,2,2.72
bin_tree,core,35,4,2.67
bin_tree,core,35,8,2.54
bin_tree,core,35,16,2.57
bin_tree,core,35,32,2.82
bin_tree,core,35,64,2.78
bin_tree,core,35,128,3.98
bin_tree,core,35,256,4.05
bin_tree,core,35,512,4.22
bin_tree,core,35,1024,4.61
bin_tree,core,36,1,2.55
bin_tree,core,36,2,2.73
bin_tree,core,36,4,2.50
bin_tree,core,36,8,2.51
bin_tree,core,36,16,2.51
bin_tree,core,36,32,2.78
bin_tree,core,36,64,2.72
bin_tree,core,36,128,3.92
bin_tree,core,36,256,4.50
bin_tree,core,36,512,4.29
bin_tree,core,36,1024,4.64
bin_tree,core,37,1,2.56
bin_tree,core,37,2,2.55
bin_tree,core,37,4,2.52
bin_tree,core,37,8,2.51
bin_tree,core,37,16,2.51
bin_tree,core,37,32,2.81
bin_tree,core,37,64,2.78
bin_tree,core,37,128,3.90
bin_tree,core,37,256,3.98
bin_tree,core,37,512,4.22
bin_tree,core,37,1024,4.56
bin_tree,core,38,1,2.66
bin_tree,core,38,2,2.81
bin_tree,core,38,4,2.54
bin_tree,core,38,8,2.55
bin_tree,core,38,16,2.88
bin_tree,core,38,32,2.81
bin_tree,core,38,64,2.90
bin_tree,core,38,128,3.89
bin_tree,core,38,256,3.97
bin_tree,core,38,512,4.40
bin_tree,core,38,1024,4.69
bin_tree,core,39,1,2.57
bin_tree,core,39,2,2.75
bin_tree,core,39,4,2.54
bin_tree,core,39,8,2.54
bin_tree,core,39,16,2.67
bin_tree,core,39,32,2.88
bin_tree,core,39,64,2.78
bin_tree,core,39,128,3.94
bin_tree,core,39,256,4.01
bin_tree,core,39,512,4.36
bin_tree,core,39,1024,4.70
bin_tree,core,40,1,2.70
bin_tree,core,40,2,2.51
bin_tree,core,40,4,2.52
bin_tree,core,40,8,2.56
bin_tree,core,40,16,2.64
bin_tree,core,40,32,2.77
bin_tree,core,40,64,2.83
bin_tree,core,40,128,3.93
bin_tree,core,40,256,3.97
bin_tree,core,40,512,4.35
bin_tree,core,40,1024,5.10
bin_tree,core,41,1,2.75
bin_tree,core,41,2,2.63
bin_tree,core,41,4,2.56
bin_tree,core,41,8,2.59
bin_tree,core,41,16,2.68
bin_tree,core,41,32,3.04
bin_tree,core,41,64,2.81
