Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
chain,core,2,1,0.17
chain,core,2,2,0.15
chain,core,2,4,0.15
chain,core,2,8,0.15
chain,core,2,16,0.15
chain,core,2,32,0.15
chain,core,2,64,0.15
chain,core,2,128,0.26
chain,core,2,256,0.24
chain,core,2,512,0.25
chain,core,2,1024,0.28
chain,core,2,2048,0.32
chain,core,2,4096,0.42
chain,core,2,8192,0.57
chain,core,2,16384,4.49
chain,core,2,32768,5.36
chain,core,2,65536,6.96
chain,core,2,131072,10.89
chain,core,2,262144,26.07
chain,core,2,524288,57.79
chain,core,2,1048576,115.52
chain,core,4,1,0.18
chain,core,4,2,0.16
chain,core,4,4,0.16
chain,core,4,8,0.15
chain,core,4,16,0.16
chain,core,4,32,0.16
chain,core,4,64,0.16
chain,core,4,128,0.26
chain,core,4,256,0.30
chain,core,4,512,0.32
chain,core,4,1024,0.35
chain,core,4,2048,0.49
chain,core,4,4096,0.69
chain,core,4,8192,1.09
chain,core,4,16384,4.60
chain,core,4,32768,5.40
chain,core,4,65536,8.32
chain,core,4,131072,17.11
chain,core,4,262144,40.05
chain,core,4,524288,94.70
chain,core,4,1048576,192.75
chain,core,8,1,0.78
chain,core,8,2,0.78
chain,core,8,4,0.79
chain,core,8,8,0.77
chain,core,8,16,1.00
chain,core,8,32,0.91
chain,core,8,64,0.93
chain,core,8,128,1.28
chain,core,8,256,1.34
chain,core,8,512,1.41
chain,core,8,1024,1.57
chain,core,8,2048,2.02
chain,core,8,4096,2.80
chain,core,8,8192,4.36
chain,core,8,16384,7.98
chain,core,8,32768,12.30
chain,core,8,65536,25.28
chain,core,8,131072,50.94
chain,core,8,262144,111.90
chain,core,8,524288,224.24
chain,core,8,1048576,400.70
chain,core,16,1,1.15
chain,core,16,2,1.50
chain,core,16,4,1.16
chain,core,16,8,1.15
chain,core,16,16,1.16
chain,core,16,32,1.31
chain,core,16,64,1.31
chain,core,16,128,1.91
chain,core,16,256,1.94
chain,core,16,512,2.11
chain,core,16,1024,2.29
chain,core,16,2048,3.05
chain,core,16,4096,4.14
chain,core,16,8192,6.72
chain,core,16,16384,15.26
chain,core,16,32768,25.13
chain,core,16,65536,44.62
chain,core,16,131072,88.68
chain,core,16,262144,185.68
chain,core,16,524288,410.55
chain,core,16,1048576,805.61
chain,core,32,1,3.17
chain,core,32,2,2.18
chain,core,32,4,2.14
chain,core,32,8,2.80
chain,core,32,16,2.21
chain,core,32,32,3.29
chain,core,32,64,3.27
chain,core,32,128,3.12
chain,core,32,256,3.01
chain,core,32,512,3.28
chain,core,32,1024,4.15
chain,core,32,2048,4.54
chain,core,32,4096,5.94
chain,core,32,8192,9.30
chain,core,32,16384,24.07
chain,core,32,32768,38.05
chain,core,32,65536,69.94
chain,core,32,131072,134.94
chain,core,32,262144,300.46
chain,core,32,524288,600.55
chain,core,32,1048576,1059.77
chain,core,64,1,4.31
chain,core,64,2,4.57
chain,core,64,4,4.16
chain,core,64,8,3.92
chain,core,64,16,3.89
chain,core,64,32,5.83
chain,core,64,64,5.13
chain,core,64,128,4.83
chain,core,64,256,4.90
chain,core,64,512,6.11
chain,core,64,1024,6.46
chain,core,64,2048,7.24
chain,core,64,4096,10.30
chain,core,64,8192,15.08
chain,core,64,16384,43.24
chain,core,64,32768,66.90
chain,core,64,65536,117.99
chain,core,64,131072,226.26
chain,core,64,262144,450.33
chain,core,64,524288,909.46
chain,core,64,1048576,1789.25
chain,core,128,1,8.61
chain,core,128,2,8.96
chain,core,128,4,8.21
chain,core,128,8,7.72
chain,core,128,16,7.60
chain,core,128,32,8.21
chain,core,128,64,7.88
chain,core,128,128,9.43
chain,core,128,256,9.35
