Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
chain,core,2,1,0.15
chain,core,2,2,0.15
chain,core,2,4,0.15
chain,core,2,8,0.15
chain,core,2,16,0.14
chain,core,2,32,0.15
chain,core,2,64,0.15
chain,core,2,128,0.22
chain,core,2,256,0.22
chain,core,2,512,0.24
chain,core,2,1024,0.27
chain,core,2,2048,0.31
chain,core,2,4096,0.42
chain,core,2,8192,0.57
chain,core,2,16384,3.96
chain,core,2,32768,4.71
chain,core,2,65536,5.78
chain,core,2,131072,9.14
chain,core,2,262144,20.44
chain,core,2,524288,46.76
chain,core,2,1048576,87.34
chain,core,4,1,0.16
chain,core,4,2,0.16
chain,core,4,4,0.16
chain,core,4,8,0.16
chain,core,4,16,0.16
chain,core,4,32,0.16
chain,core,4,64,0.16
chain,core,4,128,0.34
chain,core,4,256,0.31
chain,core,4,512,0.34
chain,core,4,1024,0.40
chain,core,4,2048,0.50
chain,core,4,4096,0.71
chain,core,4,8192,1.12
chain,core,4,16384,4.25
chain,core,4,32768,5.19
chain,core,4,65536,8.02
chain,core,4,131072,15.62
chain,core,4,262144,34.42
chain,core,4,524288,74.65
chain,core,4,1048576,154.65
chain,core,8,1,0.77
chain,core,8,2,0.84
chain,core,8,4,0.84
chain,core,8,8,0.84
chain,core,8,16,0.83
chain,core,8,32,0.92
chain,core,8,64,1.63
chain,core,8,128,1.29
chain,core,8,256,1.30
chain,core,8,512,1.39
chain,core,8,1024,1.55
chain,core,8,2048,2.05
chain,core,8,4096,2.73
chain,core,8,8192,3.90
chain,core,8,16384,8.03
chain,core,8,32768,11.88
chain,core,8,65536,24.97
chain,core,8,131072,49.67
chain,core,8,262144,99.72
chain,core,8,524288,216.76
chain,core,8,1048576,391.10
chain,core,16,1,1.12
chain,core,16,2,1.14
chain,core,16,4,1.12
chain,core,16,8,1.14
chain,core,16,16,1.13
chain,core,16,32,1.29
chain,core,16,64,1.27
chain,core,16,128,1.91
chain,core,16,256,1.95
chain,core,16,512,2.14
chain,core,16,1024,2.36
chain,core,16,2048,3.25
chain,core,16,4096,4.09
chain,core,16,8192,5.95
chain,core,16,16384,15.01
chain,core,16,32768,22.51
chain,core,16,65536,42.64
chain,core,16,131072,83.22
chain,core,16,262144,167.60
chain,core,16,524288,383.64
chain,core,16,1048576,764.13
chain,core,32,1,2.17
chain,core,32,2,2.01
chain,core,32,4,2.14
chain,core,32,8,2.04
chain,core,32,16,1.95
chain,core,32,32,2.46
chain,core,32,64,2.13
chain,core,32,128,2.85
chain,core,32,256,2.90
chain,core,32,512,3.09
chain,core,32,1024,3.35
chain,core,32,2048,4.48
chain,core,32,4096,5.96
chain,core,32,8192,9.26
chain,core,32,16384,23.91
chain,core,32,32768,36.36
chain,core,32,65536,65.25
chain,core,32,131072,127.61
chain,core,32,262144,266.64
chain,core,32,524288,572.61
chain,core,32,1048576,1028.02
chain,core,64,1,4.11
chain,core,64,2,3.50
chain,core,64,4,3.55
chain,core,64,8,3.40
chain,core,64,16,3.40
chain,core,64,32,3.90
chain,core,64,64,3.84
chain,core,64,128,4.76
chain,core,64,256,4.89
chain,core,64,512,5.37
chain,core,64,1024,5.62
chain,core,64,2048,7.28
chain,core,64,4096,9.63
chain,core,64,8192,14.28
chain,core,64,16384,43.09
chain,core,64,32768,64.70
chain,core,64,65536,113.26
chain,core,64,131072,211.40
chain,core,64,262144,430.32
chain,core,64,524288,880.83
chain,core,64,1048576,1751.09
chain,core,128,1,7.75
chain,core,128,2,7.57
chain,core,128,4,8.27
chain,core,128,8,8.30
chain,core,128,16,7.71
chain,core,128,32,8.04
chain,core,128,64,8.32
chain,core,128,128,9.54
chain,core,128,256,10.29
chain,core,128,512,10.66
chain,core,128,1024,11.11
chain,core,128,2048,14.25
chain,core,128,4096,18.38
chain,core,128,8192,27.51
chain,core,128,16384,83.24
chain,core,128,32768,126.82
chain,core,128,65536,218.13
chain,core,128,131072,407.43
