Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
chain,core,28,1,2.05
chain,core,28,2,2.26
chain,core,28,4,1.93
chain,core,28,8,1.93
chain,core,28,16,1.92
chain,core,28,32,2.19
chain,core,28,64,2.19
chain,core,28,128,2.82
chain,core,28,256,2.90
chain,core,28,512,3.14
chain,core,28,1024,3.31
chain,core,28,2048,4.41
chain,core,28,4096,5.66
chain,core,28,8192,8.83
chain,core,28,16384,21.90
chain,core,28,32768,35.70
chain,core,28,65536,62.77
chain,core,28,131072,123.96
chain,core,28,262144,266.31
chain,core,28,524288,560.25
chain,core,28,1048576,1073.06
chain,core,16,1,1.07
chain,core,16,2,1.14
chain,core,16,4,1.12
chain,core,16,8,1.13
chain,core,16,16,1.14
chain,core,16,32,1.30
chain,core,16,64,1.37
chain,core,16,128,2.28
chain,core,16,256,2.09
chain,core,16,512,2.28
chain,core,16,1024,2.41
chain,core,16,2048,3.07
chain,core,16,4096,4.19
chain,core,16,8192,5.96
chain,core,16,16384,14.81
chain,core,16,32768,23.83
chain,core,16,65536,46.34
chain,core,16,131072,87.47
chain,core,16,262144,171.50
chain,core,16,524288,387.85
chain,core,16,1048576,748.96
chain,core,24,1,1.85
chain,core,24,2,1.86
chain,core,24,4,1.86
chain,core,24,8,1.87
chain,core,24,16,1.86
chain,core,24,32,2.61
chain,core,24,64,2.20
chain,core,24,128,2.85
chain,core,24,256,2.90
chain,core,24,512,3.11
chain,core,24,1024,3.43
chain,core,24,2048,4.39
chain,core,24,4096,5.77
chain,core,24,8192,9.11
chain,core,24,16384,20.69
chain,core,24,32768,33.28
chain,core,24,65536,59.49
chain,core,24,131072,114.65
chain,core,24,262144,238.08
chain,core,24,524288,461.77
chain,core,24,1048576,900.60
chain,core,32,1,1.89
chain,core,32,2,1.99
chain,core,32,4,2.28
chain,core,32,8,2.08
chain,core,32,16,2.08
chain,core,32,32,2.56
chain,core,32,64,3.10
chain,core,32,128,2.86
chain,core,32,256,2.93
chain,core,32,512,3.18
chain,core,32,1024,3.34
chain,core,32,2048,4.43
chain,core,32,4096,5.97
chain,core,32,8192,9.26
chain,core,32,16384,24.06
chain,core,32,32768,38.37
chain,core,32,65536,67.62
chain,core,32,131072,129.44
chain,core,32,262144,268.32
chain,core,32,524288,573.64
chain,core,32,1048576,1028.28
chain,core,40,1,3.51
chain,core,40,2,3.22
chain,core,40,4,3.25
chain,core,40,8,3.45
chain,core,40,16,3.34
chain,core,40,32,3.61
chain,core,40,64,3.55
chain,core,40,128,4.27
chain,core,40,256,4.31
chain,core,40,512,4.69
chain,core,40,1024,4.97
chain,core,40,2048,6.27
chain,core,40,4096,7.97
chain,core,40,8192,11.93
chain,core,40,16384,30.19
chain,core,40,32768,46.54
chain,core,40,65536,82.18
chain,core,40,131072,154.96
chain,core,40,262144,309.83
chain,core,40,524288,646.14
chain,core,40,1048576,1176.31
chain,core,48,1,3.26
chain,core,48,2,3.48
chain,core,48,4,3.61
chain,core,48,8,3.48
chain,core,48,16,3.27
chain,core,48,32,3.43
chain,core,48,64,3.37
chain,core,48,128,4.67
chain,core,48,256,4.55
chain,core,48,512,4.99
chain,core,48,1024,5.22
chain,core,48,2048,6.40
chain,core,48,4096,8.23
chain,core,48,8192,12.50
chain,core,48,16384,33.90
chain,core,48,32768,53.25
chain,core,48,65536,93.34
chain,core,48,131072,174.73
chain,core,48,262144,359.20
chain,core,48,524288,752.81
chain,core,48,1048576,1493.56
chain,core,56,1,3.65
chain,core,56,2,3.76
chain,core,56,4,3.69
chain,core,56,8,3.53
chain,core,56,16,3.42
chain,core,56,32,3.73
chain,core,56,64,3.68
chain,core,56,128,4.90
chain,core,56,256,5.05
chain,core,56,512,5.48
chain,core,56,1024,5.79
chain,core,56,2048,7.58
chain,core,56,4096,9.79
chain,core,56,8192,15.24
chain,core,56,16384,40.38
chain,core,56,32768,61.88
chain,core,56,65536,109.73
chain,core,56,131072,204.70
chain,core,56,262144,407.21
chain,core,56,524288,836.38
chain,core,56,1048576,1639.68
chain,core,64,1,3.83
chain,core,64,2,3.66
chain,core,64,4,3.79
chain,core,64,8,3.83
chain,core,64,16,3.53
chain,core,64,32,4.13
chain,core,64,64,3.95
chain,core,64,128,4.84
chain,core,64,256,4.94
chain,core,64,512,5.38
chain,core,64,1024,5.69
chain,core,64,2048,7.31
chain,core,64,4096,9.70
chain,core,64,8192,14.83
chain,core,64,16384,43.15
chain,core,64,32768,67.75
chain,core,64,65536,117.41
chain,core,64,131072,222.86
chain,core,64,262144,452.19
chain,core,64,524288,932.17
chain,core,64,1048576,1835.92
chain,core,72,1,4.16
chain,core,72,2,5.16
chain,core,72,4,4.38
chain,core,72,8,4.09
chain,core,72,16,4.11
chain,core,72,32,4.35
chain,core,72,64,4.39
chain,core,72,128,5.57
chain,core,72,256,5.53
chain,core,72,512,6.23
chain,core,72,1024,6.60
chain,core,72,2048,9.63
chain,core,72,4096,11.26
chain,core,72,8192,17.24
chain,core,72,16384,51.23
chain,core,72,32768,78.94
chain,core,72,65536,135.34
chain,core,72,131072,251.85
chain,core,72,262144,500.92
chain,core,72,524288,1020.40
chain,core,72,1048576,1942.66
chain,core,80,1,5.01
chain,core,80,2,5.15
chain,core,80,4,4.85
chain,core,80,8,4.84
chain,core,80,16,4.86
chain,core,80,32,5.12
chain,core,80,64,5.18
chain,core,80,128,6.32
chain,core,80,256,6.65
chain,core,80,512,7.31
chain,core,80,1024,7.67
chain,core,80,2048,9.67
chain,core,80,4096,13.30
chain,core,80,8192,18.47
chain,core,80,16384,55.02
chain,core,80,32768,84.65
chain,core,80,65536,145.28
chain,core,80,131072,270.81
chain,core,80,262144,546.74
chain,core,80,524288,1118.96
chain,core,80,1048576,2196.09
chain,core,88,1,6.11
chain,core,88,2,5.83
chain,core,88,4,5.76
chain,core,88,8,5.75
chain,core,88,16,5.77
chain,core,88,32,6.09
chain,core,88,64,6.07
chain,core,88,128,8.05
chain,core,88,256,8.00
chain,core,88,512,8.76
chain,core,88,1024,8.92
chain,core,88,2048,12.09
chain,core,88,4096,13.99
chain,core,88,8192,20.75
chain,core,88,16384,62.61
chain,core,88,32768,97.60
chain,core,88,65536,168.63
chain,core,88,131072,314.79
chain,core,88,262144,634.51
chain,core,88,524288,1286.73
chain,core,88,1048576,2508.23
chain,core,96,1,6.23
chain,core,96,2,6.23
chain,core,96,4,6.18
chain,core,96,8,6.16
chain,core,96,16,6.21
chain,core,96,32,6.65
chain,core,96,64,6.92
chain,core,96,128,8.45
chain,core,96,256,8.00
chain,core,96,512,10.22
chain,core,96,1024,10.15
chain,core,96,2048,11.85
chain,core,96,4096,15.02
chain,core,96,8192,21.98
chain,core,96,16384,66.05
chain,core,96,32768,103.29
chain,core,96,65536,178.20
chain,core,96,131072,333.70
chain,core,96,262144,667.46
chain,core,96,524288,1317.12
chain,core,96,1048576,2561.85
chain,core,104,1,7.02
chain,core,104,2,6.82
chain,core,104,4,6.79
chain,core,104,8,6.68
chain,core,104,16,6.64
chain,core,104,32,7.29
chain,core,104,64,7.89
chain,core,104,128,8.56
chain,core,104,256,9.81
chain,core,104,512,10.25
chain,core,104,1024,10.08
chain,core,104,2048,12.43
chain,core,104,4096,15.96
chain,core,104,8192,23.56
chain,core,104,16384,70.89
chain,core,104,32768,110.78
chain,core,104,65536,191.09
chain,core,104,131072,357.25
chain,core,104,262144,711.07
chain,core,104,524288,1449.42
chain,core,104,1048576,2870.27
chain,core,112,1,7.71
chain,core,112,2,7.19
chain,core,112,4,7.17
chain,core,112,8,7.15
chain,core,112,16,6.99
chain,core,112,32,8.08
chain,core,112,64,8.35
chain,core,112,128,10.72
chain,core,112,256,9.28
chain,core,112,512,9.72
chain,core,112,1024,10.53
chain,core,112,2048,13.37
chain,core,112,4096,16.83
chain,core,112,8192,25.11
chain,core,112,16384,75.60
chain,core,112,32768,117.72
chain,core,112,65536,202.34
chain,core,112,131072,380.66
chain,core,112,262144,761.51
chain,core,112,524288,1552.11
chain,core,112,1048576,2957.77
chain,core,120,1,9.16
chain,core,120,2,8.64
chain,core,120,4,8.22
chain,core,120,8,7.87
chain,core,120,16,7.86
chain,core,120,32,8.64
chain,core,120,64,8.49
chain,core,120,128,9.97
chain,core,120,256,10.75
chain,core,120,512,11.84
chain,core,120,1024,11.61
chain,core,120,2048,14.49
chain,core,120,4096,18.39
chain,core,120,8192,27.38
chain,core,120,16384,82.65
chain,core,120,32768,127.38
chain,core,120,65536,218.26
chain,core,120,131072,406.13
chain,core,120,262144,803.03
chain,core,120,524288,1584.89
chain,core,120,1048576,3177.68
chain,core,128,1,8.94
chain,core,128,2,7.91
chain,core,128,4,8.16
chain,core,128,8,8.20
chain,core,128,16,7.72
chain,core,128,32,10.63
chain,core,128,64,10.28
chain,core,128,128,9.55
chain,core,128,256,9.60
chain,core,128,512,10.68
chain,core,128,1024,11.26
chain,core,128,2048,14.37
chain,core,128,4096,18.40
chain,core,128,8192,27.58
chain,core,128,16384,83.62
chain,core,128,32768,128.18
chain,core,128,65536,221.85
chain,core,128,131072,423.93
chain,core,128,262144,845.54
chain,core,128,524288,1716.96
chain,core,128,1048576,3402.31
chain,core,136,1,8.34
chain,core,136,2,7.62
chain,core,136,4,8.37
chain,core,136,8,9.21
chain,core,136,16,8.34
chain,core,136,32,10.43
chain,core,136,64,9.74
chain,core,136,128,9.46
chain,core,136,256,9.60
chain,core,136,512,10.38
chain,core,136,1024,11.56
chain,core,136,2048,14.39
chain,core,136,4096,19.44
chain,core,136,8192,28.40
chain,core,136,16384,88.45
chain,core,136,32768,143.24
chain,core,136,65536,236.50
chain,core,136,131072,444.08
chain,core,136,262144,883.35
chain,core,136,524288,1797.36
chain,core,136,1048576,3556.89
chain,core,144,1,9.80
chain,core,144,2,9.05
chain,core,144,4,9.04
chain,core,144,8,9.35
chain,core,144,16,9.12
chain,core,144,32,14.07
chain,core,144,64,12.90
chain,core,144,128,11.08
chain,core,144,256,11.00
chain,core,144,512,11.57
chain,core,144,1024,12.50
chain,core,144,2048,15.79
chain,core,144,4096,20.69
chain,core,144,8192,30.24
chain,core,144,16384,92.27
chain,core,144,32768,141.63
chain,core,144,65536,244.89
chain,core,144,131072,457.98
chain,core,144,262144,916.03
chain,core,144,524288,1848.35
chain,core,144,1048576,3639.83
chain,core,152,1,11.14
chain,core,152,2,10.12
chain,core,152,4,10.41
chain,core,152,8,12.55
chain,core,152,16,12.25
chain,core,152,32,11.76
chain,core,152,64,11.37
chain,core,152,128,11.38
chain,core,152,256,11.66
chain,core,152,512,12.30
chain,core,152,1024,13.97
chain,core,152,2048,16.76
chain,core,152,4096,20.68
chain,core,152,8192,30.67
chain,core,152,16384,94.80
chain,core,152,32768,148.68
chain,core,152,65536,259.17
chain,core,152,131072,483.23
chain,core,152,262144,962.25
chain,core,152,524288,1934.24
chain,core,152,1048576,3850.53
chain,core,160,1,14.52
chain,core,160,2,13.39
chain,core,160,4,14.50
chain,core,160,8,15.55
chain,core,160,16,13.70
chain,core,160,32,14.36
chain,core,160,64,14.53
chain,core,160,128,15.07
chain,core,160,256,15.05
chain,core,160,512,16.54
chain,core,160,1024,18.28
chain,core,160,2048,20.19
chain,core,160,4096,25.10
chain,core,160,8192,32.86
chain,core,160,16384,104.15
chain,core,160,32768,156.31
chain,core,160,65536,270.26
chain,core,160,131072,501.70
chain,core,160,262144,1001.55
chain,core,160,524288,2024.38
chain,core,160,1048576,4000.24
chain,core,168,1,16.10
chain,core,168,2,15.61
chain,core,168,4,16.39
chain,core,168,8,16.83
chain,core,168,16,16.32
chain,core,168,32,16.66
chain,core,168,64,16.67
chain,core,168,128,16.84
chain,core,168,256,17.29
chain,core,168,512,18.40
chain,core,168,1024,18.58
chain,core,168,2048,23.00
chain,core,168,4096,28.19
chain,core,168,8192,37.71
chain,core,168,16384,111.50
chain,core,168,32768,162.78
chain,core,168,65536,270.66
chain,core,168,131072,520.89
chain,core,168,262144,1031.23
chain,core,168,524288,2097.95
chain,core,168,1048576,4112.59
chain,core,176,1,13.30
chain,core,176,2,12.56
chain,core,176,4,14.03
chain,core,176,8,13.48
chain,core,176,16,12.05
chain,core,176,32,13.71
chain,core,176,64,13.39
chain,core,176,128,14.21
chain,core,176,256,14.46
chain,core,176,512,15.34
chain,core,176,1024,15.84
chain,core,176,2048,19.84
chain,core,176,4096,25.93
chain,core,176,8192,37.00
chain,core,176,16384,106.45
chain,core,176,32768,165.73
chain,core,176,65536,271.15
chain,core,176,131072,515.69
chain,core,176,262144,1035.35
chain,core,176,524288,2100.08
chain,core,176,1048576,4162.65
chain,core,184,1,13.88
chain,core,184,2,13.81
chain,core,184,4,15.40
chain,core,184,8,12.98
chain,core,184,16,12.22
chain,core,184,32,14.27
chain,core,184,64,14.28
chain,core,184,128,15.19
chain,core,184,256,14.44
chain,core,184,512,15.91
chain,core,184,1024,16.44
chain,core,184,2048,20.27
chain,core,184,4096,25.23
chain,core,184,8192,36.80
chain,core,184,16384,111.34
chain,core,184,32768,166.96
chain,core,184,65536,287.04
chain,core,184,131072,529.38
chain,core,184,262144,1065.80
chain,core,184,524288,2186.86
chain,core,184,1048576,4247.73
chain,core,192,1,15.18
chain,core,192,2,12.48
chain,core,192,4,13.23
chain,core,192,8,15.22
chain,core,192,16,13.21
chain,core,192,32,14.10
chain,core,192,64,14.12
chain,core,192,128,14.94
chain,core,192,256,15.75
chain,core,192,512,15.38
chain,core,192,1024,16.72
chain,core,192,2048,20.75
chain,core,192,4096,25.69
chain,core,192,8192,36.88
chain,core,192,16384,117.12
chain,core,192,32768,178.09
chain,core,192,65536,304.53
chain,core,192,131072,565.25
chain,core,192,262144,1096.45
chain,core,192,524288,2233.46
chain,core,192,1048576,4412.75
chain,core,200,1,15.11
chain,core,200,2,14.28
chain,core,200,4,17.16
chain,core,200,8,13.40
chain,core,200,16,14.09
chain,core,200,32,15.57
chain,core,200,64,16.50
chain,core,200,128,16.28
chain,core,200,256,16.48
chain,core,200,512,17.32
chain,core,200,1024,17.75
chain,core,200,2048,22.03
chain,core,200,4096,28.56
chain,core,200,8192,38.61
chain,core,200,16384,124.81
chain,core,200,32768,187.36
chain,core,200,65536,317.89
chain,core,200,131072,586.23
chain,core,200,262144,1168.65
chain,core,200,524288,2367.24
chain,core,200,1048576,4617.41
chain,core,208,1,15.55
chain,core,208,2,16.71
chain,core,208,4,15.59
chain,core,208,8,13.76
chain,core,208,16,14.18
chain,core,208,32,15.04
chain,core,208,64,16.06
chain,core,208,128,16.19
chain,core,208,256,17.06
chain,core,208,512,17.38
chain,core,208,1024,18.37
chain,core,208,2048,23.08
chain,core,208,4096,29.46
chain,core,208,8192,39.78
chain,core,208,16384,131.18
chain,core,208,32768,192.50
chain,core,208,65536,322.79
chain,core,208,131072,607.13
chain,core,208,262144,1215.00
chain,core,208,524288,2502.01
chain,core,208,1048576,4788.63
chain,core,216,1,17.84
chain,core,216,2,16.66
chain,core,216,4,18.66
chain,core,216,8,15.85
chain,core,216,16,15.87
chain,core,216,32,16.67
chain,core,216,64,18.28
chain,core,216,128,17.99
chain,core,216,256,17.91
chain,core,216,512,19.19
chain,core,216,1024,20.63
chain,core,216,2048,25.28
chain,core,216,4096,31.95
chain,core,216,8192,43.88
chain,core,216,16384,138.67
chain,core,216,32768,204.38
chain,core,216,65536,343.61
chain,core,216,131072,644.10
chain,core,216,262144,1257.02
chain,core,216,524288,2532.23
chain,core,216,1048576,4982.20
chain,core,224,1,18.70
chain,core,224,2,19.89
chain,core,224,4,18.17
chain,core,224,8,17.95
chain,core,224,16,17.15
chain,core,224,32,18.52
chain,core,224,64,18.14
chain,core,224,128,18.60
chain,core,224,256,19.07
chain,core,224,512,19.32
chain,core,224,1024,20.72
chain,core,224,2048,25.88
chain,core,224,4096,30.56
chain,core,224,8192,44.35
chain,core,224,16384,141.73
chain,core,224,32768,204.61
chain,core,224,65536,357.10
chain,core,224,131072,648.31
chain,core,224,262144,1292.90
chain,core,224,524288,2605.74
chain,core,224,1048576,5137.53
chain,core,232,1,20.12
chain,core,232,2,20.33
chain,core,232,4,18.28
chain,core,232,8,17.56
chain,core,232,16,18.10
chain,core,232,32,19.99
chain,core,232,64,19.00
chain,core,232,128,22.07
chain,core,232,256,21.36
chain,core,232,512,21.68
chain,core,232,1024,23.10
chain,core,232,2048,27.61
chain,core,232,4096,32.88
chain,core,232,8192,47.15
chain,core,232,16384,145.68
chain,core,232,32768,218.87
chain,core,232,65536,358.25
chain,core,232,131072,659.29
chain,core,232,262144,1324.17
chain,core,232,524288,2687.07
chain,core,232,1048576,5313.89
chain,core,240,1,21.50
chain,core,240,2,21.41
chain,core,240,4,22.15
chain,core,240,8,19.86
chain,core,240,16,20.08
chain,core,240,32,21.72
chain,core,240,64,20.99
chain,core,240,128,24.78
chain,core,240,256,24.90
chain,core,240,512,26.24
chain,core,240,1024,26.69
chain,core,240,2048,30.85
chain,core,240,4096,35.93
chain,core,240,8192,48.28
chain,core,240,16384,150.57
chain,core,240,32768,221.74
chain,core,240,65536,369.02
chain,core,240,131072,683.03
chain,core,240,262144,1373.01
chain,core,240,524288,2761.35
chain,core,240,1048576,5409.55
chain,core,248,1,23.31
chain,core,248,2,25.23
chain,core,248,4,22.49
chain,core,248,8,21.54
chain,core,248,16,22.28
chain,core,248,32,23.73
chain,core,248,64,23.47
chain,core,248,128,29.36
chain,core,248,256,27.32
chain,core,248,512,28.38
chain,core,248,1024,39.59
chain,core,248,2048,34.38
chain,core,248,4096,39.91
chain,core,248,8192,53.30
chain,core,248,16384,154.92
chain,core,248,32768,230.02
chain,core,248,65536,380.63
chain,core,248,131072,701.96
chain,core,248,262144,1408.65
chain,core,248,524288,2786.85
chain,core,248,1048576,5469.30
chain,core,256,1,7.32
chain,core,256,2,7.60
chain,core,256,4,6.98
chain,core,256,8,7.09
chain,core,256,16,7.06
chain,core,256,32,8.63
chain,core,256,64,7.90
chain,core,256,128,10.78
chain,core,256,256,11.45
chain,core,256,512,12.81
chain,core,256,1024,14.67
chain,core,256,2048,19.57
chain,core,256,4096,27.51
chain,core,256,8192,42.40
chain,core,256,16384,143.34
chain,core,256,32768,218.04
chain,core,256,65536,371.54
chain,core,256,131072,698.30
chain,core,256,262144,1396.38
chain,core,256,524288,2805.49
chain,core,256,1048576,5650.87
chain,socket,28,1,4.22
chain,socket,28,2,4.37
chain,socket,28,4,4.04
chain,socket,28,8,4.05
chain,socket,28,16,4.10
chain,socket,28,32,5.05
chain,socket,28,64,5.12
chain,socket,28,128,6.99
chain,socket,28,256,7.10
chain,socket,28,512,7.90
chain,socket,28,1024,8.44
chain,socket,28,2048,12.03
chain,socket,28,4096,16.13
chain,socket,28,8192,22.69
chain,socket,28,16384,46.48
chain,socket,28,32768,80.04
chain,socket,28,65536,147.30
chain,socket,28,131072,272.05
chain,socket,28,262144,499.74
chain,socket,28,524288,939.26
chain,socket,28,1048576,1783.45
chain,socket,16,1,2.75
chain,socket,16,2,2.67
chain,socket,16,4,2.74
chain,socket,16,8,2.95
chain,socket,16,16,2.62
chain,socket,16,32,3.12
chain,socket,16,64,3.10
chain,socket,16,128,4.79
chain,socket,16,256,4.78
chain,socket,16,512,5.09
chain,socket,16,1024,5.69
chain,socket,16,2048,8.39
chain,socket,16,4096,10.61
chain,socket,16,8192,16.33
chain,socket,16,16384,30.80
chain,socket,16,32768,54.36
chain,socket,16,65536,101.96
chain,socket,16,131072,192.68
chain,socket,16,262144,358.92
chain,socket,16,524288,669.40
chain,socket,16,1048576,1254.48
chain,socket,24,1,4.66
chain,socket,24,2,4.28
chain,socket,24,4,4.21
chain,socket,24,8,4.25
chain,socket,24,16,4.28
chain,socket,24,32,5.04
chain,socket,24,64,4.97
chain,socket,24,128,7.02
chain,socket,24,256,7.36
chain,socket,24,512,8.20
chain,socket,24,1024,8.31
chain,socket,24,2048,11.36
chain,socket,24,4096,14.56
chain,socket,24,8192,21.47
chain,socket,24,16384,45.84
chain,socket,24,32768,79.58
chain,socket,24,65536,142.66
chain,socket,24,131072,255.78
chain,socket,24,262144,460.76
chain,socket,24,524288,848.05
chain,socket,24,1048576,1594.72
chain,socket,32,1,4.57
chain,socket,32,2,4.57
chain,socket,32,4,4.65
chain,socket,32,8,4.61
chain,socket,32,16,4.69
chain,socket,32,32,5.51
chain,socket,32,64,5.50
chain,socket,32,128,7.68
chain,socket,32,256,7.85
chain,socket,32,512,8.95
chain,socket,32,1024,9.75
chain,socket,32,2048,13.43
chain,socket,32,4096,17.61
chain,socket,32,8192,25.37
chain,socket,32,16384,50.96
chain,socket,32,32768,91.16
chain,socket,32,65536,163.25
chain,socket,32,131072,302.42
chain,socket,32,262144,570.66
chain,socket,32,524288,1063.89
chain,socket,32,1048576,1936.04
chain,socket,40,1,6.38
chain,socket,40,2,6.59
chain,socket,40,4,6.58
chain,socket,40,8,6.60
chain,socket,40,16,6.58
chain,socket,40,32,7.84
chain,socket,40,64,7.75
chain,socket,40,128,9.90
chain,socket,40,256,10.96
chain,socket,40,512,11.71
chain,socket,40,1024,11.84
chain,socket,40,2048,17.05
chain,socket,40,4096,21.96
chain,socket,40,8192,30.68
chain,socket,40,16384,61.99
chain,socket,40,32768,104.06
chain,socket,40,65536,188.36
chain,socket,40,131072,349.72
chain,socket,40,262144,645.44
chain,socket,40,524288,1178.38
chain,socket,40,1048576,2174.82
chain,socket,48,1,6.98
chain,socket,48,2,6.93
chain,socket,48,4,6.86
chain,socket,48,8,6.90
chain,socket,48,16,6.81
chain,socket,48,32,8.41
