Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
default,core,2,1,0.16
default,core,2,2,0.16
default,core,2,4,0.16
default,core,2,8,0.16
default,core,2,16,0.16
default,core,2,32,0.15
default,core,2,64,0.15
default,core,2,128,0.25
default,core,2,256,0.22
default,core,2,512,0.26
default,core,2,1024,0.28
default,core,2,2048,0.31
default,core,2,4096,0.40
default,core,2,8192,0.55
default,core,2,16384,4.64
default,core,2,32768,5.39
default,core,2,65536,6.83
default,core,2,131072,9.96
default,core,2,262144,25.60
default,core,2,524288,55.22
default,core,2,1048576,112.25
default,core,4,1,0.26
default,core,4,2,0.26
default,core,4,4,0.26
default,core,4,8,0.26
default,core,4,16,0.26
default,core,4,32,0.26
default,core,4,64,0.26
default,core,4,128,0.40
default,core,4,256,0.40
default,core,4,512,0.44
default,core,4,1024,0.46
default,core,4,2048,0.58
default,core,4,4096,0.81
default,core,4,8192,1.09
default,core,4,16384,4.26
default,core,4,32768,5.26
default,core,4,65536,7.90
default,core,4,131072,16.18
default,core,4,262144,38.89
default,core,4,524288,90.79
default,core,4,1048576,307.12
default,core,8,1,0.80
default,core,8,2,0.77
default,core,8,4,0.81
default,core,8,8,0.86
default,core,8,16,0.87
default,core,8,32,0.92
default,core,8,64,0.87
default,core,8,128,1.25
default,core,8,256,1.32
default,core,8,512,1.39
default,core,8,1024,1.50
default,core,8,2048,1.89
default,core,8,4096,3.30
default,core,8,8192,5.49
default,core,8,16384,11.49
default,core,8,32768,12.03
default,core,8,65536,22.93
default,core,8,131072,46.94
default,core,8,262144,109.43
default,core,8,524288,228.67
default,core,8,1048576,432.12
default,core,16,1,1.21
default,core,16,2,1.18
default,core,16,4,1.24
default,core,16,8,1.19
default,core,16,16,1.22
default,core,16,32,1.31
default,core,16,64,1.22
default,core,16,128,1.93
default,core,16,256,1.99
default,core,16,512,2.06
default,core,16,1024,2.24
default,core,16,2048,2.97
default,core,16,4096,6.20
default,core,16,8192,10.10
default,core,16,16384,18.27
default,core,16,32768,32.00
default,core,16,65536,59.98
default,core,16,131072,116.56
default,core,16,262144,238.83
default,core,16,524288,483.89
default,core,16,1048576,1405.65
default,core,32,1,1.80
default,core,32,2,1.85
default,core,32,4,2.55
default,core,32,8,1.70
default,core,32,16,1.74
default,core,32,32,2.26
default,core,32,64,1.83
default,core,32,128,2.88
default,core,32,256,2.72
default,core,32,512,2.90
default,core,32,1024,4.50
default,core,32,2048,4.28
default,core,32,4096,5.91
default,core,32,8192,9.00
default,core,32,16384,15.62
default,core,32,32768,25.43
default,core,32,65536,52.16
default,core,32,131072,105.58
default,core,32,262144,236.91
default,core,32,524288,515.77
default,core,32,1048576,902.45
default,core,64,1,1.41
default,core,64,2,1.94
default,core,64,4,2.55
default,core,64,8,1.80
default,core,64,16,1.92
default,core,64,32,1.91
default,core,64,64,1.96
default,core,64,128,3.00
default,core,64,256,3.05
default,core,64,512,3.43
default,core,64,1024,4.73
default,core,64,2048,4.88
default,core,64,4096,7.51
default,core,64,8192,11.11
default,core,64,16384,20.44
default,core,64,32768,36.00
default,core,64,65536,79.59
default,core,64,131072,158.50
default,core,64,262144,329.75
default,core,64,524288,619.49
default,core,64,1048576,1100.45
default,core,128,1,3.08
default,core,128,2,4.81
default,core,128,4,4.57
default,core,128,8,4.28
default,core,128,16,3.98
default,core,128,32,4.20
default,core,128,64,4.23
default,core,128,128,6.21
default,core,128,256,6.42
default,core,128,512,7.33
default,core,128,1024,9.03
default,core,128,2048,10.86
default,core,128,4096,19.39
default,core,128,8192,35.70
default,core,128,16384,103.21
default,core,128,32768,169.00
default,core,128,65536,113.15
default,core,128,131072,247.06
default,core,128,262144,520.04
default,core,128,524288,1107.75
default,core,128,1048576,1968.86
default,core,256,1,1.10
default,core,256,2,1.19
default,core,256,4,1.08
default,core,256,8,1.00
default,core,256,16,0.98
default,core,256,32,1.19
default,core,256,64,1.16
default,core,256,128,2.10
default,core,256,256,2.65
default,core,256,512,3.04
default,core,256,1024,3.77
default,core,256,2048,6.11
default,core,256,4096,9.35
default,core,256,8192,16.16
default,core,256,16384,139.32
default,core,256,32768,45.68
default,core,256,65536,87.77
default,core,256,131072,191.76
default,core,256,262144,435.05
default,core,256,524288,940.51
default,core,256,1048576,1540.16
default,socket,2,1,0.61
default,socket,2,2,0.61
default,socket,2,4,0.62
default,socket,2,8,0.61
default,socket,2,16,0.62
default,socket,2,32,0.73
default,socket,2,64,0.73
default,socket,2,128,0.90
default,socket,2,256,0.96
default,socket,2,512,1.13
default,socket,2,1024,1.16
default,socket,2,2048,1.56
default,socket,2,4096,2.44
default,socket,2,8192,3.89
default,socket,2,16384,4.54
default,socket,2,32768,5.10
default,socket,2,65536,6.67
default,socket,2,131072,13.06
default,socket,2,262144,39.63
default,socket,2,524288,89.77
default,socket,2,1048576,172.77
default,socket,4,1,0.86
default,socket,4,2,0.87
default,socket,4,4,0.87
default,socket,4,8,0.88
default,socket,4,16,0.88
default,socket,4,32,0.89
default,socket,4,64,0.87
default,socket,4,128,1.10
default,socket,4,256,1.22
default,socket,4,512,1.55
default,socket,4,1024,1.51
default,socket,4,2048,2.14
default,socket,4,4096,3.21
default,socket,4,8192,6.12
default,socket,4,16384,10.13
default,socket,4,32768,14.25
default,socket,4,65536,25.21
default,socket,4,131072,52.01
default,socket,4,262144,118.80
default,socket,4,524288,264.86
default,socket,4,1048576,497.67
default,socket,8,1,1.27
default,socket,8,2,1.34
default,socket,8,4,1.29
default,socket,8,8,1.53
default,socket,8,16,1.46
default,socket,8,32,1.51
default,socket,8,64,1.43
default,socket,8,128,2.52
default,socket,8,256,2.37
default,socket,8,512,2.60
default,socket,8,1024,2.88
default,socket,8,2048,4.37
default,socket,8,4096,5.48
default,socket,8,8192,9.13
default,socket,8,16384,16.99
default,socket,8,32768,31.15
default,socket,8,65536,62.47
default,socket,8,131072,128.44
default,socket,8,262144,279.51
default,socket,8,524288,492.20
default,socket,8,1048576,907.47
default,socket,16,1,1.67
default,socket,16,2,1.65
default,socket,16,4,1.71
default,socket,16,8,1.59
default,socket,16,16,1.54
default,socket,16,32,1.71
default,socket,16,64,1.79
default,socket,16,128,2.74
default,socket,16,256,3.21
default,socket,16,512,3.53
default,socket,16,1024,3.52
default,socket,16,2048,5.19
default,socket,16,4096,8.13
default,socket,16,8192,12.70
default,socket,16,16384,23.67
default,socket,16,32768,43.39
default,socket,16,65536,86.48
default,socket,16,131072,168.68
default,socket,16,262144,316.29
default,socket,16,524288,644.71
default,socket,16,1048576,700.94
default,socket,32,1,3.24
default,socket,32,2,2.83
default,socket,32,4,2.68
default,socket,32,8,2.68
default,socket,32,16,2.53
default,socket,32,32,3.08
default,socket,32,64,2.99
default,socket,32,128,4.32
default,socket,32,256,4.39
default,socket,32,512,4.77
default,socket,32,1024,5.27
default,socket,32,2048,7.62
default,socket,32,4096,10.37
default,socket,32,8192,15.10
default,socket,32,16384,28.74
default,socket,32,32768,56.32
default,socket,32,65536,123.43
default,socket,32,131072,268.70
default,socket,32,262144,557.77
default,socket,32,524288,1119.92
default,socket,32,1048576,1833.59
default,socket,64,1,3.14
default,socket,64,2,3.07
default,socket,64,4,2.99
default,socket,64,8,2.82
default,socket,64,16,2.72
default,socket,64,32,3.24
default,socket,64,64,2.66
default,socket,64,128,4.09
default,socket,64,256,3.97
default,socket,64,512,4.35
default,socket,64,1024,4.85
default,socket,64,2048,7.39
default,socket,64,4096,10.38
default,socket,64,8192,19.12
default,socket,64,16384,36.46
default,socket,64,32768,73.28
default,socket,64,65536,156.09
default,socket,64,131072,332.96
default,socket,64,262144,712.77
default,socket,64,524288,1480.06
default,socket,64,1048576,2388.73
default,socket,128,1,2.70
default,socket,128,2,3.77
default,socket,128,4,3.68
default,socket,128,8,3.57
default,socket,128,16,3.63
default,socket,128,32,4.04
default,socket,128,64,4.22
default,socket,128,128,6.34
default,socket,128,256,6.55
default,socket,128,512,7.40
default,socket,128,1024,8.00
default,socket,128,2048,12.52
default,socket,128,4096,16.84
default,socket,128,8192,197.66
default,socket,128,16384,455.68
default,socket,128,32768,1975.01
default,socket,128,65536,2021.78
default,socket,128,131072,1057.28
default,socket,128,262144,1003.14
default,socket,128,524288,2071.44
default,socket,128,1048576,5806.39
default,socket,256,1,1.55
default,socket,256,2,1.58
default,socket,256,4,1.51
default,socket,256,8,1.50
default,socket,256,16,1.52
default,socket,256,32,1.99
default,socket,256,64,1.84
default,socket,256,128,3.15
default,socket,256,256,3.88
default,socket,256,512,5.51
default,socket,256,1024,6.84
default,socket,256,2048,9.50
default,socket,256,4096,16.07
default,socket,256,8192,30.92
default,socket,256,16384,3988.44
default,socket,256,32768,129.66
default,socket,256,65536,335.77
default,socket,256,131072,554.48
default,socket,256,262144,1239.81
default,socket,256,524288,2402.17
default,socket,256,1048576,3944.42
default,node,2,1,1.75
default,node,2,2,1.76
default,node,2,4,1.77
default,node,2,8,1.76
default,node,2,16,1.74
default,node,2,32,1.86
default,node,2,64,2.28
default,node,2,128,1.82
default,node,2,256,2.44
default,node,2,512,2.43
default,node,2,1024,2.98
default,node,2,2048,3.57
default,node,2,4096,4.48
default,node,2,8192,5.59
default,node,2,16384,7.51
default,node,2,32768,10.16
default,node,2,65536,14.79
default,node,2,131072,20.00
default,node,2,262144,31.20
default,node,2,524288,51.49
default,node,2,1048576,92.01
default,node,4,1,0.85
default,node,4,2,0.85
default,node,4,4,0.86
default,node,4,8,0.86
default,node,4,16,0.86
default,node,4,32,0.97
default,node,4,64,1.35
default,node,4,128,1.15
default,node,4,256,1.30
default,node,4,512,1.56
default,node,4,1024,1.98
default,node,4,2048,2.11
default,node,4,4096,2.95
default,node,4,8192,5.35
default,node,4,16384,7.46
default,node,4,32768,10.90
default,node,4,65536,14.12
default,node,4,131072,26.74
default,node,4,262144,47.96
default,node,4,524288,90.22
default,node,4,1048576,208.25
default,node,8,1,2.50
default,node,8,2,2.56
default,node,8,4,2.55
default,node,8,8,2.71
default,node,8,16,2.73
default,node,8,32,2.96
default,node,8,64,3.14
default,node,8,128,3.35
default,node,8,256,3.88
default,node,8,512,4.13
default,node,8,1024,4.66
default,node,8,2048,4.97
default,node,8,4096,6.63
default,node,8,8192,9.13
default,node,8,16384,18.11
default,node,8,32768,17.25
default,node,8,65536,23.95
default,node,8,131072,38.22
default,node,8,262144,101.40
default,node,8,524288,254.13
default,node,8,1048576,605.42
default,node,16,1,4.02
default,node,16,2,3.95
default,node,16,4,3.63
default,node,16,8,3.50
default,node,16,16,3.46
default,node,16,32,3.62
default,node,16,64,4.02
default,node,16,128,4.49
default,node,16,256,5.02
default,node,16,512,5.27
default,node,16,1024,6.26
default,node,16,2048,6.87
default,node,16,4096,9.38
default,node,16,8192,13.11
default,node,16,16384,25.54
default,node,16,32768,43.71
default,node,16,65536,84.58
default,node,16,131072,168.66
default,node,16,262144,338.34
default,node,16,524288,628.47
default,node,16,1048576,742.01
default,node,32,1,4.73
default,node,32,2,4.46
default,node,32,4,4.61
default,node,32,8,5.06
default,node,32,16,3.83
default,node,32,32,4.28
default,node,32,64,4.69
default,node,32,128,6.03
default,node,32,256,5.95
default,node,32,512,6.16
default,node,32,1024,7.28
default,node,32,2048,8.34
default,node,32,4096,10.29
default,node,32,8192,15.44
default,node,32,16384,25.01
default,node,32,32768,45.16
default,node,32,65536,93.98
default,node,32,131072,232.62
default,node,32,262144,435.86
default,node,32,524288,773.90
default,node,32,1048576,1586.16
default,node,64,1,5.82
default,node,64,2,5.74
default,node,64,4,5.36
default,node,64,8,5.31
default,node,64,16,5.53
