Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
default,core,2,1,0.16
default,core,2,2,0.15
default,core,2,4,0.16
default,core,2,8,0.15
default,core,2,16,0.16
default,core,2,32,0.15
default,core,2,64,0.16
default,core,2,128,0.22
default,core,2,256,0.22
default,core,2,512,0.24
default,core,2,1024,0.27
default,core,2,2048,0.31
default,core,2,4096,0.40
default,core,2,8192,0.55
default,core,2,16384,3.98
default,core,2,32768,4.30
default,core,2,65536,5.75
default,core,2,131072,9.86
default,core,2,262144,22.90
default,core,2,524288,44.04
default,core,2,1048576,83.94
default,core,4,1,0.18
default,core,4,2,0.18
default,core,4,4,0.18
default,core,4,8,0.18
default,core,4,16,0.18
default,core,4,32,0.18
default,core,4,64,0.18
default,core,4,128,0.33
default,core,4,256,0.33
default,core,4,512,0.37
default,core,4,1024,0.39
default,core,4,2048,0.50
default,core,4,4096,0.70
default,core,4,8192,1.10
default,core,4,16384,4.10
default,core,4,32768,5.05
default,core,4,65536,7.60
default,core,4,131072,15.93
default,core,4,262144,34.37
default,core,4,524288,76.43
default,core,4,1048576,242.57
default,core,8,1,0.80
default,core,8,2,0.81
default,core,8,4,0.79
default,core,8,8,0.91
default,core,8,16,0.89
default,core,8,32,0.98
default,core,8,64,0.84
default,core,8,128,1.35
default,core,8,256,1.39
default,core,8,512,1.46
default,core,8,1024,1.53
default,core,8,2048,1.91
default,core,8,4096,3.12
default,core,8,8192,4.91
default,core,8,16384,12.76
default,core,8,32768,11.62
default,core,8,65536,23.52
default,core,8,131072,48.53
default,core,8,262144,100.52
default,core,8,524288,233.69
default,core,8,1048576,457.11
default,core,16,1,1.20
default,core,16,2,1.21
default,core,16,4,1.20
default,core,16,8,1.20
default,core,16,16,1.19
default,core,16,32,1.31
default,core,16,64,1.30
default,core,16,128,2.09
default,core,16,256,2.06
default,core,16,512,2.11
default,core,16,1024,2.23
default,core,16,2048,2.99
default,core,16,4096,5.60
default,core,16,8192,10.16
default,core,16,16384,18.53
default,core,16,32768,29.80
default,core,16,65536,57.02
default,core,16,131072,113.80
default,core,16,262144,231.76
default,core,16,524288,469.41
default,core,16,1048576,1360.15
default,core,32,1,1.57
default,core,32,2,1.65
default,core,32,4,1.71
default,core,32,8,1.59
default,core,32,16,1.60
default,core,32,32,1.81
default,core,32,64,2.01
default,core,32,128,2.68
default,core,32,256,2.55
default,core,32,512,2.94
default,core,32,1024,3.23
default,core,32,2048,4.35
default,core,32,4096,5.83
default,core,32,8192,8.86
default,core,32,16384,16.73
default,core,32,32768,25.58
default,core,32,65536,46.80
default,core,32,131072,100.20
default,core,32,262144,223.17
default,core,32,524288,510.86
default,core,32,1048576,906.04
default,core,64,1,1.58
default,core,64,2,1.62
default,core,64,4,1.58
default,core,64,8,1.59
default,core,64,16,1.59
default,core,64,32,1.92
default,core,64,64,1.91
default,core,64,128,2.82
default,core,64,256,2.87
default,core,64,512,3.48
default,core,64,1024,3.73
default,core,64,2048,5.08
default,core,64,4096,6.86
default,core,64,8192,11.06
default,core,64,16384,21.19
default,core,64,32768,33.24
default,core,64,65536,65.36
default,core,64,131072,143.06
default,core,64,262144,309.51
default,core,64,524288,670.30
default,core,64,1048576,1156.96
default,core,128,1,2.51
default,core,128,2,3.77
default,core,128,4,3.72
default,core,128,8,3.64
default,core,128,16,3.90
default,core,128,32,4.16
default,core,128,64,4.19
default,core,128,128,6.00
default,core,128,256,6.21
default,core,128,512,6.66
default,core,128,1024,6.75
default,core,128,2048,10.19
default,core,128,4096,19.56
default,core,128,8192,35.65
default,core,128,16384,128.45
default,core,128,32768,170.51
default,core,128,65536,107.78
