Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
default,core,2,1,0.15
default,core,2,2,0.15
default,core,2,4,0.15
default,core,2,8,0.15
default,core,2,16,0.15
default,core,2,32,0.16
default,core,2,64,0.15
default,core,2,128,0.23
default,core,2,256,0.22
default,core,2,512,0.23
default,core,2,1024,0.25
default,core,2,2048,0.30
default,core,2,4096,0.38
default,core,2,8192,0.56
default,core,2,16384,3.92
default,core,2,32768,4.26
default,core,2,65536,5.60
default,core,2,131072,10.82
default,core,2,262144,21.20
default,core,2,524288,42.53
default,core,2,1048576,81.19
default,socket,2,1,0.59
default,socket,2,2,0.59
default,socket,2,4,0.58
default,socket,2,8,0.59
default,socket,2,16,0.58
default,socket,2,32,0.70
default,socket,2,64,0.71
default,socket,2,128,0.86
default,socket,2,256,0.89
default,socket,2,512,1.08
default,socket,2,1024,1.10
default,socket,2,2048,1.46
default,socket,2,4096,2.14
default,socket,2,8192,3.31
default,socket,2,16384,4.10
default,socket,2,32768,4.97
default,socket,2,65536,7.23
default,socket,2,131072,14.53
default,socket,2,262144,32.46
default,socket,2,524288,69.02
default,socket,2,1048576,135.98
default,node,2,1,1.72
default,node,2,2,1.71
default,node,2,4,1.71
default,node,2,8,1.71
default,node,2,16,1.71
default,node,2,32,1.84
default,node,2,64,2.24
default,node,2,128,1.78
default,node,2,256,2.40
default,node,2,512,2.40
default,node,2,1024,2.95
default,node,2,2048,3.55
default,node,2,4096,4.55
default,node,2,8192,5.20
default,node,2,16384,5.98
default,node,2,32768,8.01
default,node,2,65536,12.02
default,node,2,131072,17.29
default,node,2,262144,27.81
default,node,2,524288,49.26
default,node,2,1048576,91.69
