Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
linear,core,2,1,0.13
linear,core,2,2,0.13
linear,core,2,4,0.13
linear,core,2,8,0.13
linear,core,2,16,0.13
linear,core,2,32,0.13
linear,core,2,64,0.14
linear,core,2,128,0.19
linear,core,2,256,0.20
linear,core,2,512,0.22
linear,core,2,1024,0.25
linear,core,2,2048,0.30
linear,core,2,4096,0.39
linear,core,2,8192,0.55
linear,core,2,16384,4.61
linear,core,2,32768,5.49
linear,core,2,65536,7.12
linear,core,2,131072,11.49
linear,core,2,262144,25.19
linear,core,2,524288,50.86
linear,core,2,1048576,110.14
linear,core,4,1,0.13
linear,core,4,2,0.14
linear,core,4,4,0.13
linear,core,4,8,0.13
linear,core,4,16,0.13
linear,core,4,32,0.13
linear,core,4,64,0.13
linear,core,4,128,0.25
linear,core,4,256,0.27
linear,core,4,512,0.29
linear,core,4,1024,0.33
linear,core,4,2048,0.46
linear,core,4,4096,0.68
linear,core,4,8192,1.08
linear,core,4,16384,4.33
linear,core,4,32768,5.37
linear,core,4,65536,8.30
linear,core,4,131072,16.37
linear,core,4,262144,39.51
linear,core,4,524288,96.27
linear,core,4,1048576,189.00
linear,core,8,1,0.89
linear,core,8,2,0.89
linear,core,8,4,0.87
linear,core,8,8,0.89
linear,core,8,16,0.89
linear,core,8,32,1.01
linear,core,8,64,0.99
linear,core,8,128,1.67
linear,core,8,256,1.64
linear,core,8,512,1.78
linear,core,8,1024,1.94
linear,core,8,2048,2.52
linear,core,8,4096,3.43
linear,core,8,8192,5.41
linear,core,8,16384,8.57
linear,core,8,32768,12.02
linear,core,8,65536,23.44
linear,core,8,131072,47.32
linear,core,8,262144,111.44
linear,core,8,524288,229.39
linear,core,8,1048576,444.96
linear,core,16,1,1.64
linear,core,16,2,1.63
linear,core,16,4,1.64
linear,core,16,8,1.64
linear,core,16,16,1.64
linear,core,16,32,1.81
linear,core,16,64,1.84
linear,core,16,128,3.13
linear,core,16,256,3.16
linear,core,16,512,3.49
linear,core,16,1024,3.96
linear,core,16,2048,5.77
linear,core,16,4096,7.99
linear,core,16,8192,11.67
linear,core,16,16384,10.67
linear,core,16,32768,24.06
linear,core,16,65536,47.02
linear,core,16,131072,98.20
linear,core,16,262144,216.78
linear,core,16,524288,483.47
linear,core,16,1048576,874.59
linear,core,32,1,3.33
linear,core,32,2,4.48
linear,core,32,4,3.36
linear,core,32,8,3.26
linear,core,32,16,3.33
linear,core,32,32,3.48
linear,core,32,64,3.45
linear,core,32,128,7.05
linear,core,32,256,7.26
linear,core,32,512,7.73
linear,core,32,1024,8.83
linear,core,32,2048,12.80
linear,core,32,4096,17.27
linear,core,32,8192,24.68
linear,core,32,16384,20.39
linear,core,32,32768,48.88
linear,core,32,65536,105.27
linear,core,32,131072,212.95
linear,core,32,262144,474.80
linear,core,32,524288,977.58
linear,core,32,1048576,1720.53
linear,core,64,1,5.40
linear,core,64,2,5.50
linear,core,64,4,5.54
linear,core,64,8,5.48
linear,core,64,16,5.57
linear,core,64,32,5.79
linear,core,64,64,5.68
linear,core,64,128,15.08
linear,core,64,256,15.19
linear,core,64,512,15.69
