Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
linear,core,2,1,0.14
linear,core,2,2,0.14
linear,core,2,4,0.14
linear,core,2,8,0.13
linear,core,2,16,0.13
linear,core,2,32,0.14
linear,core,2,64,0.14
linear,core,2,128,0.19
linear,core,2,256,0.21
linear,core,2,512,0.22
linear,core,2,1024,0.25
linear,core,2,2048,0.30
linear,core,2,4096,0.39
linear,core,2,8192,0.56
linear,core,2,16384,3.94
linear,core,2,32768,4.23
linear,core,2,65536,5.78
linear,core,2,131072,10.52
linear,core,2,262144,26.68
linear,core,2,524288,60.98
linear,core,2,1048576,118.98
linear,core,4,1,0.13
linear,core,4,2,0.13
linear,core,4,4,0.13
linear,core,4,8,0.13
linear,core,4,16,0.13
linear,core,4,32,0.13
linear,core,4,64,0.14
linear,core,4,128,0.25
linear,core,4,256,0.26
linear,core,4,512,0.30
linear,core,4,1024,0.33
linear,core,4,2048,0.45
linear,core,4,4096,0.66
linear,core,4,8192,1.09
linear,core,4,16384,4.08
linear,core,4,32768,5.02
linear,core,4,65536,8.02
linear,core,4,131072,15.94
linear,core,4,262144,37.20
linear,core,4,524288,80.97
linear,core,4,1048576,161.22
linear,core,8,1,0.96
linear,core,8,2,0.99
linear,core,8,4,0.99
linear,core,8,8,0.98
linear,core,8,16,1.01
linear,core,8,32,1.06
linear,core,8,64,1.05
linear,core,8,128,1.74
linear,core,8,256,1.75
linear,core,8,512,1.89
linear,core,8,1024,2.03
linear,core,8,2048,2.54
linear,core,8,4096,3.61
linear,core,8,8192,4.98
linear,core,8,16384,6.01
linear,core,8,32768,11.62
linear,core,8,65536,24.15
linear,core,8,131072,51.16
linear,core,8,262144,112.21
linear,core,8,524288,242.59
linear,core,8,1048576,449.29
linear,core,16,1,1.61
linear,core,16,2,1.66
linear,core,16,4,1.66
linear,core,16,8,1.65
linear,core,16,16,1.66
linear,core,16,32,1.85
linear,core,16,64,1.85
linear,core,16,128,3.30
linear,core,16,256,3.26
linear,core,16,512,3.49
linear,core,16,1024,3.94
linear,core,16,2048,5.80
linear,core,16,4096,7.94
linear,core,16,8192,10.95
linear,core,16,16384,9.68
linear,core,16,32768,24.13
linear,core,16,65536,50.80
linear,core,16,131072,109.46
linear,core,16,262144,232.68
linear,core,16,524288,470.41
linear,core,16,1048576,879.94
linear,core,32,1,3.43
linear,core,32,2,3.21
linear,core,32,4,3.33
linear,core,32,8,3.31
linear,core,32,16,3.31
linear,core,32,32,3.50
linear,core,32,64,3.44
linear,core,32,128,6.85
linear,core,32,256,7.06
linear,core,32,512,7.65
linear,core,32,1024,8.69
linear,core,32,2048,12.58
linear,core,32,4096,17.10
linear,core,32,8192,23.98
linear,core,32,16384,20.86
linear,core,32,32768,54.61
linear,core,32,65536,114.33
linear,core,32,131072,234.97
linear,core,32,262144,469.43
linear,core,32,524288,955.03
linear,core,32,1048576,1736.36
linear,core,64,1,5.47
linear,core,64,2,5.70
linear,core,64,4,5.40
linear,core,64,8,5.49
linear,core,64,16,5.62
linear,core,64,32,5.93
linear,core,64,64,5.85
linear,core,64,128,15.07
linear,core,64,256,15.89
linear,core,64,512,15.61
linear,core,64,1024,18.01
linear,core,64,2048,27.08
linear,core,64,4096,36.63
linear,core,64,8192,54.43
linear,core,64,16384,51.88
linear,core,64,32768,107.65
linear,core,64,65536,245.40
linear,core,64,131072,484.08
linear,core,64,262144,1020.32
linear,core,64,524288,2163.26
linear,core,64,1048576,3678.38
linear,core,128,1,13.58
linear,core,128,2,14.17
linear,core,128,4,14.24
linear,core,128,8,14.26
linear,core,128,16,15.30
linear,core,128,32,15.15
linear,core,128,64,14.67
linear,core,128,128,37.71
linear,core,128,256,38.82
linear,core,128,512,38.85
linear,core,128,1024,42.66
linear,core,128,2048,66.40
linear,core,128,4096,88.62
linear,core,128,8192,140.87
linear,core,128,16384,118.81
linear,core,128,32768,215.77
linear,core,128,65536,625.19
linear,core,128,131072,1473.18
linear,core,128,262144,3300.23
linear,core,128,524288,6916.09
linear,core,128,1048576,12798.49
linear,core,256,1,38.79
linear,core,256,2,38.02
linear,core,256,4,38.52
linear,core,256,8,38.07
linear,core,256,16,39.27
linear,core,256,32,39.29
linear,core,256,64,40.21
linear,core,256,128,78.67
linear,core,256,256,83.70
linear,core,256,512,83.17
linear,core,256,1024,90.37
linear,core,256,2048,131.70
linear,core,256,4096,166.62
linear,core,256,8192,244.81
linear,core,256,16384,134.85
linear,core,256,32768,249.48
linear,core,256,65536,531.07
linear,core,256,131072,1121.43
linear,core,256,262144,2436.39
linear,core,256,524288,5360.83
linear,core,256,1048576,13114.47
linear,socket,2,1,0.59
linear,socket,2,2,0.57
linear,socket,2,4,0.58
linear,socket,2,8,0.57
linear,socket,2,16,0.58
linear,socket,2,32,0.69
linear,socket,2,64,0.70
linear,socket,2,128,0.83
linear,socket,2,256,0.88
linear,socket,2,512,1.17
linear,socket,2,1024,1.23
linear,socket,2,2048,1.60
linear,socket,2,4096,2.18
linear,socket,2,8192,3.39
linear,socket,2,16384,4.07
linear,socket,2,32768,4.97
linear,socket,2,65536,7.24
linear,socket,2,131072,14.07
linear,socket,2,262144,34.56
linear,socket,2,524288,74.35
linear,socket,2,1048576,146.44
linear,socket,4,1,0.58
linear,socket,4,2,0.56
linear,socket,4,4,0.57
linear,socket,4,8,0.58
linear,socket,4,16,0.60
linear,socket,4,32,0.70
linear,socket,4,64,0.69
linear,socket,4,128,1.12
linear,socket,4,256,1.15
linear,socket,4,512,1.36
linear,socket,4,1024,1.36
linear,socket,4,2048,2.52
linear,socket,4,4096,3.43
linear,socket,4,8192,5.57
linear,socket,4,16384,11.03
linear,socket,4,32768,14.91
linear,socket,4,65536,27.28
linear,socket,4,131072,53.90
linear,socket,4,262144,121.79
linear,socket,4,524288,255.26
linear,socket,4,1048576,521.48
linear,socket,8,1,1.47
linear,socket,8,2,1.52
linear,socket,8,4,1.80
linear,socket,8,8,1.79
linear,socket,8,16,1.84
linear,socket,8,32,1.96
linear,socket,8,64,1.93
linear,socket,8,128,3.47
linear,socket,8,256,3.54
linear,socket,8,512,3.33
linear,socket,8,1024,3.54
linear,socket,8,2048,5.27
linear,socket,8,4096,7.35
linear,socket,8,8192,11.48
linear,socket,8,16384,17.67
linear,socket,8,32768,33.78
linear,socket,8,65536,66.58
linear,socket,8,131072,129.87
linear,socket,8,262144,269.12
linear,socket,8,524288,620.23
linear,socket,8,1048576,1072.54
linear,socket,16,1,2.88
linear,socket,16,2,2.99
linear,socket,16,4,3.21
linear,socket,16,8,2.97
linear,socket,16,16,2.96
linear,socket,16,32,3.23
linear,socket,16,64,3.22
linear,socket,16,128,5.70
linear,socket,16,256,5.86
linear,socket,16,512,6.24
linear,socket,16,1024,6.48
linear,socket,16,2048,10.45
linear,socket,16,4096,13.92
linear,socket,16,8192,21.08
linear,socket,16,16384,28.49
linear,socket,16,32768,61.25
linear,socket,16,65536,132.98
linear,socket,16,131072,263.91
linear,socket,16,262144,548.23
linear,socket,16,524288,1125.44
linear,socket,16,1048576,1800.08
linear,socket,32,1,5.35
linear,socket,32,2,5.40
linear,socket,32,4,5.48
linear,socket,32,8,5.43
linear,socket,32,16,5.49
linear,socket,32,32,5.65
linear,socket,32,64,5.60
linear,socket,32,128,11.17
linear,socket,32,256,11.35
linear,socket,32,512,12.21
linear,socket,32,1024,13.62
linear,socket,32,2048,20.27
linear,socket,32,4096,26.22
linear,socket,32,8192,41.97
linear,socket,32,16384,60.18
linear,socket,32,32768,120.59
linear,socket,32,65536,262.72
linear,socket,32,131072,545.11
linear,socket,32,262144,1117.77
linear,socket,32,524288,2233.90
linear,socket,32,1048576,3924.25
linear,socket,64,1,9.30
linear,socket,64,2,9.53
linear,socket,64,4,9.38
linear,socket,64,8,9.61
linear,socket,64,16,9.62
linear,socket,64,32,10.14
linear,socket,64,64,9.94
linear,socket,64,128,22.55
linear,socket,64,256,23.25
linear,socket,64,512,22.88
linear,socket,64,1024,25.04
linear,socket,64,2048,39.62
linear,socket,64,4096,51.17
linear,socket,64,8192,84.11
linear,socket,64,16384,119.24
linear,socket,64,32768,230.12
linear,socket,64,65536,514.90
linear,socket,64,131072,1067.33
linear,socket,64,262144,2102.06
linear,socket,64,524288,3682.38
linear,socket,64,1048576,6905.46
linear,socket,128,1,23.39
linear,socket,128,2,2655.48
linear,socket,128,4,2210.37
linear,socket,128,8,1629.03
linear,socket,128,16,2257.89
linear,socket,128,32,2672.30
linear,socket,128,64,1503.52
linear,socket,128,128,45.58
linear,socket,128,256,47.15
linear,socket,128,512,47.25
linear,socket,128,1024,50.01
linear,socket,128,2048,80.41
linear,socket,128,4096,104.20
linear,socket,128,8192,446.93
linear,socket,128,16384,231.41
linear,socket,128,32768,465.27
linear,socket,128,65536,1389.52
linear,socket,128,131072,4411.04
linear,socket,128,262144,6285.97
linear,socket,128,524288,10189.47
linear,socket,128,1048576,15576.80
linear,socket,256,1,44.99
linear,socket,256,2,42.65
linear,socket,256,4,43.30
linear,socket,256,8,42.48
linear,socket,256,16,42.08
linear,socket,256,32,41.66
linear,socket,256,64,43.03
linear,socket,256,128,78.29
linear,socket,256,256,82.76
linear,socket,256,512,83.51
linear,socket,256,1024,91.38
linear,socket,256,2048,129.18
linear,socket,256,4096,177.36
linear,socket,256,8192,294.69
linear,socket,256,16384,259.89
linear,socket,256,32768,490.09
linear,socket,256,65536,742.41
linear,socket,256,131072,1843.80
linear,socket,256,262144,3081.04
linear,socket,256,524288,7223.74
linear,socket,256,1048576,14286.44
linear,node,2,1,1.72
linear,node,2,2,1.71
linear,node,2,4,1.72
linear,node,2,8,1.71
linear,node,2,16,1.72
linear,node,2,32,1.80
linear,node,2,64,2.25
linear,node,2,128,1.79
linear,node,2,256,2.40
linear,node,2,512,2.40
linear,node,2,1024,2.96
linear,node,2,2048,3.54
linear,node,2,4096,4.58
linear,node,2,8192,5.27
linear,node,2,16384,5.89
linear,node,2,32768,7.97
linear,node,2,65536,12.04
linear,node,2,131072,17.28
linear,node,2,262144,27.90
linear,node,2,524288,49.16
linear,node,2,1048576,91.64
linear,node,4,1,0.97
linear,node,4,2,0.89
linear,node,4,4,0.90
linear,node,4,8,0.89
linear,node,4,16,0.89
linear,node,4,32,0.98
linear,node,4,64,1.37
linear,node,4,128,1.16
linear,node,4,256,1.52
linear,node,4,512,1.73
linear,node,4,1024,2.10
linear,node,4,2048,1.99
linear,node,4,4096,2.80
linear,node,4,8192,4.64
linear,node,4,16384,5.77
linear,node,4,32768,9.06
linear,node,4,65536,13.90
linear,node,4,131072,22.92
linear,node,4,262144,45.83
linear,node,4,524288,87.69
linear,node,4,1048576,167.08
linear,node,8,1,3.09
linear,node,8,2,3.12
linear,node,8,4,3.14
linear,node,8,8,3.13
linear,node,8,16,3.13
linear,node,8,32,3.19
linear,node,8,64,3.40
linear,node,8,128,3.57
linear,node,8,256,4.23
linear,node,8,512,4.37
linear,node,8,1024,4.86
linear,node,8,2048,5.04
linear,node,8,4096,5.93
linear,node,8,8192,8.10
linear,node,8,16384,8.98
linear,node,8,32768,13.28
linear,node,8,65536,21.47
linear,node,8,131072,36.60
linear,node,8,262144,107.29
linear,node,8,524288,275.21
linear,node,8,1048576,601.45
linear,node,16,1,4.22
linear,node,16,2,4.21
linear,node,16,4,4.19
linear,node,16,8,4.46
linear,node,16,16,4.21
linear,node,16,32,4.65
linear,node,16,64,4.67
linear,node,16,128,5.14
linear,node,16,256,5.99
linear,node,16,512,6.39
linear,node,16,1024,7.16
linear,node,16,2048,8.10
linear,node,16,4096,10.15
linear,node,16,8192,13.86
linear,node,16,16384,11.37
linear,node,16,32768,18.33
linear,node,16,65536,37.86
linear,node,16,131072,83.83
