Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
linear,core,2,1,0.14
linear,core,2,2,0.14
linear,core,2,4,0.14
linear,core,2,8,0.14
linear,core,2,16,0.14
linear,core,2,32,0.15
linear,core,2,64,0.14
linear,core,2,128,0.20
linear,core,2,256,0.20
linear,core,2,512,0.24
linear,core,2,1024,0.28
linear,core,2,2048,0.31
linear,core,2,4096,0.40
linear,core,2,8192,0.57
linear,core,2,16384,3.93
linear,core,2,32768,4.31
linear,core,2,65536,5.94
linear,core,2,131072,9.73
linear,core,2,262144,20.92
linear,core,2,524288,43.25
linear,core,2,1048576,81.68
linear,socket,2,1,0.55
linear,socket,2,2,0.55
linear,socket,2,4,0.54
linear,socket,2,8,0.55
linear,socket,2,16,0.54
linear,socket,2,32,0.65
linear,socket,2,64,0.66
linear,socket,2,128,0.79
linear,socket,2,256,0.82
linear,socket,2,512,0.99
linear,socket,2,1024,1.16
linear,socket,2,2048,1.45
linear,socket,2,4096,2.07
linear,socket,2,8192,3.48
linear,socket,2,16384,4.23
linear,socket,2,32768,4.81
linear,socket,2,65536,6.26
linear,socket,2,131072,11.48
linear,socket,2,262144,29.14
linear,socket,2,524288,68.59
linear,socket,2,1048576,137.94
linear,node,2,1,1.70
linear,node,2,2,1.69
linear,node,2,4,1.70
linear,node,2,8,1.69
linear,node,2,16,1.70
linear,node,2,32,1.78
linear,node,2,64,2.23
linear,node,2,128,1.77
linear,node,2,256,2.37
linear,node,2,512,2.38
linear,node,2,1024,2.94
linear,node,2,2048,3.62
linear,node,2,4096,4.38
linear,node,2,8192,5.16
linear,node,2,16384,5.98
linear,node,2,32768,7.90
linear,node,2,65536,12.01
linear,node,2,131072,17.31
linear,node,2,262144,27.83
linear,node,2,524288,49.25
linear,node,2,1048576,91.74
