Algorithm,Allocation,Processes,Avg Latency(us)
default,node,2,1.89
default,node,3,2.39
default,node,4,4.11
default,node,5,4.1
default,node,6,4.7
default,node,7,4.68
default,node,8,3.38
default,node,9,4.18
default,node,10,4.82
default,node,11,5.15
default,node,12,5.41
default,node,13,5.29
default,node,14,5.44
default,node,15,5.67
default,node,16,4.61
default,node,17,4.76
default,node,18,4.82
default,node,19,4.72
default,node,20,4.67
default,node,21,4.76
default,node,22,4.76
default,node,23,4.98
default,node,24,5.08
default,node,25,5.4
default,node,26,4.75
default,node,27,4.92
default,node,28,5.09
default,node,29,4.98
default,node,30,4.91
default,node,31,5.25
default,node,32,5.56
default,node,33,5.5
default,node,34,5.47
default,node,35,6.12
default,node,36,5.88
default,node,37,5.9
default,node,38,7.03
default,node,39,6.11
default,node,40,6.12
default,node,41,7.48
default,node,42,6.56
default,node,43,7.55
default,node,44,6.23
default,node,45,6.25
default,node,46,6.54
default,node,47,6.45
default,node,48,6.47
default,node,49,7.77
default,node,50,6.72
default,node,51,9.72
default,node,52,8.37
default,node,53,6.66
default,node,54,6.89
default,node,55,8.25
default,node,56,8.36
default,node,57,6.53
default,node,58,6.51
default,node,59,6.14
default,node,60,8.1
default,node,61,7.19
default,node,62,7.84
default,node,63,7.83
default,node,64,9.12
default,node,65,23.39
default,node,66,10.34
default,node,67,23.49
default,node,68,10.82
default,node,69,24.39
default,node,70,10.63
default,node,71,23.94
default,node,72,10.74
default,node,73,24.37
default,node,74,11.24
default,node,75,24.04
default,node,76,10.71
default,node,77,24.26
default,node,78,10.5
default,node,79,24.85
default,node,80,10.35
default,node,81,24.61
default,node,82,10.97
default,node,83,24.9
default,node,84,10.72
default,node,85,25.09
default,node,86,11.06
default,node,87,27.67
default,node,88,11.47
default,node,89,27.1
default,node,90,11.62
default,node,91,26.35
default,node,92,11.61
default,node,93,26.76
default,node,94,12.82
default,node,95,26.48
default,node,96,11.94
default,node,97,27.92
default,node,98,11.56
default,node,99,26.52
default,node,100,12.93
default,node,101,27.73
default,node,102,13.38
default,node,103,27.6
default,node,104,13.63
default,node,105,28.45
default,node,106,12.44
default,node,107,26.19
default,node,108,13.69
default,node,109,27.5
default,node,110,13.31
default,node,111,26.63
default,node,112,13.26
default,node,113,26.61
default,node,114,14.01
default,node,115,26.97
default,node,116,13.76
default,node,117,28.26
default,node,118,13.6
default,node,119,28.56
default,node,120,14.63
default,node,121,28.65
default,node,122,13.81
default,node,123,28.17
default,node,124,14.31
default,node,125,27.06
default,node,126,13.91
default,node,127,27.71
default,node,128,13.51
default,node,129,41.57
default,node,130,15.11
default,node,131,41.74
default,node,132,15.75
default,node,133,43.18
default,node,134,15.24
default,node,135,44.06
default,node,136,17.01
default,node,137,43.48
default,node,138,15.86
default,node,139,43.28
default,node,140,16.87
default,node,141,42.92
default,node,142,16.46
default,node,143,43.3
default,node,144,14.94
default,node,145,43.15
default,node,146,16.13
default,node,147,43.6
default,node,148,16.31
default,node,149,47.22
default,node,150,16.63
default,node,151,44.79
default,node,152,17.29
default,node,153,44.66
default,node,154,18.41
default,node,155,44.99
default,node,156,17.84
default,node,157,45.05
default,node,158,18.24
default,node,159,44.65
default,node,160,16.03
default,node,161,44.67
default,node,162,17.43
default,node,163,48.19
default,node,164,17.98
default,node,165,48.71
default,node,166,18.55
default,node,167,47.96
default,node,168,18.06
default,node,169,48.53
default,node,170,18.67
default,node,171,47.09
default,node,172,18.26
default,node,173,51.3
default,node,174,17.74
default,node,175,46.62
default,node,176,17.84
default,node,177,47.79
default,node,178,18.84
default,node,179,48.38
default,node,180,19.29
default,node,181,52.31
default,node,182,19.6
default,node,183,51.16
default,node,184,20.48
default,node,185,50.45
default,node,186,20.94
default,node,187,50.22
default,node,188,19.76
default,node,189,51.03
default,node,190,20.55
default,node,191,51.88
default,node,192,19.12
default,node,193,53.65
default,node,194,22.03
default,node,195,54.12
default,node,196,21.41
default,node,197,56.09
default,node,198,22.17
default,node,199,53.98
default,node,200,23.98
default,node,201,54.41
default,node,202,21.75
default,node,203,55.79
default,node,204,23.37
default,node,205,56.84
default,node,206,21.39
default,node,207,53.37
default,node,208,21.04
default,node,209,53.6
default,node,210,23.61
default,node,211,54.55
default,node,212,25.15
default,node,213,54.69
default,node,214,25.63
default,node,215,63.69
default,node,216,23.43
default,node,217,59.91
default,node,218,25.61
default,node,219,58.32
default,node,220,26.01
default,node,221,57.69
default,node,222,25.71
default,node,223,59.9
default,node,224,23.09
default,node,225,63.05
default,node,226,27.79
default,node,227,57.76
default,node,228,25.34
default,node,229,60.03
default,node,230,27.86
default,node,231,59.53
default,node,232,26.36
default,node,233,60.07
default,node,234,27.63
default,node,235,58.39
default,node,236,28.27
default,node,237,61.97
default,node,238,28.71
default,node,239,60.85
default,node,240,27.19
default,node,241,60.55
default,node,242,28.62
default,node,243,62.97
default,node,244,30.77
default,node,245,63.02
default,node,246,33.07
default,node,247,68.29
default,node,248,29.39
default,node,249,68.52
default,node,250,29.11
default,node,251,63.66
default,node,252,27.31
default,node,253,65.99
default,node,254,33.66
default,node,255,63.75
default,node,256,43.81
