Algorithm,Allocation,Processes,Avg Latency(us)
default,socket,2,0.74
default,socket,3,1.67
default,socket,4,1.75
default,socket,5,1.83
default,socket,6,2.41
default,socket,7,2.88
default,socket,8,1.99
default,socket,9,2.8
default,socket,10,2.54
default,socket,11,2.77
default,socket,12,3.32
default,socket,13,2.75
default,socket,14,3.04
default,socket,15,2.99
default,socket,16,2.43
default,socket,17,2.62
default,socket,18,3.22
default,socket,19,3.25
default,socket,20,3.38
default,socket,21,3.78
default,socket,22,3.95
default,socket,23,4.03
default,socket,24,4.2
default,socket,25,5.25
default,socket,26,4.22
default,socket,27,4.83
default,socket,28,4.11
default,socket,29,4.75
default,socket,30,4.34
default,socket,31,5.69
default,socket,32,3.51
default,socket,33,4.42
default,socket,34,4.35
default,socket,35,5.18
default,socket,36,4.65
default,socket,37,4.76
default,socket,38,4.93
default,socket,39,5.59
default,socket,40,5.54
default,socket,41,5.05
default,socket,42,5.09
default,socket,43,5.03
default,socket,44,5.05
default,socket,45,5.0
default,socket,46,5.07
default,socket,47,4.99
default,socket,48,4.96
default,socket,49,5.27
default,socket,50,5.19
default,socket,51,5.23
default,socket,52,5.19
default,socket,53,5.09
default,socket,54,5.17
default,socket,55,5.06
default,socket,56,5.11
default,socket,57,5.22
default,socket,58,5.96
default,socket,59,6.3
default,socket,60,5.5
default,socket,61,5.61
default,socket,62,5.74
default,socket,63,6.28
default,socket,64,5.79
default,socket,65,5.87
default,socket,66,4.82
default,socket,67,5.92
default,socket,68,5.05
default,socket,69,5.85
default,socket,70,5.07
default,socket,71,6.21
default,socket,72,5.16
default,socket,73,5.88
default,socket,74,5.02
default,socket,75,5.91
default,socket,76,4.88
default,socket,77,5.92
default,socket,78,5.3
default,socket,79,5.96
default,socket,80,5.07
default,socket,81,5.96
default,socket,82,5.31
default,socket,83,5.84
default,socket,84,5.3
default,socket,85,6.0
default,socket,86,5.16
default,socket,87,5.94
default,socket,88,4.92
default,socket,89,5.93
default,socket,90,5.01
default,socket,91,6.2
default,socket,92,5.2
default,socket,93,5.94
default,socket,94,5.12
default,socket,95,5.97
default,socket,96,5.09
default,socket,97,5.91
default,socket,98,5.04
default,socket,99,6.01
default,socket,100,5.24
default,socket,101,6.01
default,socket,102,5.51
default,socket,103,6.02
default,socket,104,5.66
default,socket,105,6.33
default,socket,106,5.12
default,socket,107,6.14
default,socket,108,5.1
default,socket,109,7.6
default,socket,110,5.24
default,socket,111,6.36
default,socket,112,5.24
default,socket,113,6.34
default,socket,114,5.11
default,socket,115,8.15
default,socket,116,5.36
default,socket,117,6.33
default,socket,118,5.82
default,socket,119,6.44
default,socket,120,5.23
default,socket,121,7.75
default,socket,122,5.26
default,socket,123,6.27
default,socket,124,5.34
default,socket,125,7.46
default,socket,126,5.18
default,socket,127,6.08
default,socket,128,6.07
default,socket,129,9.06
default,socket,130,9.4
default,socket,131,83.91
default,socket,132,9.78
default,socket,133,394.22
default,socket,134,11.36
default,socket,135,12.2
default,socket,136,13.42
default,socket,137,13.67
default,socket,138,14.45
default,socket,139,15.67
default,socket,140,86.93
default,socket,141,17.76
default,socket,142,18.39
default,socket,143,20.54
default,socket,144,22.71
default,socket,145,24.05
default,socket,146,51.96
default,socket,147,25.84
default,socket,148,427.23
default,socket,149,44.84
default,socket,150,27.09
default,socket,151,134.85
default,socket,152,28.14
default,socket,153,100.69
default,socket,154,28.74
default,socket,155,29.07
default,socket,156,31.28
default,socket,157,96.3
default,socket,158,31.56
default,socket,159,31.05
default,socket,160,298.93
default,socket,161,31.81
default,socket,162,31.68
default,socket,163,535.07
default,socket,164,36.13
default,socket,165,90.98
default,socket,166,449.19
default,socket,167,36.11
default,socket,168,119.13
default,socket,169,128.14
default,socket,170,395.58
default,socket,171,38.75
default,socket,172,348.21
default,socket,173,127.34
default,socket,174,331.91
default,socket,175,111.68
default,socket,176,299.91
default,socket,177,465.77
default,socket,178,70.48
default,socket,179,122.19
default,socket,180,43.57
default,socket,181,129.02
default,socket,182,237.8
default,socket,183,78.66
default,socket,184,125.88
default,socket,185,48.03
default,socket,186,109.02
default,socket,187,47.02
default,socket,188,477.61
default,socket,189,603.71
default,socket,190,123.82
default,socket,191,49.77
default,socket,192,52.3
default,socket,193,120.28
default,socket,194,121.43
default,socket,195,118.53
default,socket,196,477.16
default,socket,197,108.74
default,socket,198,129.59
default,socket,199,53.45
default,socket,200,441.0
default,socket,201,98.12
default,socket,202,382.85
default,socket,203,464.42
default,socket,204,113.07
default,socket,205,379.15
default,socket,206,496.22
default,socket,207,133.31
default,socket,208,93.89
default,socket,209,127.13
default,socket,210,55.44
default,socket,211,107.35
default,socket,212,527.52
default,socket,213,300.63
default,socket,214,106.46
default,socket,215,362.16
default,socket,216,80.72
default,socket,217,119.67
default,socket,218,691.77
default,socket,219,132.45
default,socket,220,56.97
default,socket,221,280.44
default,socket,222,396.48
default,socket,223,474.16
default,socket,224,371.83
default,socket,225,334.49
default,socket,226,58.92
default,socket,227,143.49
default,socket,228,113.27
default,socket,229,135.15
default,socket,230,116.24
default,socket,231,94.46
default,socket,232,128.59
default,socket,233,249.68
default,socket,234,269.96
default,socket,235,323.61
default,socket,236,117.76
default,socket,237,491.9
default,socket,238,451.35
default,socket,239,456.36
default,socket,240,93.58
default,socket,241,361.22
default,socket,242,113.93
default,socket,243,99.6
