Algorithm,Allocation,Processes,Avg Latency(us)
ring,core,2,0.71
ring,core,3,1.16
ring,core,4,1.56
ring,core,5,3.44
ring,core,6,4.24
ring,core,7,4.43
ring,core,8,4.93
ring,core,9,6.09
ring,core,10,6.46
ring,core,11,6.99
ring,core,12,7.37
ring,core,13,8.68
ring,core,14,9.34
ring,core,15,9.6
ring,core,16,10.06
ring,core,17,11.3
ring,core,18,11.86
ring,core,19,12.31
ring,core,20,12.76
ring,core,21,13.83
ring,core,22,16.24
ring,core,23,14.97
ring,core,24,15.39
ring,core,25,16.55
ring,core,26,17.15
ring,core,27,17.38
ring,core,28,17.73
ring,core,29,18.85
ring,core,30,19.39
ring,core,31,19.94
ring,core,32,21.52
ring,core,33,23.59
ring,core,34,25.11
ring,core,35,24.27
ring,core,36,25.03
ring,core,37,26.98
ring,core,38,27.29
ring,core,39,27.64
ring,core,40,28.06
ring,core,41,29.85
ring,core,42,31.02
ring,core,43,31.48
ring,core,44,29.68
ring,core,45,31.69
ring,core,46,33.89
ring,core,47,32.4
ring,core,48,33.87
ring,core,49,35.77
ring,core,50,34.9
ring,core,51,35.21
ring,core,52,36.17
ring,core,53,37.46
ring,core,54,38.44
ring,core,55,39.56
ring,core,56,39.15
ring,core,57,40.65
ring,core,58,41.33
ring,core,59,41.67
ring,core,60,42.75
ring,core,61,44.12
ring,core,62,44.76
ring,core,63,44.83
ring,core,64,45.37
ring,core,65,48.63
ring,core,66,49.84
ring,core,67,49.1
ring,core,68,49.38
ring,core,69,49.87
ring,core,70,52.62
ring,core,71,52.88
ring,core,72,51.77
ring,core,73,54.4
ring,core,74,54.39
ring,core,75,54.69
ring,core,76,56.25
ring,core,77,57.28
ring,core,78,57.44
ring,core,79,58.43
ring,core,80,58.91
ring,core,81,59.04
ring,core,82,61.37
ring,core,83,60.95
ring,core,84,59.58
ring,core,85,62.33
ring,core,86,60.33
ring,core,87,63.47
ring,core,88,63.79
ring,core,89,63.66
ring,core,90,65.99
ring,core,91,65.01
ring,core,92,64.87
ring,core,93,65.79
ring,core,94,66.07
ring,core,95,67.11
ring,core,96,67.25
ring,core,97,68.66
ring,core,98,69.51
ring,core,99,69.32
ring,core,100,69.34
ring,core,101,70.98
ring,core,102,72.65
ring,core,103,72.03
ring,core,104,73.84
ring,core,105,73.23
ring,core,106,74.07
ring,core,107,74.64
ring,core,108,74.8
ring,core,109,77.35
ring,core,110,76.9
ring,core,111,77.02
ring,core,112,79.15
ring,core,113,80.27
ring,core,114,80.97
ring,core,115,81.9
ring,core,116,82.25
ring,core,117,83.24
ring,core,118,85.78
ring,core,119,88.01
ring,core,120,88.16
ring,core,121,90.64
ring,core,122,88.97
ring,core,123,89.23
ring,core,124,90.97
ring,core,125,91.08
ring,core,126,93.2
ring,core,127,94.19
ring,core,128,93.72
ring,core,129,102.49
ring,core,130,101.62
ring,core,131,104.53
ring,core,132,105.79
ring,core,133,104.13
ring,core,134,106.41
ring,core,135,106.62
ring,core,136,108.44
ring,core,137,106.84
ring,core,138,108.18
ring,core,139,112.07
ring,core,140,111.49
ring,core,141,113.27
ring,core,142,111.7
ring,core,143,112.33
ring,core,144,113.29
ring,core,145,112.99
ring,core,146,115.59
ring,core,147,114.49
ring,core,148,118.15
ring,core,149,116.65
ring,core,150,116.63
ring,core,151,118.64
ring,core,152,120.6
ring,core,153,121.99
ring,core,154,123.88
ring,core,155,121.04
ring,core,156,123.72
ring,core,157,127.38
ring,core,158,123.31
ring,core,159,124.35
ring,core,160,126.77
ring,core,161,127.21
ring,core,162,126.03
ring,core,163,126.34
ring,core,164,128.41
ring,core,165,129.09
ring,core,166,129.12
ring,core,167,128.33
ring,core,168,133.6
ring,core,169,129.26
ring,core,170,132.09
ring,core,171,134.43
ring,core,172,133.56
ring,core,173,130.11
ring,core,174,135.37
ring,core,175,138.17
ring,core,176,134.85
ring,core,177,137.74
ring,core,178,140.09
ring,core,179,138.21
ring,core,180,138.11
ring,core,181,137.58
ring,core,182,138.62
ring,core,183,141.99
ring,core,184,141.58
ring,core,185,144.61
ring,core,186,144.08
ring,core,187,142.94
ring,core,188,145.95
ring,core,189,146.72
ring,core,190,147.38
ring,core,191,146.75
ring,core,192,148.79
ring,core,193,151.85
ring,core,194,152.02
ring,core,195,151.44
ring,core,196,153.64
ring,core,197,158.13
ring,core,198,160.76
ring,core,199,157.71
ring,core,200,155.72
ring,core,201,158.23
ring,core,202,162.0
ring,core,203,165.14
ring,core,204,162.36
ring,core,205,163.01
ring,core,206,164.97
ring,core,207,163.32
ring,core,208,167.76
ring,core,209,167.33
ring,core,210,168.25
ring,core,211,169.85
ring,core,212,168.68
ring,core,213,171.52
ring,core,214,171.05
ring,core,215,171.02
ring,core,216,172.17
ring,core,217,249.57
ring,core,218,176.21
ring,core,219,177.38
ring,core,220,173.71
ring,core,221,176.71
ring,core,222,173.35
ring,core,223,177.1
ring,core,224,177.34
ring,core,225,180.09
ring,core,226,179.99
ring,core,227,180.82
ring,core,228,182.31
ring,core,229,181.87
ring,core,230,188.21
ring,core,231,188.03
ring,core,232,185.8
ring,core,233,184.82
ring,core,234,191.63
ring,core,235,191.55
ring,core,236,187.04
ring,core,237,190.8
ring,core,238,188.66
ring,core,239,192.72
ring,core,240,191.44
ring,core,241,195.22
ring,core,242,194.35
