Algorithm,Allocation,Processes,Avg Latency(us)
ring,node,2,9.52
ring,node,3,10.84
ring,node,4,19.27
ring,node,5,20.78
ring,node,6,29.32
ring,node,7,30.62
ring,node,8,39.17
ring,node,9,40.33
ring,node,10,47.58
ring,node,11,50.21
ring,node,12,57.21
ring,node,13,58.7
ring,node,14,66.17
ring,node,15,67.33
ring,node,16,74.4
ring,node,17,75.91
ring,node,18,84.15
ring,node,19,85.52
ring,node,20,94.29
ring,node,21,95.14
ring,node,22,103.99
ring,node,23,105.74
ring,node,24,114.58
ring,node,25,116.37
ring,node,26,123.54
ring,node,27,124.58
ring,node,28,132.57
ring,node,29,133.27
ring,node,30,139.91
ring,node,31,142.28
ring,node,32,149.25
ring,node,33,149.9
ring,node,34,159.29
ring,node,35,160.08
ring,node,36,168.6
ring,node,37,169.52
ring,node,38,177.71
ring,node,39,177.68
ring,node,40,188.48
ring,node,41,189.36
ring,node,42,196.4
ring,node,43,197.7
ring,node,44,205.37
ring,node,45,206.62
ring,node,46,215.57
ring,node,47,215.63
ring,node,48,222.19
ring,node,49,222.53
ring,node,50,233.51
ring,node,51,233.03
ring,node,52,241.86
ring,node,53,242.57
ring,node,54,252.65
ring,node,55,253.04
ring,node,56,261.44
ring,node,57,264.51
ring,node,58,272.46
ring,node,59,271.11
ring,node,60,319.11
ring,node,61,320.12
ring,node,62,327.41
ring,node,63,328.66
ring,node,64,336.31
ring,node,65,340.38
ring,node,66,354.93
ring,node,67,357.17
ring,node,68,370.03
ring,node,69,377.78
ring,node,70,388.45
ring,node,71,391.38
ring,node,72,406.18
ring,node,73,409.48
ring,node,74,419.44
ring,node,75,424.35
ring,node,76,436.67
ring,node,77,439.13
ring,node,78,449.59
ring,node,79,454.65
ring,node,80,465.5
ring,node,81,469.52
ring,node,82,480.16
ring,node,83,483.42
ring,node,84,495.73
ring,node,85,499.88
ring,node,86,512.91
ring,node,87,515.15
ring,node,88,528.26
ring,node,89,530.21
ring,node,90,544.38
ring,node,91,545.47
ring,node,92,558.53
ring,node,93,560.04
ring,node,94,572.23
ring,node,95,574.89
ring,node,96,586.27
ring,node,97,589.25
ring,node,98,605.37
ring,node,99,604.25
ring,node,100,621.04
ring,node,101,621.75
ring,node,102,634.36
ring,node,103,635.8
ring,node,104,651.0
ring,node,105,651.39
ring,node,106,662.94
ring,node,107,664.0
ring,node,108,679.65
ring,node,109,679.98
ring,node,110,692.71
ring,node,111,695.35
ring,node,112,705.22
ring,node,113,707.56
ring,node,114,722.24
ring,node,115,722.83
ring,node,116,734.94
ring,node,117,738.73
ring,node,118,752.61
ring,node,119,753.29
ring,node,120,765.51
ring,node,121,767.85
ring,node,122,782.27
ring,node,123,781.18
ring,node,124,792.39
ring,node,125,796.62
ring,node,126,808.41
ring,node,127,812.96
ring,node,128,821.58
ring,node,129,822.94
ring,node,130,837.33
ring,node,131,841.85
ring,node,132,854.42
ring,node,133,855.89
ring,node,134,873.58
ring,node,135,873.57
ring,node,136,888.95
ring,node,137,887.71
ring,node,138,901.65
ring,node,139,902.98
ring,node,140,915.58
ring,node,141,916.53
ring,node,142,931.46
ring,node,143,930.24
ring,node,144,940.98
ring,node,145,945.18
ring,node,146,956.12
ring,node,147,959.81
ring,node,148,974.63
ring,node,149,976.6
ring,node,150,989.83
ring,node,151,991.91
ring,node,152,1001.77
ring,node,153,1007.23
ring,node,154,1016.02
ring,node,155,1025.18
ring,node,156,1033.88
ring,node,157,1037.01
ring,node,158,1046.96
ring,node,159,1051.35
ring,node,160,1062.03
ring,node,161,1066.13
ring,node,162,1077.7
ring,node,163,1078.77
ring,node,164,1098.37
ring,node,165,1095.15
ring,node,166,1113.52
ring,node,167,1110.03
ring,node,168,1125.9
ring,node,169,1128.76
ring,node,170,1144.69
ring,node,171,1142.26
ring,node,172,1154.46
ring,node,173,1159.31
ring,node,174,1174.34
ring,node,175,1172.19
ring,node,176,1188.05
ring,node,177,1188.81
ring,node,178,1203.05
ring,node,179,1202.1
ring,node,180,1217.38
ring,node,181,1222.97
ring,node,182,1237.08
ring,node,183,1237.37
ring,node,184,1246.67
ring,node,185,1251.09
ring,node,186,1264.83
ring,node,187,1267.59
ring,node,188,1278.89
ring,node,189,1283.08
ring,node,190,1294.82
ring,node,191,1291.51
ring,node,192,1307.99
ring,node,193,1312.72
ring,node,194,1324.54
ring,node,195,1323.24
ring,node,196,1338.02
ring,node,197,1342.82
ring,node,198,1353.72
ring,node,199,1358.1
ring,node,200,1369.11
ring,node,201,1371.73
ring,node,202,1393.83
ring,node,203,1390.95
ring,node,204,1398.89
ring,node,205,1404.69
ring,node,206,1414.53
ring,node,207,1423.09
ring,node,208,1434.29
ring,node,209,1427.18
ring,node,210,1445.56
ring,node,211,1447.94
ring,node,212,1469.4
ring,node,213,1461.07
ring,node,214,1482.63
ring,node,215,1481.41
ring,node,216,1496.3
ring,node,217,1497.73
ring,node,218,1506.18
ring,node,219,1510.59
ring,node,220,1521.67
ring,node,221,1531.06
ring,node,222,1542.6
ring,node,223,1541.61
ring,node,224,1554.85
ring,node,225,1560.59
ring,node,226,1574.11
ring,node,227,1577.08
ring,node,228,1585.44
ring,node,229,1588.08
ring,node,230,1604.98
ring,node,231,1607.41
ring,node,232,1624.57
ring,node,233,1616.72
ring,node,234,1629.16
ring,node,235,1638.7
ring,node,236,1651.16
ring,node,237,1653.64
ring,node,238,1666.18
ring,node,239,1665.79
ring,node,240,1685.03
ring,node,241,1679.78
ring,node,242,1701.81
ring,node,243,1695.73
ring,node,244,1709.69
ring,node,245,1711.77
ring,node,246,1726.43
ring,node,247,1736.87
ring,node,248,1744.08
ring,node,249,1746.82
ring,node,250,1767.06
ring,node,251,1765.16
ring,node,252,1772.98
ring,node,253,1770.97
ring,node,254,1789.02
ring,node,255,1789.64
ring,node,256,1801.35
