Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
bin_tree,node,2,1,1.73
bin_tree,node,2,2,1.73
bin_tree,node,2,4,1.74
bin_tree,node,2,8,1.72
bin_tree,node,2,16,1.73
bin_tree,node,2,32,1.83
bin_tree,node,2,64,2.24
bin_tree,node,2,128,1.80
bin_tree,node,2,256,2.39
bin_tree,node,2,512,2.40
bin_tree,node,2,1024,2.96
bin_tree,node,2,2048,3.55
bin_tree,node,3,1,1.69
bin_tree,node,3,2,1.69
bin_tree,node,3,4,1.70
bin_tree,node,3,8,1.69
bin_tree,node,3,16,1.69
bin_tree,node,3,32,1.78
bin_tree,node,3,64,2.29
bin_tree,node,3,128,1.88
bin_tree,node,3,256,2.38
bin_tree,node,3,512,2.55
bin_tree,node,3,1024,2.99
bin_tree,node,3,2048,2.86
bin_tree,node,4,1,0.87
bin_tree,node,4,2,0.87
bin_tree,node,4,4,0.87
bin_tree,node,4,8,0.87
bin_tree,node,4,16,0.88
bin_tree,node,4,32,0.97
bin_tree,node,4,64,1.37
bin_tree,node,4,128,1.16
bin_tree,node,4,256,1.32
bin_tree,node,4,512,1.62
bin_tree,node,4,1024,1.98
bin_tree,node,4,2048,2.17
bin_tree,node,5,1,1.04
bin_tree,node,5,2,1.04
bin_tree,node,5,4,1.05
bin_tree,node,5,8,1.05
bin_tree,node,5,16,1.04
bin_tree,node,5,32,1.16
bin_tree,node,5,64,1.46
bin_tree,node,5,128,1.40
bin_tree,node,5,256,1.95
bin_tree,node,5,512,2.23
bin_tree,node,5,1024,2.59
bin_tree,node,5,2048,2.55
bin_tree,node,6,1,1.31
bin_tree,node,6,2,1.32
bin_tree,node,6,4,1.31
bin_tree,node,6,8,1.32
bin_tree,node,6,16,1.32
bin_tree,node,6,32,1.44
bin_tree,node,6,64,1.83
bin_tree,node,6,128,1.84
bin_tree,node,6,256,1.98
bin_tree,node,6,512,2.24
bin_tree,node,6,1024,2.69
bin_tree,node,6,2048,3.12
bin_tree,node,7,1,1.46
bin_tree,node,7,2,1.49
bin_tree,node,7,4,1.51
bin_tree,node,7,8,1.48
bin_tree,node,7,16,1.52
bin_tree,node,7,32,1.63
bin_tree,node,7,64,1.96
bin_tree,node,7,128,1.96
bin_tree,node,7,256,2.46
bin_tree,node,7,512,2.78
bin_tree,node,7,1024,3.23
bin_tree,node,7,2048,3.62
bin_tree,node,8,1,2.75
bin_tree,node,8,2,2.70
bin_tree,node,8,4,2.72
bin_tree,node,8,8,2.70
bin_tree,node,8,16,2.72
bin_tree,node,8,32,2.96
bin_tree,node,8,64,3.44
bin_tree,node,8,128,3.26
bin_tree,node,8,256,3.91
bin_tree,node,8,512,4.15
bin_tree,node,8,1024,4.67
bin_tree,node,8,2048,5.25
bin_tree,node,9,1,3.64
bin_tree,node,9,2,3.54
bin_tree,node,9,4,3.55
bin_tree,node,9,8,3.51
bin_tree,node,9,16,3.61
bin_tree,node,9,32,4.07
bin_tree,node,9,64,4.49
bin_tree,node,9,128,4.05
bin_tree,node,9,256,4.68
bin_tree,node,9,512,5.01
bin_tree,node,9,1024,5.54
bin_tree,node,9,2048,6.19
bin_tree,node,10,1,3.63
bin_tree,node,10,2,3.59
bin_tree,node,10,4,3.65
bin_tree,node,10,8,3.60
bin_tree,node,10,16,3.65
bin_tree,node,10,32,4.16
bin_tree,node,10,64,4.55
bin_tree,node,10,128,4.44
bin_tree,node,10,256,5.01
bin_tree,node,10,512,5.47
bin_tree,node,10,1024,6.06
bin_tree,node,10,2048,6.74
bin_tree,node,11,1,3.14
bin_tree,node,11,2,3.12
bin_tree,node,11,4,3.13
bin_tree,node,11,8,3.14
bin_tree,node,11,16,3.40
bin_tree,node,11,32,3.55
bin_tree,node,11,64,4.13
bin_tree,node,11,128,3.90
bin_tree,node,11,256,4.44
bin_tree,node,11,512,4.89
bin_tree,node,11,1024,5.44
bin_tree,node,11,2048,6.31
bin_tree,node,12,1,3.61
bin_tree,node,12,2,3.58
bin_tree,node,12,4,3.55
bin_tree,node,12,8,3.73
bin_tree,node,12,16,3.75
bin_tree,node,12,32,4.09
bin_tree,node,12,64,4.63
bin_tree,node,12,128,4.63
bin_tree,node,12,256,5.01
bin_tree,node,12,512,5.45
bin_tree,node,12,1024,6.00
bin_tree,node,12,2048,7.12
bin_tree,node,13,1,3.30
bin_tree,node,13,2,3.34
bin_tree,node,13,4,3.49
bin_tree,node,13,8,3.34
bin_tree,node,13,16,3.49
bin_tree,node,13,32,3.71
bin_tree,node,13,64,4.40
bin_tree,node,13,128,4.28
bin_tree,node,13,256,4.81
bin_tree,node,13,512,5.22
bin_tree,node,13,1024,5.87
bin_tree,node,13,2048,6.94
bin_tree,node,14,1,3.50
