Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
bin_tree,socket,2,1,0.59
bin_tree,socket,2,2,0.59
bin_tree,socket,2,4,0.59
bin_tree,socket,2,8,0.59
bin_tree,socket,2,16,0.59
bin_tree,socket,2,32,0.71
bin_tree,socket,2,64,0.70
bin_tree,socket,2,128,0.84
bin_tree,socket,2,256,0.90
bin_tree,socket,2,512,1.01
bin_tree,socket,2,1024,1.09
bin_tree,socket,2,2048,1.50
bin_tree,socket,3,1,0.80
bin_tree,socket,3,2,0.78
bin_tree,socket,3,4,0.83
bin_tree,socket,3,8,0.82
bin_tree,socket,3,16,0.96
bin_tree,socket,3,32,1.13
bin_tree,socket,3,64,1.13
bin_tree,socket,3,128,1.36
bin_tree,socket,3,256,1.40
bin_tree,socket,3,512,1.63
bin_tree,socket,3,1024,1.71
bin_tree,socket,3,2048,2.37
bin_tree,socket,4,1,0.88
bin_tree,socket,4,2,0.89
bin_tree,socket,4,4,0.91
bin_tree,socket,4,8,0.92
bin_tree,socket,4,16,0.92
bin_tree,socket,4,32,1.00
bin_tree,socket,4,64,1.00
bin_tree,socket,4,128,1.31
bin_tree,socket,4,256,1.39
bin_tree,socket,4,512,1.67
bin_tree,socket,4,1024,1.79
bin_tree,socket,4,2048,2.53
bin_tree,socket,5,1,0.85
bin_tree,socket,5,2,0.86
bin_tree,socket,5,4,0.88
bin_tree,socket,5,8,0.90
bin_tree,socket,5,16,0.90
bin_tree,socket,5,32,1.05
bin_tree,socket,5,64,1.04
bin_tree,socket,5,128,1.53
bin_tree,socket,5,256,1.56
bin_tree,socket,5,512,1.77
bin_tree,socket,5,1024,1.99
bin_tree,socket,5,2048,2.84
bin_tree,socket,6,1,1.21
bin_tree,socket,6,2,1.21
bin_tree,socket,6,4,1.30
bin_tree,socket,6,8,1.38
bin_tree,socket,6,16,1.37
bin_tree,socket,6,32,1.56
bin_tree,socket,6,64,1.56
bin_tree,socket,6,128,2.15
bin_tree,socket,6,256,2.23
bin_tree,socket,6,512,2.73
bin_tree,socket,6,1024,2.63
bin_tree,socket,6,2048,3.77
bin_tree,socket,7,1,1.22
bin_tree,socket,7,2,1.23
bin_tree,socket,7,4,1.34
bin_tree,socket,7,8,1.33
bin_tree,socket,7,16,1.34
bin_tree,socket,7,32,1.53
bin_tree,socket,7,64,1.57
bin_tree,socket,7,128,2.16
bin_tree,socket,7,256,2.12
bin_tree,socket,7,512,2.43
bin_tree,socket,7,1024,2.62
bin_tree,socket,7,2048,3.85
bin_tree,socket,8,1,1.47
bin_tree,socket,8,2,1.46
bin_tree,socket,8,4,1.61
bin_tree,socket,8,8,1.63
bin_tree,socket,8,16,1.62
bin_tree,socket,8,32,1.68
bin_tree,socket,8,64,1.65
bin_tree,socket,8,128,2.75
bin_tree,socket,8,256,2.49
bin_tree,socket,8,512,2.74
bin_tree,socket,8,1024,3.10
bin_tree,socket,8,2048,4.26
bin_tree,socket,9,1,1.63
bin_tree,socket,9,2,1.58
bin_tree,socket,9,4,1.78
bin_tree,socket,9,8,1.71
