Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
chain,core,2,1,0.16
chain,core,2,2,0.15
chain,core,2,4,0.15
chain,core,2,8,0.15
chain,core,2,16,0.15
chain,core,2,32,0.15
chain,core,2,64,0.15
chain,core,2,128,0.22
chain,core,2,256,0.22
chain,core,2,512,0.25
chain,core,2,1024,0.24
chain,core,2,2048,0.31
chain,core,3,1,0.28
chain,core,3,2,0.27
chain,core,3,4,0.28
chain,core,3,8,0.27
chain,core,3,16,0.28
chain,core,3,32,0.28
chain,core,3,64,0.28
chain,core,3,128,0.36
chain,core,3,256,0.37
chain,core,3,512,0.41
chain,core,3,1024,0.43
chain,core,3,2048,0.53
chain,core,4,1,0.16
chain,core,4,2,0.16
chain,core,4,4,0.16
chain,core,4,8,0.17
chain,core,4,16,0.16
chain,core,4,32,0.17
chain,core,4,64,0.17
chain,core,4,128,0.30
chain,core,4,256,0.30
chain,core,4,512,0.33
chain,core,4,1024,0.35
chain,core,4,2048,0.50
chain,core,5,1,0.24
chain,core,5,2,0.24
chain,core,5,4,0.24
chain,core,5,8,0.24
chain,core,5,16,0.24
chain,core,5,32,0.26
chain,core,5,64,0.26
chain,core,5,128,0.49
chain,core,5,256,0.48
chain,core,5,512,0.55
chain,core,5,1024,0.58
chain,core,5,2048,0.82
chain,core,6,1,0.31
chain,core,6,2,0.31
chain,core,6,4,0.32
chain,core,6,8,0.31
chain,core,6,16,0.34
chain,core,6,32,0.35
chain,core,6,64,0.35
chain,core,6,128,0.60
chain,core,6,256,0.65
chain,core,6,512,0.71
chain,core,6,1024,0.76
chain,core,6,2048,1.10
chain,core,7,1,0.42
chain,core,7,2,0.44
chain,core,7,4,0.45
chain,core,7,8,0.45
chain,core,7,16,0.45
chain,core,7,32,0.49
chain,core,7,64,0.47
chain,core,7,128,0.75
chain,core,7,256,0.73
chain,core,7,512,0.82
chain,core,7,1024,0.94
chain,core,7,2048,1.34
chain,core,8,1,0.81
chain,core,8,2,0.84
chain,core,8,4,0.82
chain,core,8,8,0.84
chain,core,8,16,0.83
chain,core,8,32,0.88
chain,core,8,64,0.86
chain,core,8,128,1.31
chain,core,8,256,1.30
chain,core,8,512,1.43
chain,core,8,1024,1.57
chain,core,8,2048,2.05
chain,core,9,1,1.18
chain,core,9,2,1.26
chain,core,9,4,1.23
chain,core,9,8,1.25
chain,core,9,16,1.20
chain,core,9,32,1.31
chain,core,9,64,1.28
chain,core,9,128,1.82
chain,core,9,256,1.84
chain,core,9,512,1.85
chain,core,9,1024,2.11
chain,core,9,2048,2.51
chain,core,10,1,1.15
chain,core,10,2,1.17
chain,core,10,4,1.18
chain,core,10,8,1.19
chain,core,10,16,1.21
chain,core,10,32,1.26
chain,core,10,64,1.29
chain,core,10,128,1.70
chain,core,10,256,1.72
chain,core,10,512,1.92
chain,core,10,1024,1.95
chain,core,10,2048,2.52
chain,core,11,1,1.23
chain,core,11,2,1.27
chain,core,11,4,1.22
chain,core,11,8,1.21
chain,core,11,16,1.20
chain,core,11,32,1.34
chain,core,11,64,1.31
chain,core,11,128,2.02
chain,core,11,256,1.88
chain,core,11,512,2.03
chain,core,11,1024,2.14
chain,core,11,2048,2.73
chain,core,12,1,1.21
chain,core,12,2,1.15
chain,core,12,4,1.15
chain,core,12,8,1.16
chain,core,12,16,1.14
chain,core,12,32,1.30
chain,core,12,64,1.24
chain,core,12,128,1.83
chain,core,12,256,2.00
chain,core,12,512,1.96
chain,core,12,1024,2.17
chain,core,12,2048,2.77
chain,core,13,1,1.21
chain,core,13,2,1.20
chain,core,13,4,1.20
chain,core,13,8,1.20
chain,core,13,16,1.22
chain,core,13,32,1.29
chain,core,13,64,1.31
chain,core,13,128,1.85
chain,core,13,256,1.91
chain,core,13,512,2.00
chain,core,13,1024,2.34
chain,core,13,2048,3.04
chain,core,14,1,1.16
chain,core,14,2,1.14
chain,core,14,4,1.14
chain,core,14,8,1.15
chain,core,14,16,1.13
chain,core,14,32,1.27
chain,core,14,64,1.26
chain,core,14,128,1.84
chain,core,14,256,2.12
chain,core,14,512,1.98
chain,core,14,1024,2.11
chain,core,14,2048,2.77
chain,core,15,1,1.18
chain,core,15,2,1.16
chain,core,15,4,1.15
chain,core,15,8,1.14
chain,core,15,16,1.14
chain,core,15,32,1.26
chain,core,15,64,1.27
chain,core,15,128,2.05
chain,core,15,256,1.98
