Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
chain,node,2,1,1.75
chain,node,2,2,1.73
chain,node,2,4,1.74
chain,node,2,8,1.74
chain,node,2,16,1.74
chain,node,2,32,1.85
chain,node,2,64,2.26
chain,node,2,128,1.81
chain,node,2,256,2.41
chain,node,2,512,2.43
chain,node,2,1024,2.97
chain,node,2,2048,3.60
chain,node,3,1,1.71
chain,node,3,2,1.70
chain,node,3,4,1.71
chain,node,3,8,1.70
chain,node,3,16,1.71
chain,node,3,32,1.78
chain,node,3,64,2.32
chain,node,3,128,1.89
chain,node,3,256,2.40
chain,node,3,512,2.56
chain,node,3,1024,3.07
chain,node,3,2048,2.90
chain,node,4,1,0.92
chain,node,4,2,0.91
chain,node,4,4,0.91
chain,node,4,8,0.91
chain,node,4,16,0.91
chain,node,4,32,1.05
chain,node,4,64,1.39
chain,node,4,128,1.18
chain,node,4,256,1.52
chain,node,4,512,1.74
chain,node,4,1024,2.17
chain,node,4,2048,2.03
chain,node,5,1,1.05
chain,node,5,2,1.03
chain,node,5,4,1.04
chain,node,5,8,1.03
chain,node,5,16,1.03
chain,node,5,32,1.14
chain,node,5,64,1.45
chain,node,5,128,1.34
chain,node,5,256,2.01
chain,node,5,512,2.18
chain,node,5,1024,2.63
chain,node,5,2048,2.19
chain,node,6,1,1.91
chain,node,6,2,1.91
chain,node,6,4,1.88
chain,node,6,8,1.91
chain,node,6,16,1.88
chain,node,6,32,2.01
chain,node,6,64,2.31
chain,node,6,128,2.30
chain,node,6,256,2.79
chain,node,6,512,3.06
chain,node,6,1024,3.60
chain,node,6,2048,3.51
chain,node,7,1,2.39
chain,node,7,2,2.36
chain,node,7,4,2.38
chain,node,7,8,2.36
chain,node,7,16,2.38
chain,node,7,32,2.50
chain,node,7,64,2.75
chain,node,7,128,2.69
chain,node,7,256,3.78
chain,node,7,512,4.01
chain,node,7,1024,4.67
chain,node,7,2048,4.20
chain,node,8,1,2.67
chain,node,8,2,2.65
chain,node,8,4,2.66
chain,node,8,8,2.65
chain,node,8,16,2.66
chain,node,8,32,2.76
chain,node,8,64,3.36
chain,node,8,128,3.03
chain,node,8,256,4.15
chain,node,8,512,4.48
chain,node,8,1024,5.33
chain,node,8,2048,4.35
chain,node,9,1,3.92
chain,node,9,2,3.93
chain,node,9,4,3.95
chain,node,9,8,3.92
chain,node,9,16,4.02
chain,node,9,32,4.12
chain,node,9,64,4.17
chain,node,9,128,4.13
chain,node,9,256,5.48
chain,node,9,512,5.87
chain,node,9,1024,6.72
chain,node,9,2048,5.87
chain,node,10,1,4.28
chain,node,10,2,4.26
chain,node,10,4,4.30
chain,node,10,8,4.66
chain,node,10,16,4.39
chain,node,10,32,4.52
chain,node,10,64,5.02
chain,node,10,128,5.02
chain,node,10,256,6.06
chain,node,10,512,6.39
chain,node,10,1024,7.46
chain,node,10,2048,7.24
chain,node,11,1,4.15
chain,node,11,2,4.11
chain,node,11,4,4.17
chain,node,11,8,4.36
chain,node,11,16,4.36
chain,node,11,32,4.32
chain,node,11,64,5.27
chain,node,11,128,4.66
chain,node,11,256,6.09
chain,node,11,512,6.44
chain,node,11,1024,7.74
chain,node,11,2048,7.51
chain,node,12,1,4.21
