Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
chain,socket,2,1,0.60
chain,socket,2,2,0.59
chain,socket,2,4,0.60
chain,socket,2,8,0.59
chain,socket,2,16,0.60
chain,socket,2,32,0.71
chain,socket,2,64,0.71
chain,socket,2,128,0.94
chain,socket,2,256,1.03
chain,socket,2,512,1.28
chain,socket,2,1024,1.33
chain,socket,2,2048,1.57
chain,socket,3,1,0.92
chain,socket,3,2,0.90
chain,socket,3,4,0.96
chain,socket,3,8,0.96
chain,socket,3,16,0.97
chain,socket,3,32,1.11
chain,socket,3,64,1.12
chain,socket,3,128,1.37
chain,socket,3,256,1.38
chain,socket,3,512,1.63
chain,socket,3,1024,1.78
chain,socket,3,2048,2.25
chain,socket,4,1,0.58
chain,socket,4,2,0.59
chain,socket,4,4,0.61
chain,socket,4,8,0.62
chain,socket,4,16,0.62
chain,socket,4,32,0.70
chain,socket,4,64,0.69
chain,socket,4,128,1.19
chain,socket,4,256,1.18
chain,socket,4,512,1.38
chain,socket,4,1024,1.35
chain,socket,4,2048,2.59
chain,socket,5,1,0.69
chain,socket,5,2,0.67
chain,socket,5,4,0.67
chain,socket,5,8,0.69
chain,socket,5,16,0.69
chain,socket,5,32,0.76
chain,socket,5,64,0.75
chain,socket,5,128,1.17
chain,socket,5,256,1.34
chain,socket,5,512,1.43
chain,socket,5,1024,1.56
chain,socket,5,2048,2.56
chain,socket,6,1,0.90
chain,socket,6,2,0.91
chain,socket,6,4,0.93
chain,socket,6,8,0.95
chain,socket,6,16,0.95
chain,socket,6,32,1.14
chain,socket,6,64,1.12
chain,socket,6,128,1.77
chain,socket,6,256,1.77
chain,socket,6,512,1.96
chain,socket,6,1024,2.07
chain,socket,6,2048,3.38
chain,socket,7,1,1.15
chain,socket,7,2,1.23
chain,socket,7,4,1.22
chain,socket,7,8,1.23
chain,socket,7,16,1.23
chain,socket,7,32,1.49
chain,socket,7,64,1.45
chain,socket,7,128,2.26
chain,socket,7,256,2.32
chain,socket,7,512,2.33
chain,socket,7,1024,2.79
chain,socket,7,2048,3.95
chain,socket,8,1,1.70
chain,socket,8,2,1.72
chain,socket,8,4,1.66
chain,socket,8,8,1.69
chain,socket,8,16,1.74
chain,socket,8,32,1.95
chain,socket,8,64,1.96
chain,socket,8,128,3.27
chain,socket,8,256,3.34
chain,socket,8,512,3.51
chain,socket,8,1024,4.34
chain,socket,8,2048,5.72
chain,socket,9,1,2.37
chain,socket,9,2,2.40
chain,socket,9,4,2.52
chain,socket,9,8,2.49
chain,socket,9,16,2.57
chain,socket,9,32,2.82
chain,socket,9,64,2.83
chain,socket,9,128,4.56
chain,socket,9,256,4.27
chain,socket,9,512,4.37
chain,socket,9,1024,4.63
chain,socket,9,2048,6.51
chain,socket,10,1,2.53
chain,socket,10,2,2.54
chain,socket,10,4,2.52
chain,socket,10,8,2.55
chain,socket,10,16,2.51
chain,socket,10,32,2.82
chain,socket,10,64,2.77
chain,socket,10,128,4.09
chain,socket,10,256,4.06
chain,socket,10,512,4.32
chain,socket,10,1024,4.38
chain,socket,10,2048,6.06
chain,socket,11,1,2.21
chain,socket,11,2,2.34
chain,socket,11,4,2.38
chain,socket,11,8,2.39
chain,socket,11,16,2.41
chain,socket,11,32,2.69
chain,socket,11,64,2.91
chain,socket,11,128,3.96
chain,socket,11,256,4.06
chain,socket,11,512,4.30
chain,socket,11,1024,4.39
chain,socket,11,2048,6.28
chain,socket,12,1,2.10
chain,socket,12,2,2.22
chain,socket,12,4,2.23
chain,socket,12,8,2.27
chain,socket,12,16,2.19
chain,socket,12,32,2.84
chain,socket,12,64,3.11
chain,socket,12,128,4.44
chain,socket,12,256,4.34
chain,socket,12,512,4.69
chain,socket,12,1024,5.07
chain,socket,12,2048,6.75
chain,socket,13,1,2.31
chain,socket,13,2,2.51
chain,socket,13,4,2.43
chain,socket,13,8,2.34
chain,socket,13,16,2.39
chain,socket,13,32,2.97
chain,socket,13,64,3.25
chain,socket,13,128,4.31
chain,socket,13,256,4.45
chain,socket,13,512,4.87
chain,socket,13,1024,5.40
chain,socket,13,2048,7.32
chain,socket,14,1,2.31
chain,socket,14,2,2.51
chain,socket,14,4,2.46
chain,socket,14,8,2.46
chain,socket,14,16,2.53
chain,socket,14,32,3.12
chain,socket,14,64,2.92
chain,socket,14,128,4.50
chain,socket,14,256,4.46
chain,socket,14,512,4.77
chain,socket,14,1024,5.05
chain,socket,14,2048,7.51
chain,socket,15,1,2.41
chain,socket,15,2,2.61
chain,socket,15,4,2.48
chain,socket,15,8,2.50
chain,socket,15,16,2.45
chain,socket,15,32,3.12
chain,socket,15,64,2.95
chain,socket,15,128,4.40
chain,socket,15,256,4.58
chain,socket,15,512,5.50
chain,socket,15,1024,5.69
chain,socket,15,2048,8.07
chain,socket,16,1,2.45
chain,socket,16,2,2.49
chain,socket,16,4,2.70
chain,socket,16,8,2.67
chain,socket,16,16,2.58
chain,socket,16,32,3.15
chain,socket,16,64,3.10
chain,socket,16,128,4.71
chain,socket,16,256,4.79
chain,socket,16,512,5.39
chain,socket,16,1024,5.68
chain,socket,16,2048,8.43
chain,socket,17,1,3.58
chain,socket,17,2,3.85
chain,socket,17,4,3.85
chain,socket,17,8,4.24
chain,socket,17,16,3.82
chain,socket,17,32,4.44
chain,socket,17,64,4.30
chain,socket,17,128,5.82
chain,socket,17,256,6.06
chain,socket,17,512,6.85
chain,socket,17,1024,6.93
chain,socket,17,2048,9.73
chain,socket,18,1,3.17
chain,socket,18,2,3.56
chain,socket,18,4,3.58
chain,socket,18,8,3.51
chain,socket,18,16,3.45
chain,socket,18,32,4.00
chain,socket,18,64,4.23
chain,socket,18,128,5.34
chain,socket,18,256,5.64
chain,socket,18,512,6.34
chain,socket,18,1024,6.91
chain,socket,18,2048,9.19
chain,socket,19,1,3.15
chain,socket,19,2,3.43
chain,socket,19,4,3.36
chain,socket,19,8,3.18
chain,socket,19,16,3.32
chain,socket,19,32,3.76
chain,socket,19,64,3.73
chain,socket,19,128,5.28
chain,socket,19,256,5.34
chain,socket,19,512,6.14
chain,socket,19,1024,6.44
chain,socket,19,2048,9.09
chain,socket,20,1,3.42
chain,socket,20,2,3.45
chain,socket,20,4,3.80
chain,socket,20,8,3.60
chain,socket,20,16,3.65
chain,socket,20,32,4.28
chain,socket,20,64,4.23
chain,socket,20,128,5.71
chain,socket,20,256,5.79
chain,socket,20,512,6.36
chain,socket,20,1024,6.82
chain,socket,20,2048,9.70
chain,socket,21,1,3.46
chain,socket,21,2,3.49
chain,socket,21,4,3.95
chain,socket,21,8,3.78
chain,socket,21,16,3.54
chain,socket,21,32,4.18
chain,socket,21,64,4.15
chain,socket,21,128,5.75
chain,socket,21,256,5.83
chain,socket,21,512,6.57
chain,socket,21,1024,7.05
chain,socket,21,2048,9.41
chain,socket,22,1,3.93
chain,socket,22,2,4.23
chain,socket,22,4,4.08
chain,socket,22,8,4.06
chain,socket,22,16,4.05
chain,socket,22,32,4.74
chain,socket,22,64,4.72
chain,socket,22,128,6.67
chain,socket,22,256,6.80
chain,socket,22,512,7.64
chain,socket,22,1024,8.16
chain,socket,22,2048,10.75
chain,socket,23,1,4.46
chain,socket,23,2,4.20
chain,socket,23,4,3.99
chain,socket,23,8,4.08
chain,socket,23,16,4.15
chain,socket,23,32,4.85
chain,socket,23,64,4.76
chain,socket,23,128,6.65
chain,socket,23,256,6.72
chain,socket,23,512,7.47
chain,socket,23,1024,7.86
chain,socket,23,2048,10.93
chain,socket,24,1,4.14
chain,socket,24,2,4.65
chain,socket,24,4,4.23
chain,socket,24,8,4.21
chain,socket,24,16,4.06
chain,socket,24,32,4.63
chain,socket,24,64,4.80
chain,socket,24,128,6.89
chain,socket,24,256,6.99
chain,socket,24,512,7.80
chain,socket,24,1024,7.89
chain,socket,24,2048,11.38
chain,socket,25,1,4.14
chain,socket,25,2,4.44
chain,socket,25,4,4.11
chain,socket,25,8,4.30
chain,socket,25,16,4.25
chain,socket,25,32,4.88
chain,socket,25,64,4.82
chain,socket,25,128,6.72
chain,socket,25,256,6.89
chain,socket,25,512,7.37
chain,socket,25,1024,7.96
chain,socket,25,2048,11.29
chain,socket,26,1,3.78
chain,socket,26,2,3.88
chain,socket,26,4,3.95
chain,socket,26,8,3.77
chain,socket,26,16,3.73
chain,socket,26,32,4.46
chain,socket,26,64,4.46
chain,socket,26,128,6.51
chain,socket,26,256,6.88
chain,socket,26,512,7.59
chain,socket,26,1024,7.81
chain,socket,26,2048,10.98
chain,socket,27,1,4.50
chain,socket,27,2,4.49
chain,socket,27,4,4.28
chain,socket,27,8,4.15
chain,socket,27,16,4.21
chain,socket,27,32,5.15
chain,socket,27,64,5.09
chain,socket,27,128,7.16
chain,socket,27,256,7.36
chain,socket,27,512,8.14
chain,socket,27,1024,8.38
chain,socket,27,2048,11.72
chain,socket,28,1,4.58
chain,socket,28,2,4.01
chain,socket,28,4,4.20
chain,socket,28,8,4.13
chain,socket,28,16,4.17
chain,socket,28,32,5.09
chain,socket,28,64,5.03
chain,socket,28,128,7.07
chain,socket,28,256,7.28
chain,socket,28,512,8.01
chain,socket,28,1024,8.49
chain,socket,28,2048,11.98
chain,socket,29,1,4.03
chain,socket,29,2,4.03
chain,socket,29,4,4.41
chain,socket,29,8,4.07
chain,socket,29,16,4.06
chain,socket,29,32,4.96
chain,socket,29,64,4.89
chain,socket,29,128,6.90
chain,socket,29,256,6.96
chain,socket,29,512,8.05
chain,socket,29,1024,8.20
chain,socket,29,2048,11.77
chain,socket,30,1,4.15
chain,socket,30,2,4.68
chain,socket,30,4,4.30
chain,socket,30,8,4.32
chain,socket,30,16,4.30
chain,socket,30,32,5.15
chain,socket,30,64,5.10
chain,socket,30,128,6.96
chain,socket,30,256,7.25
chain,socket,30,512,7.81
chain,socket,30,1024,7.94
chain,socket,30,2048,11.92
chain,socket,31,1,4.61
chain,socket,31,2,4.59
chain,socket,31,4,4.55
chain,socket,31,8,4.47
chain,socket,31,16,4.44
chain,socket,31,32,5.23
chain,socket,31,64,5.21
chain,socket,31,128,7.27
chain,socket,31,256,7.47
chain,socket,31,512,8.70
chain,socket,31,1024,9.14
chain,socket,31,2048,12.95
chain,socket,32,1,4.80
chain,socket,32,2,4.86
chain,socket,32,4,4.67
chain,socket,32,8,4.61
chain,socket,32,16,4.68
chain,socket,32,32,5.47
chain,socket,32,64,5.51
chain,socket,32,128,7.72
chain,socket,32,256,7.90
chain,socket,32,512,8.45
chain,socket,32,1024,8.90
chain,socket,32,2048,13.12
chain,socket,33,1,6.16
chain,socket,33,2,6.03
chain,socket,33,4,6.03
chain,socket,33,8,5.91
chain,socket,33,16,5.99
chain,socket,33,32,6.80
chain,socket,33,64,6.69
chain,socket,33,128,8.84
chain,socket,33,256,9.21
chain,socket,33,512,10.41
chain,socket,33,1024,11.19
chain,socket,33,2048,14.37
chain,socket,34,1,5.47
chain,socket,34,2,5.48
chain,socket,34,4,5.61
chain,socket,34,8,5.57
chain,socket,34,16,5.56
chain,socket,34,32,6.66
chain,socket,34,64,6.57
chain,socket,34,128,8.50
chain,socket,34,256,8.81
chain,socket,34,512,9.49
chain,socket,34,1024,10.04
chain,socket,34,2048,14.55
chain,socket,35,1,5.32
chain,socket,35,2,5.16
chain,socket,35,4,5.31
chain,socket,35,8,5.30
chain,socket,35,16,5.32
chain,socket,35,32,6.47
chain,socket,35,64,6.40
chain,socket,35,128,8.38
chain,socket,35,256,8.83
chain,socket,35,512,9.82
chain,socket,35,1024,10.40
chain,socket,35,2048,15.24
chain,socket,36,1,6.12
chain,socket,36,2,6.00
chain,socket,36,4,5.82
chain,socket,36,8,5.67
chain,socket,36,16,5.90
chain,socket,36,32,7.01
chain,socket,36,64,7.00
chain,socket,36,128,9.16
chain,socket,36,256,9.30
chain,socket,36,512,9.88
chain,socket,36,1024,11.50
chain,socket,36,2048,14.98
chain,socket,37,1,5.63
chain,socket,37,2,5.68
chain,socket,37,4,5.58
chain,socket,37,8,5.79
chain,socket,37,16,5.86
chain,socket,37,32,7.10
chain,socket,37,64,6.94
chain,socket,37,128,9.22
chain,socket,37,256,9.36
chain,socket,37,512,9.79
chain,socket,37,1024,11.35
chain,socket,37,2048,15.02
chain,socket,38,1,6.39
chain,socket,38,2,6.13
chain,socket,38,4,5.97
chain,socket,38,8,6.12
chain,socket,38,16,6.20
chain,socket,38,32,7.31
chain,socket,38,64,7.08
chain,socket,38,128,9.55
chain,socket,38,256,9.67
chain,socket,38,512,10.53
chain,socket,38,1024,11.84
chain,socket,38,2048,15.73
chain,socket,39,1,6.29
chain,socket,39,2,6.29
chain,socket,39,4,6.21
chain,socket,39,8,6.13
chain,socket,39,16,6.22
chain,socket,39,32,7.41
chain,socket,39,64,7.33
chain,socket,39,128,9.65
chain,socket,39,256,9.89
chain,socket,39,512,11.42
chain,socket,39,1024,11.56
chain,socket,39,2048,16.29
chain,socket,40,1,6.31
chain,socket,40,2,6.54
chain,socket,40,4,6.54
chain,socket,40,8,6.54
chain,socket,40,16,6.59
chain,socket,40,32,7.85
chain,socket,40,64,7.73
chain,socket,40,128,10.13
chain,socket,40,256,10.15
chain,socket,40,512,11.71
chain,socket,40,1024,12.62
chain,socket,40,2048,16.63
chain,socket,41,1,6.10
chain,socket,41,2,6.24
chain,socket,41,4,6.29
chain,socket,41,8,6.24
chain,socket,41,16,6.23
chain,socket,41,32,7.59
chain,socket,41,64,7.27
chain,socket,41,128,9.81
chain,socket,41,256,11.03
chain,socket,41,512,11.19
chain,socket,41,1024,11.90
chain,socket,41,2048,16.54
chain,socket,42,1,5.29
chain,socket,42,2,5.27
chain,socket,42,4,5.36
chain,socket,42,8,5.35
chain,socket,42,16,5.52
chain,socket,42,32,6.58
chain,socket,42,64,6.51
chain,socket,42,128,8.71
chain,socket,42,256,8.91
chain,socket,42,512,10.22
chain,socket,42,1024,10.80
chain,socket,42,2048,15.75
chain,socket,43,1,6.07
chain,socket,43,2,6.30
chain,socket,43,4,6.21
chain,socket,43,8,6.23
chain,socket,43,16,6.27
chain,socket,43,32,7.47
chain,socket,43,64,7.37
chain,socket,43,128,10.12
chain,socket,43,256,11.01
chain,socket,43,512,11.66
chain,socket,43,1024,12.40
chain,socket,43,2048,16.89
chain,socket,44,1,6.13
chain,socket,44,2,6.30
chain,socket,44,4,6.31
chain,socket,44,8,6.34
chain,socket,44,16,6.32
chain,socket,44,32,7.59
chain,socket,44,64,7.35
chain,socket,44,128,9.91
chain,socket,44,256,10.36
chain,socket,44,512,11.58
chain,socket,44,1024,12.12
chain,socket,44,2048,16.57
chain,socket,45,1,6.44
chain,socket,45,2,6.55
chain,socket,45,4,6.57
chain,socket,45,8,6.53
chain,socket,45,16,6.51
chain,socket,45,32,7.72
chain,socket,45,64,7.66
chain,socket,45,128,10.34
chain,socket,45,256,11.43
chain,socket,45,512,11.62
chain,socket,45,1024,12.35
chain,socket,45,2048,17.08
chain,socket,46,1,6.57
chain,socket,46,2,6.74
chain,socket,46,4,6.85
chain,socket,46,8,6.74
chain,socket,46,16,6.79
chain,socket,46,32,8.03
chain,socket,46,64,8.00
chain,socket,46,128,11.03
chain,socket,46,256,11.32
chain,socket,46,512,12.15
chain,socket,46,1024,12.45
chain,socket,46,2048,17.71
chain,socket,47,1,6.66
chain,socket,47,2,6.80
chain,socket,47,4,6.87
chain,socket,47,8,6.83
chain,socket,47,16,6.83
chain,socket,47,32,7.95
chain,socket,47,64,8.05
chain,socket,47,128,11.20
chain,socket,47,256,11.27
chain,socket,47,512,12.51
chain,socket,47,1024,12.76
chain,socket,47,2048,18.21
chain,socket,48,1,6.20
chain,socket,48,2,6.53
chain,socket,48,4,6.48
chain,socket,48,8,6.81
chain,socket,48,16,6.75
chain,socket,48,32,8.08
chain,socket,48,64,7.99
chain,socket,48,128,11.52
chain,socket,48,256,11.45
chain,socket,48,512,13.07
chain,socket,48,1024,13.14
chain,socket,48,2048,18.74
chain,socket,49,1,6.67
chain,socket,49,2,6.83
chain,socket,49,4,6.73
chain,socket,49,8,6.84
chain,socket,49,16,6.93
chain,socket,49,32,8.25
chain,socket,49,64,8.22
chain,socket,49,128,11.96
chain,socket,49,256,11.52
chain,socket,49,512,12.79
chain,socket,49,1024,13.45
chain,socket,49,2048,18.86
chain,socket,50,1,6.52
chain,socket,50,2,6.47
chain,socket,50,4,6.24
chain,socket,50,8,6.24
chain,socket,50,16,6.28
chain,socket,50,32,7.81
chain,socket,50,64,7.61
chain,socket,50,128,10.92
chain,socket,50,256,11.25
chain,socket,50,512,12.65
chain,socket,50,1024,13.09
chain,socket,50,2048,18.15
chain,socket,51,1,6.93
chain,socket,51,2,7.09
chain,socket,51,4,7.11
chain,socket,51,8,7.15
chain,socket,51,16,7.15
chain,socket,51,32,8.48
chain,socket,51,64,8.61
chain,socket,51,128,11.63
chain,socket,51,256,11.32
chain,socket,51,512,12.83
chain,socket,51,1024,13.62
