Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
default,core,2,1,0.16
default,core,2,2,0.16
default,core,2,4,0.16
default,core,2,8,0.15
default,core,2,16,0.16
default,core,2,32,0.16
default,core,2,64,0.16
default,core,2,128,0.22
default,core,2,256,0.22
default,core,2,512,0.26
default,core,2,1024,0.27
default,core,2,2048,0.32
default,core,3,1,0.33
default,core,3,2,0.33
default,core,3,4,0.33
default,core,3,8,0.33
default,core,3,16,0.33
default,core,3,32,0.28
default,core,3,64,0.27
default,core,3,128,0.37
default,core,3,256,0.44
default,core,3,512,0.41
default,core,3,1024,0.41
default,core,3,2048,0.51
default,core,4,1,0.18
default,core,4,2,0.18
default,core,4,4,0.18
default,core,4,8,0.18
default,core,4,16,0.18
default,core,4,32,0.18
default,core,4,64,0.18
default,core,4,128,0.30
default,core,4,256,0.34
default,core,4,512,0.35
default,core,4,1024,0.38
default,core,4,2048,0.50
default,core,5,1,0.33
default,core,5,2,0.32
default,core,5,4,0.33
default,core,5,8,0.32
default,core,5,16,0.33
default,core,5,32,0.35
default,core,5,64,0.30
default,core,5,128,0.53
default,core,5,256,0.56
default,core,5,512,0.60
default,core,5,1024,0.65
default,core,5,2048,0.82
default,core,6,1,0.38
default,core,6,2,0.40
default,core,6,4,0.38
default,core,6,8,0.40
default,core,6,16,0.38
default,core,6,32,0.44
default,core,6,64,0.37
default,core,6,128,0.63
default,core,6,256,0.65
default,core,6,512,0.75
default,core,6,1024,0.83
default,core,6,2048,1.06
default,core,7,1,0.53
default,core,7,2,0.53
default,core,7,4,0.53
default,core,7,8,0.52
default,core,7,16,0.53
default,core,7,32,0.60
default,core,7,64,0.53
default,core,7,128,0.87
default,core,7,256,0.90
default,core,7,512,0.99
default,core,7,1024,1.08
default,core,7,2048,1.41
default,core,8,1,0.76
default,core,8,2,0.75
default,core,8,4,0.79
default,core,8,8,0.91
default,core,8,16,0.92
default,core,8,32,0.98
default,core,8,64,0.86
default,core,8,128,1.30
default,core,8,256,1.30
default,core,8,512,1.47
default,core,8,1024,1.49
default,core,8,2048,1.88
default,core,9,1,1.40
default,core,9,2,1.52
default,core,9,4,1.54
default,core,9,8,1.24
default,core,9,16,1.24
default,core,9,32,1.31
default,core,9,64,1.53
default,core,9,128,2.07
default,core,9,256,2.05
default,core,9,512,2.16
default,core,9,1024,2.22
default,core,9,2048,2.64
default,core,10,1,1.10
default,core,10,2,1.15
default,core,10,4,1.18
default,core,10,8,1.27
default,core,10,16,1.28
default,core,10,32,1.38
default,core,10,64,1.23
default,core,10,128,1.67
default,core,10,256,1.80
default,core,10,512,1.87
default,core,10,1024,1.88
default,core,10,2048,2.44
default,core,11,1,1.04
default,core,11,2,1.04
default,core,11,4,1.01
default,core,11,8,1.29
default,core,11,16,1.29
default,core,11,32,1.36
default,core,11,64,1.11
default,core,11,128,1.64
default,core,11,256,1.71
default,core,11,512,2.07
default,core,11,1024,2.12
default,core,11,2048,2.57
default,core,12,1,1.01
default,core,12,2,1.06
default,core,12,4,1.07
default,core,12,8,1.25
default,core,12,16,1.24
default,core,12,32,1.35
default,core,12,64,1.12
default,core,12,128,1.85
default,core,12,256,1.92
default,core,12,512,2.03
default,core,12,1024,2.05
default,core,12,2048,2.75
default,core,13,1,1.12
default,core,13,2,1.14
default,core,13,4,1.15
default,core,13,8,1.32
default,core,13,16,1.35
default,core,13,32,1.51
default,core,13,64,1.21
default,core,13,128,1.73
default,core,13,256,1.78
default,core,13,512,1.96
default,core,13,1024,2.32
default,core,13,2048,2.93
default,core,14,1,1.05
default,core,14,2,1.04
default,core,14,4,1.05
default,core,14,8,1.28
default,core,14,16,1.29
default,core,14,32,1.47
default,core,14,64,1.11
default,core,14,128,1.67
default,core,14,256,1.71
default,core,14,512,1.87
default,core,14,1024,2.13
default,core,14,2048,2.80
default,core,15,1,1.02
default,core,15,2,1.05
default,core,15,4,1.04
default,core,15,8,1.33
default,core,15,16,1.33
default,core,15,32,1.53
default,core,15,64,1.10
default,core,15,128,1.65
default,core,15,256,1.68
default,core,15,512,2.07
default,core,15,1024,2.07
default,core,15,2048,2.88
default,core,16,1,1.24
default,core,16,2,1.23
default,core,16,4,1.23
default,core,16,8,1.21
default,core,16,16,1.24
default,core,16,32,1.31
default,core,16,64,1.30
default,core,16,128,2.09
default,core,16,256,2.08
default,core,16,512,2.02
default,core,16,1024,2.29
default,core,16,2048,2.96
default,core,17,1,2.04
default,core,17,2,2.05
default,core,17,4,2.04
default,core,17,8,2.05
default,core,17,16,2.06
default,core,17,32,2.20
default,core,17,64,2.18
default,core,17,128,3.11
default,core,17,256,3.35
default,core,17,512,3.25
default,core,17,1024,3.47
default,core,17,2048,4.48
default,core,18,1,1.82
default,core,18,2,1.84
default,core,18,4,1.82
default,core,18,8,1.83
default,core,18,16,1.82
default,core,18,32,1.95
default,core,18,64,1.91
default,core,18,128,2.94
default,core,18,256,3.01
default,core,18,512,3.22
default,core,18,1024,3.62
default,core,18,2048,4.30
default,core,19,1,1.73
default,core,19,2,1.75
default,core,19,4,1.72
default,core,19,8,1.66
default,core,19,16,1.70
default,core,19,32,1.82
default,core,19,64,1.79
default,core,19,128,2.98
default,core,19,256,2.94
default,core,19,512,3.15
default,core,19,1024,3.23
default,core,19,2048,4.16
default,core,20,1,1.52
default,core,20,2,1.50
default,core,20,4,1.47
default,core,20,8,1.47
default,core,20,16,1.49
default,core,20,32,1.64
default,core,20,64,1.65
default,core,20,128,2.94
default,core,20,256,2.78
default,core,20,512,3.02
default,core,20,1024,3.15
default,core,20,2048,4.02
default,core,21,1,1.50
default,core,21,2,1.48
default,core,21,4,1.47
default,core,21,8,1.48
default,core,21,16,1.47
default,core,21,32,1.63
default,core,21,64,1.62
default,core,21,128,2.96
default,core,21,256,2.80
default,core,21,512,3.08
default,core,21,1024,3.21
default,core,21,2048,4.18
default,core,22,1,1.52
default,core,22,2,1.52
default,core,22,4,1.48
default,core,22,8,1.50
default,core,22,16,1.48
default,core,22,32,1.59
default,core,22,64,1.56
default,core,22,128,2.76
default,core,22,256,2.70
default,core,22,512,2.84
default,core,22,1024,2.83
default,core,22,2048,4.13
default,core,23,1,1.46
default,core,23,2,1.46
default,core,23,4,1.46
default,core,23,8,1.44
default,core,23,16,1.45
default,core,23,32,1.62
default,core,23,64,1.60
default,core,23,128,2.64
default,core,23,256,2.80
default,core,23,512,2.87
default,core,23,1024,3.13
default,core,23,2048,4.09
default,core,24,1,1.44
default,core,24,2,1.43
default,core,24,4,1.42
default,core,24,8,1.43
default,core,24,16,1.42
default,core,24,32,1.56
default,core,24,64,1.58
default,core,24,128,2.67
default,core,24,256,2.34
default,core,24,512,2.74
default,core,24,1024,2.87
default,core,24,2048,3.76
default,core,25,1,1.47
default,core,25,2,1.45
default,core,25,4,1.47
default,core,25,8,1.44
default,core,25,16,1.44
default,core,25,32,1.62
default,core,25,64,1.74
default,core,25,128,2.28
default,core,25,256,2.39
default,core,25,512,2.58
default,core,25,1024,2.94
default,core,25,2048,4.02
default,core,26,1,1.38
default,core,26,2,1.39
default,core,26,4,1.37
default,core,26,8,1.35
default,core,26,16,1.34
default,core,26,32,1.53
default,core,26,64,1.50
default,core,26,128,2.68
default,core,26,256,2.43
default,core,26,512,2.69
default,core,26,1024,2.95
default,core,26,2048,4.00
default,core,27,1,1.39
default,core,27,2,1.36
default,core,27,4,1.36
default,core,27,8,1.35
default,core,27,16,1.36
default,core,27,32,1.51
default,core,27,64,1.47
default,core,27,128,2.47
default,core,27,256,2.40
default,core,27,512,2.76
default,core,27,1024,2.90
default,core,27,2048,3.95
default,core,28,1,1.41
default,core,28,2,1.42
default,core,28,4,1.52
default,core,28,8,1.49
default,core,28,16,1.54
default,core,28,32,1.55
default,core,28,64,1.54
default,core,28,128,2.44
default,core,28,256,2.23
default,core,28,512,2.47
default,core,28,1024,2.88
default,core,28,2048,3.68
default,core,29,1,1.38
default,core,29,2,1.35
default,core,29,4,1.33
default,core,29,8,1.35
default,core,29,16,1.33
default,core,29,32,1.66
default,core,29,64,1.53
default,core,29,128,2.49
default,core,29,256,2.59
default,core,29,512,2.98
default,core,29,1024,3.15
default,core,29,2048,3.99
default,core,30,1,1.35
default,core,30,2,1.31
default,core,30,4,1.30
default,core,30,8,1.30
default,core,30,16,1.31
default,core,30,32,1.46
default,core,30,64,1.61
default,core,30,128,2.38
default,core,30,256,2.44
default,core,30,512,2.62
default,core,30,1024,2.92
default,core,30,2048,3.76
default,core,31,1,1.40
default,core,31,2,1.38
default,core,31,4,1.38
default,core,31,8,1.37
default,core,31,16,1.40
default,core,31,32,1.56
default,core,31,64,1.84
default,core,31,128,2.42
default,core,31,256,2.35
default,core,31,512,2.65
default,core,31,1024,2.93
default,core,31,2048,3.84
default,core,32,1,1.70
default,core,32,2,1.68
default,core,32,4,1.65
default,core,32,8,1.83
default,core,32,16,1.71
default,core,32,32,1.84
default,core,32,64,1.88
default,core,32,128,2.62
default,core,32,256,2.70
default,core,32,512,2.86
default,core,32,1024,3.24
default,core,32,2048,4.19
default,core,33,1,2.56
default,core,33,2,2.56
default,core,33,4,2.79
default,core,33,8,2.67
default,core,33,16,2.60
default,core,33,32,2.85
default,core,33,64,2.96
default,core,33,128,3.71
default,core,33,256,3.64
default,core,33,512,3.95
default,core,33,1024,4.27
default,core,33,2048,5.63
default,core,34,1,2.54
default,core,34,2,2.51
default,core,34,4,2.58
default,core,34,8,2.72
default,core,34,16,2.59
default,core,34,32,2.86
default,core,34,64,2.91
default,core,34,128,3.31
default,core,34,256,3.40
default,core,34,512,3.84
default,core,34,1024,4.24
default,core,34,2048,5.50
default,core,35,1,2.39
default,core,35,2,2.35
default,core,35,4,2.47
default,core,35,8,2.51
default,core,35,16,2.43
default,core,35,32,2.77
default,core,35,64,2.68
default,core,35,128,3.34
default,core,35,256,3.41
default,core,35,512,3.94
default,core,35,1024,4.31
default,core,35,2048,5.43
default,core,36,1,2.28
default,core,36,2,2.27
default,core,36,4,2.34
default,core,36,8,2.40
default,core,36,16,2.30
default,core,36,32,2.53
default,core,36,64,2.56
default,core,36,128,3.09
default,core,36,256,3.32
default,core,36,512,3.73
default,core,36,1024,4.10
default,core,36,2048,5.39
default,core,37,1,2.24
default,core,37,2,2.25
default,core,37,4,2.26
default,core,37,8,2.35
default,core,37,16,2.50
default,core,37,32,2.63
default,core,37,64,2.55
default,core,37,128,3.18
default,core,37,256,3.24
default,core,37,512,3.70
default,core,37,1024,4.09
default,core,37,2048,5.38
default,core,38,1,2.23
default,core,38,2,2.23
default,core,38,4,2.49
default,core,38,8,2.28
default,core,38,16,2.25
default,core,38,32,2.63
default,core,38,64,2.51
default,core,38,128,3.14
default,core,38,256,3.25
default,core,38,512,3.61
default,core,38,1024,4.05
default,core,38,2048,5.35
default,core,39,1,2.12
default,core,39,2,2.40
default,core,39,4,2.16
default,core,39,8,2.11
default,core,39,16,2.11
default,core,39,32,2.42
default,core,39,64,2.31
default,core,39,128,3.23
default,core,39,256,3.25
default,core,39,512,3.62
default,core,39,1024,3.92
default,core,39,2048,5.19
default,core,40,1,2.12
default,core,40,2,2.40
default,core,40,4,2.15
default,core,40,8,2.26
default,core,40,16,2.31
default,core,40,32,2.31
default,core,40,64,2.30
default,core,40,128,3.18
default,core,40,256,3.23
default,core,40,512,3.50
default,core,40,1024,3.86
default,core,40,2048,5.27
default,core,41,1,2.20
default,core,41,2,2.09
default,core,41,4,2.15
default,core,41,8,2.18
default,core,41,16,2.30
default,core,41,32,2.32
default,core,41,64,2.40
default,core,41,128,3.15
