Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
default,node,2,1,1.76
default,node,2,2,1.76
default,node,2,4,1.76
default,node,2,8,1.76
default,node,2,16,1.78
default,node,2,32,1.87
default,node,2,64,2.28
default,node,2,128,1.84
default,node,2,256,2.44
default,node,2,512,2.45
default,node,2,1024,2.98
default,node,2,2048,3.58
default,node,3,1,1.84
default,node,3,2,1.83
default,node,3,4,1.83
default,node,3,8,1.83
default,node,3,16,1.85
default,node,3,32,1.80
default,node,3,64,1.82
default,node,3,128,1.89
default,node,3,256,2.90
default,node,3,512,2.61
default,node,3,1024,3.18
default,node,3,2048,2.80
default,node,4,1,0.87
default,node,4,2,0.86
default,node,4,4,0.87
default,node,4,8,0.86
default,node,4,16,0.87
default,node,4,32,0.98
default,node,4,64,1.37
default,node,4,128,1.16
default,node,4,256,1.33
default,node,4,512,1.56
default,node,4,1024,2.05
default,node,4,2048,2.16
default,node,5,1,1.04
default,node,5,2,1.04
default,node,5,4,1.04
default,node,5,8,1.04
default,node,5,16,1.05
default,node,5,32,1.21
default,node,5,64,1.28
default,node,5,128,1.40
default,node,5,256,1.89
default,node,5,512,2.19
default,node,5,1024,2.64
default,node,5,2048,2.28
default,node,6,1,1.33
default,node,6,2,1.34
default,node,6,4,1.34
default,node,6,8,1.33
default,node,6,16,1.37
default,node,6,32,1.48
default,node,6,64,1.73
default,node,6,128,1.78
default,node,6,256,1.97
default,node,6,512,2.38
default,node,6,1024,2.77
default,node,6,2048,3.04
default,node,7,1,1.48
default,node,7,2,1.48
default,node,7,4,1.48
default,node,7,8,1.48
default,node,7,16,1.48
default,node,7,32,1.67
default,node,7,64,1.83
default,node,7,128,2.01
default,node,7,256,2.60
default,node,7,512,2.87
default,node,7,1024,3.29
default,node,7,2048,3.16
default,node,8,1,2.51
default,node,8,2,2.52
default,node,8,4,2.52
default,node,8,8,2.74
default,node,8,16,2.75
default,node,8,32,2.97
default,node,8,64,3.22
default,node,8,128,3.26
default,node,8,256,4.11
default,node,8,512,4.15
default,node,8,1024,4.72
default,node,8,2048,4.94
default,node,9,1,3.72
default,node,9,2,3.71
default,node,9,4,3.69
default,node,9,8,3.56
default,node,9,16,3.58
default,node,9,32,3.76
default,node,9,64,4.38
default,node,9,128,4.33
default,node,9,256,5.23
default,node,9,512,5.54
default,node,9,1024,6.13
default,node,9,2048,6.72
default,node,10,1,3.55
default,node,10,2,3.50
default,node,10,4,3.56
default,node,10,8,3.72
default,node,10,16,3.74
default,node,10,32,4.06
default,node,10,64,4.34
default,node,10,128,4.29
default,node,10,256,5.17
default,node,10,512,5.43
default,node,10,1024,6.19
default,node,10,2048,6.68
default,node,11,1,2.93
default,node,11,2,2.93
default,node,11,4,2.96
default,node,11,8,3.18
default,node,11,16,3.22
default,node,11,32,3.77
default,node,11,64,3.46
default,node,11,128,3.68
default,node,11,256,4.67
default,node,11,512,4.98
default,node,11,1024,5.45
default,node,11,2048,6.24
default,node,12,1,3.29
default,node,12,2,3.29
default,node,12,4,3.25
default,node,12,8,3.67
default,node,12,16,3.74
default,node,12,32,4.28
default,node,12,64,3.86
default,node,12,128,4.11
default,node,12,256,4.80
default,node,12,512,5.24
default,node,12,1024,5.68
default,node,12,2048,6.48
default,node,13,1,3.29
default,node,13,2,3.32
default,node,13,4,3.30
default,node,13,8,3.45
default,node,13,16,3.65
default,node,13,32,3.87
default,node,13,64,3.77
default,node,13,128,4.31
default,node,13,256,5.01
default,node,13,512,5.48
default,node,13,1024,5.99
default,node,13,2048,6.76
default,node,14,1,3.40
default,node,14,2,3.39
default,node,14,4,3.38
default,node,14,8,3.54
default,node,14,16,3.72
default,node,14,32,4.03
default,node,14,64,3.83
default,node,14,128,4.36
default,node,14,256,4.98
default,node,14,512,5.49
default,node,14,1024,6.07
default,node,14,2048,6.80
default,node,15,1,2.90
default,node,15,2,3.00
default,node,15,4,2.97
default,node,15,8,3.35
default,node,15,16,3.69
default,node,15,32,3.81
default,node,15,64,3.51
default,node,15,128,3.94
default,node,15,256,4.73
default,node,15,512,5.18
default,node,15,1024,5.75
default,node,15,2048,6.50
default,node,16,1,3.39
default,node,16,2,3.34
default,node,16,4,3.39
default,node,16,8,3.30
default,node,16,16,3.68
default,node,16,32,3.56
default,node,16,64,3.95
default,node,16,128,4.54
default,node,16,256,4.68
default,node,16,512,5.67
default,node,16,1024,6.04
default,node,16,2048,6.79
default,node,17,1,4.14
default,node,17,2,4.23
default,node,17,4,4.28
default,node,17,8,4.26
default,node,17,16,4.56
default,node,17,32,4.60
default,node,17,64,4.86
default,node,17,128,5.46
default,node,17,256,6.11
default,node,17,512,6.29
default,node,17,1024,7.08
default,node,17,2048,8.28
default,node,18,1,3.98
default,node,18,2,4.08
default,node,18,4,4.18
default,node,18,8,4.34
default,node,18,16,4.44
default,node,18,32,4.55
default,node,18,64,4.74
default,node,18,128,5.50
default,node,18,256,5.94
default,node,18,512,6.31
default,node,18,1024,7.18
default,node,18,2048,8.20
default,node,19,1,3.30
default,node,19,2,3.70
default,node,19,4,3.83
default,node,19,8,4.09
default,node,19,16,3.79
default,node,19,32,4.06
default,node,19,64,4.35
default,node,19,128,5.20
default,node,19,256,5.74
default,node,19,512,6.20
default,node,19,1024,6.77
default,node,19,2048,7.89
default,node,20,1,3.45
default,node,20,2,3.66
default,node,20,4,4.04
default,node,20,8,4.46
default,node,20,16,3.86
default,node,20,32,4.21
default,node,20,64,4.56
default,node,20,128,5.40
default,node,20,256,5.72
default,node,20,512,6.12
default,node,20,1024,6.87
default,node,20,2048,7.84
default,node,21,1,3.27
default,node,21,2,3.44
default,node,21,4,3.39
default,node,21,8,3.97
default,node,21,16,3.90
default,node,21,32,4.08
default,node,21,64,4.31
default,node,21,128,5.05
default,node,21,256,5.53
default,node,21,512,5.93
default,node,21,1024,6.77
default,node,21,2048,7.75
default,node,22,1,3.14
default,node,22,2,3.45
default,node,22,4,3.71
default,node,22,8,4.18
default,node,22,16,3.89
default,node,22,32,4.10
default,node,22,64,4.34
default,node,22,128,5.02
default,node,22,256,5.63
default,node,22,512,6.06
default,node,22,1024,6.79
default,node,22,2048,7.70
default,node,23,1,2.99
default,node,23,2,3.29
default,node,23,4,3.51
default,node,23,8,3.84
default,node,23,16,3.55
default,node,23,32,3.84
default,node,23,64,4.09
default,node,23,128,4.93
default,node,23,256,6.49
default,node,23,512,8.64
default,node,23,1024,12.71
default,node,23,2048,7.76
default,node,24,1,3.52
default,node,24,2,3.53
default,node,24,4,3.58
default,node,24,8,3.93
default,node,24,16,3.78
default,node,24,32,3.99
default,node,24,64,4.18
default,node,24,128,4.86
default,node,24,256,5.42
default,node,24,512,5.85
default,node,24,1024,6.73
default,node,24,2048,7.74
default,node,25,1,2.71
default,node,25,2,3.11
default,node,25,4,3.25
default,node,25,8,3.52
default,node,25,16,3.48
default,node,25,32,3.79
default,node,25,64,4.16
default,node,25,128,4.88
default,node,25,256,5.37
default,node,25,512,5.73
default,node,25,1024,6.57
default,node,25,2048,7.70
default,node,26,1,3.22
default,node,26,2,3.44
default,node,26,4,3.86
default,node,26,8,3.44
default,node,26,16,3.58
default,node,26,32,3.91
default,node,26,64,4.32
default,node,26,128,4.94
default,node,26,256,6.24
default,node,26,512,8.25
default,node,26,1024,11.84
default,node,26,2048,7.80
default,node,27,1,2.84
default,node,27,2,2.92
default,node,27,4,3.46
