Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
linear,node,2,1,1.71
linear,node,2,2,1.71
linear,node,2,4,1.71
linear,node,2,8,1.70
linear,node,2,16,1.71
linear,node,2,32,1.78
linear,node,2,64,2.24
linear,node,2,128,1.78
linear,node,2,256,2.38
linear,node,2,512,2.56
linear,node,2,1024,2.95
linear,node,2,2048,3.53
linear,node,3,1,1.67
linear,node,3,2,1.67
linear,node,3,4,1.68
linear,node,3,8,1.67
linear,node,3,16,1.68
linear,node,3,32,1.75
linear,node,3,64,2.27
linear,node,3,128,1.84
linear,node,3,256,2.36
linear,node,3,512,2.54
linear,node,3,1024,2.93
linear,node,3,2048,2.89
linear,node,4,1,0.90
linear,node,4,2,0.88
linear,node,4,4,0.94
linear,node,4,8,0.88
linear,node,4,16,1.00
linear,node,4,32,0.97
linear,node,4,64,1.36
linear,node,4,128,1.16
linear,node,4,256,1.48
linear,node,4,512,1.72
linear,node,4,1024,2.11
linear,node,4,2048,2.00
linear,node,5,1,1.00
linear,node,5,2,1.00
linear,node,5,4,1.00
linear,node,5,8,1.00
linear,node,5,16,1.00
linear,node,5,32,1.09
linear,node,5,64,1.40
linear,node,5,128,1.32
linear,node,5,256,1.94
linear,node,5,512,2.23
linear,node,5,1024,2.67
linear,node,5,2048,2.21
linear,node,6,1,1.39
linear,node,6,2,1.39
linear,node,6,4,1.40
linear,node,6,8,1.39
linear,node,6,16,1.39
linear,node,6,32,1.51
linear,node,6,64,1.88
linear,node,6,128,1.77
linear,node,6,256,2.14
linear,node,6,512,2.38
linear,node,6,1024,2.76
linear,node,6,2048,2.70
linear,node,7,1,1.54
linear,node,7,2,1.55
linear,node,7,4,1.55
linear,node,7,8,1.54
linear,node,7,16,1.53
linear,node,7,32,1.63
linear,node,7,64,1.96
linear,node,7,128,1.95
linear,node,7,256,2.61
linear,node,7,512,2.81
linear,node,7,1024,3.21
linear,node,7,2048,2.93
linear,node,8,1,3.12
linear,node,8,2,3.11
linear,node,8,4,3.12
linear,node,8,8,3.11
linear,node,8,16,3.11
linear,node,8,32,3.21
linear,node,8,64,3.43
linear,node,8,128,3.41
linear,node,8,256,4.23
linear,node,8,512,4.34
linear,node,8,1024,4.86
linear,node,8,2048,4.93
linear,node,9,1,4.11
linear,node,9,2,4.08
linear,node,9,4,4.06
linear,node,9,8,4.08
linear,node,9,16,4.08
linear,node,9,32,4.42
linear,node,9,64,4.38
linear,node,9,128,4.31
linear,node,9,256,5.31
linear,node,9,512,5.66
linear,node,9,1024,6.11
linear,node,9,2048,6.40
linear,node,10,1,3.96
linear,node,10,2,3.98
linear,node,10,4,4.00
linear,node,10,8,4.00
linear,node,10,16,4.03
linear,node,10,32,4.29
linear,node,10,64,4.20
linear,node,10,128,4.55
linear,node,10,256,5.46
linear,node,10,512,5.85
linear,node,10,1024,6.31
linear,node,10,2048,6.48
linear,node,11,1,3.35
linear,node,11,2,3.38
linear,node,11,4,3.39
linear,node,11,8,3.36
linear,node,11,16,3.42
linear,node,11,32,3.79
linear,node,11,64,3.73
linear,node,11,128,3.83
linear,node,11,256,4.98
linear,node,11,512,5.03
linear,node,11,1024,5.79
linear,node,11,2048,5.75
linear,node,12,1,3.88
linear,node,12,2,3.85
linear,node,12,4,3.89
linear,node,12,8,3.89
linear,node,12,16,4.28
linear,node,12,32,4.04
linear,node,12,64,4.14
linear,node,12,128,4.72
linear,node,12,256,5.73
linear,node,12,512,5.84
linear,node,12,1024,6.50
linear,node,12,2048,6.86
linear,node,13,1,3.46
linear,node,13,2,3.45
linear,node,13,4,3.45
linear,node,13,8,3.49
linear,node,13,16,3.68
linear,node,13,32,3.82
linear,node,13,64,3.89
linear,node,13,128,3.98
linear,node,13,256,5.06
linear,node,13,512,5.39
linear,node,13,1024,6.14
linear,node,13,2048,6.63
linear,node,14,1,3.89
linear,node,14,2,3.84
linear,node,14,4,3.90
linear,node,14,8,3.98
linear,node,14,16,4.03
linear,node,14,32,4.20
linear,node,14,64,4.33
linear,node,14,128,4.76
linear,node,14,256,5.73
linear,node,14,512,6.18
linear,node,14,1024,7.04
linear,node,14,2048,7.56
linear,node,15,1,3.39
linear,node,15,2,3.47
linear,node,15,4,3.43
linear,node,15,8,3.66
linear,node,15,16,3.45
linear,node,15,32,3.82
linear,node,15,64,3.88
linear,node,15,128,4.44
linear,node,15,256,5.57
linear,node,15,512,5.79
linear,node,15,1024,6.52
linear,node,15,2048,7.00
linear,node,16,1,4.06
linear,node,16,2,4.22
linear,node,16,4,4.22
linear,node,16,8,4.22
linear,node,16,16,4.56
linear,node,16,32,4.39
linear,node,16,64,4.58
linear,node,16,128,5.11
linear,node,16,256,5.99
linear,node,16,512,6.51
linear,node,16,1024,7.16
linear,node,16,2048,8.06
linear,node,17,1,5.06
linear,node,17,2,4.90
linear,node,17,4,4.95
