Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
linear,socket,2,1,0.58
linear,socket,2,2,0.58
linear,socket,2,4,0.57
linear,socket,2,8,0.58
linear,socket,2,16,0.57
linear,socket,2,32,0.68
linear,socket,2,64,0.70
linear,socket,2,128,0.83
linear,socket,2,256,0.85
linear,socket,2,512,1.05
linear,socket,2,1024,1.11
linear,socket,2,2048,1.46
linear,socket,3,1,0.93
linear,socket,3,2,0.93
linear,socket,3,4,0.98
linear,socket,3,8,0.98
linear,socket,3,16,0.99
linear,socket,3,32,1.12
linear,socket,3,64,1.12
linear,socket,3,128,1.30
linear,socket,3,256,1.35
linear,socket,3,512,1.54
linear,socket,3,1024,1.66
linear,socket,3,2048,2.13
linear,socket,4,1,0.57
linear,socket,4,2,0.59
linear,socket,4,4,0.58
linear,socket,4,8,0.59
linear,socket,4,16,0.61
linear,socket,4,32,0.69
linear,socket,4,64,0.67
linear,socket,4,128,1.00
linear,socket,4,256,1.04
linear,socket,4,512,1.37
linear,socket,4,1024,1.30
linear,socket,4,2048,2.26
linear,socket,5,1,0.65
linear,socket,5,2,0.67
linear,socket,5,4,0.65
linear,socket,5,8,0.67
linear,socket,5,16,0.67
linear,socket,5,32,0.82
linear,socket,5,64,0.79
linear,socket,5,128,1.22
linear,socket,5,256,1.33
linear,socket,5,512,1.63
linear,socket,5,1024,1.65
linear,socket,5,2048,2.55
linear,socket,6,1,0.82
linear,socket,6,2,0.87
linear,socket,6,4,0.91
linear,socket,6,8,0.91
linear,socket,6,16,0.90
linear,socket,6,32,1.06
linear,socket,6,64,1.04
linear,socket,6,128,1.43
linear,socket,6,256,1.61
linear,socket,6,512,2.15
linear,socket,6,1024,2.12
linear,socket,6,2048,3.46
linear,socket,7,1,0.88
linear,socket,7,2,0.98
linear,socket,7,4,0.96
linear,socket,7,8,0.98
linear,socket,7,16,1.00
linear,socket,7,32,1.19
linear,socket,7,64,1.17
linear,socket,7,128,1.64
linear,socket,7,256,1.72
linear,socket,7,512,2.10
linear,socket,7,1024,2.12
linear,socket,7,2048,3.73
linear,socket,8,1,1.48
linear,socket,8,2,1.53
linear,socket,8,4,1.78
linear,socket,8,8,1.77
linear,socket,8,16,1.79
linear,socket,8,32,1.88
linear,socket,8,64,1.84
linear,socket,8,128,3.06
linear,socket,8,256,3.41
linear,socket,8,512,3.61
linear,socket,8,1024,3.95
linear,socket,8,2048,5.54
linear,socket,9,1,2.10
linear,socket,9,2,2.16
linear,socket,9,4,2.24
linear,socket,9,8,2.27
linear,socket,9,16,2.25
linear,socket,9,32,2.34
linear,socket,9,64,2.36
linear,socket,9,128,3.91
linear,socket,9,256,3.90
linear,socket,9,512,4.04
linear,socket,9,1024,4.86
linear,socket,9,2048,6.91
linear,socket,10,1,2.42
linear,socket,10,2,2.40
linear,socket,10,4,2.38
linear,socket,10,8,2.36
linear,socket,10,16,2.37
linear,socket,10,32,2.57
linear,socket,10,64,2.55
linear,socket,10,128,4.30
linear,socket,10,256,4.49
linear,socket,10,512,4.71
linear,socket,10,1024,5.15
linear,socket,10,2048,7.73
linear,socket,11,1,2.59
linear,socket,11,2,2.58
linear,socket,11,4,2.59
linear,socket,11,8,2.60
linear,socket,11,16,2.60
linear,socket,11,32,2.70
linear,socket,11,64,2.82
linear,socket,11,128,4.83
linear,socket,11,256,4.89
linear,socket,11,512,5.25
linear,socket,11,1024,5.68
linear,socket,11,2048,7.99
linear,socket,12,1,2.20
linear,socket,12,2,2.48
linear,socket,12,4,2.53
linear,socket,12,8,2.53
linear,socket,12,16,2.53
linear,socket,12,32,2.75
linear,socket,12,64,2.64
linear,socket,12,128,4.74
linear,socket,12,256,4.54
linear,socket,12,512,4.91
linear,socket,12,1024,5.41
linear,socket,12,2048,8.01
linear,socket,13,1,1.90
linear,socket,13,2,2.19
linear,socket,13,4,2.41
linear,socket,13,8,2.46
linear,socket,13,16,2.41
linear,socket,13,32,2.75
linear,socket,13,64,2.59
linear,socket,13,128,5.40
linear,socket,13,256,5.46
linear,socket,13,512,5.97
linear,socket,13,1024,6.43
linear,socket,13,2048,9.07
linear,socket,14,1,2.14
linear,socket,14,2,2.26
linear,socket,14,4,2.40
linear,socket,14,8,2.48
linear,socket,14,16,2.66
linear,socket,14,32,2.92
linear,socket,14,64,2.81
linear,socket,14,128,6.41
linear,socket,14,256,5.99
linear,socket,14,512,6.63
linear,socket,14,1024,7.04
linear,socket,14,2048,9.36
linear,socket,15,1,2.16
linear,socket,15,2,2.44
