Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
bin_tree,core,2,1,0.20
bin_tree,core,2,2,0.21
bin_tree,core,2,4,0.21
bin_tree,core,2,8,0.20
bin_tree,core,2,16,0.20
bin_tree,core,2,32,0.24
bin_tree,core,2,64,0.24
bin_tree,core,2,128,0.31
bin_tree,core,2,256,0.33
bin_tree,core,2,512,0.35
bin_tree,core,2,1024,0.43
bin_tree,core,2,2048,0.56
bin_tree,core,2,4096,0.84
bin_tree,core,2,8192,1.35
bin_tree,core,2,16384,3.08
bin_tree,core,2,32768,5.28
bin_tree,core,2,65536,6.71
bin_tree,core,2,131072,9.72
bin_tree,core,2,262144,15.93
bin_tree,core,2,524288,28.85
bin_tree,core,2,1048576,59.16
bin_tree,core,3,1,0.39
bin_tree,core,3,2,0.39
bin_tree,core,3,4,0.39
bin_tree,core,3,8,0.39
bin_tree,core,3,16,0.39
bin_tree,core,3,32,0.42
bin_tree,core,3,64,0.42
bin_tree,core,3,128,0.51
bin_tree,core,3,256,0.57
bin_tree,core,3,512,0.62
bin_tree,core,3,1024,0.78
bin_tree,core,3,2048,0.99
bin_tree,core,3,4096,1.46
bin_tree,core,3,8192,2.16
bin_tree,core,3,16384,4.80
bin_tree,core,3,32768,7.95
bin_tree,core,3,65536,12.09
bin_tree,core,3,131072,18.88
bin_tree,core,3,262144,32.08
bin_tree,core,3,524288,60.84
bin_tree,core,3,1048576,123.25
bin_tree,core,4,1,0.36
bin_tree,core,4,2,0.35
bin_tree,core,4,4,0.33
bin_tree,core,4,8,0.33
bin_tree,core,4,16,0.33
bin_tree,core,4,32,0.38
bin_tree,core,4,64,0.37
bin_tree,core,4,128,0.54
bin_tree,core,4,256,0.57
bin_tree,core,4,512,0.63
bin_tree,core,4,1024,0.84
bin_tree,core,4,2048,1.15
bin_tree,core,4,4096,1.76
bin_tree,core,4,8192,2.72
bin_tree,core,4,16384,6.67
bin_tree,core,4,32768,11.65
bin_tree,core,4,65536,17.50
bin_tree,core,4,131072,28.21
bin_tree,core,4,262144,49.49
bin_tree,core,4,524288,93.28
bin_tree,core,4,1048576,186.68
bin_tree,core,5,1,0.41
bin_tree,core,5,2,0.41
bin_tree,core,5,4,0.41
bin_tree,core,5,8,0.41
bin_tree,core,5,16,0.40
bin_tree,core,5,32,0.49
bin_tree,core,5,64,0.49
bin_tree,core,5,128,0.64
bin_tree,core,5,256,0.68
bin_tree,core,5,512,0.79
bin_tree,core,5,1024,1.02
bin_tree,core,5,2048,1.38
bin_tree,core,5,4096,2.11
bin_tree,core,5,8192,3.25
bin_tree,core,5,16384,8.69
bin_tree,core,5,32768,13.09
bin_tree,core,5,65536,21.01
bin_tree,core,5,131072,36.41
bin_tree,core,5,262144,68.35
bin_tree,core,5,524288,133.33
bin_tree,core,5,1048576,259.64
bin_tree,core,6,1,0.50
bin_tree,core,6,2,0.49
bin_tree,core,6,4,0.49
bin_tree,core,6,8,0.48
bin_tree,core,6,16,0.49
bin_tree,core,6,32,0.57
bin_tree,core,6,64,0.58
bin_tree,core,6,128,0.81
bin_tree,core,6,256,0.86
bin_tree,core,6,512,0.92
bin_tree,core,6,1024,1.20
bin_tree,core,6,2048,1.65
bin_tree,core,6,4096,2.42
bin_tree,core,6,8192,3.76
bin_tree,core,6,16384,9.33
bin_tree,core,6,32768,14.16
bin_tree,core,6,65536,22.95
bin_tree,core,6,131072,40.97
bin_tree,core,6,262144,77.33
bin_tree,core,6,524288,151.19
bin_tree,core,6,1048576,282.81
bin_tree,core,7,1,0.55
bin_tree,core,7,2,0.55
bin_tree,core,7,4,0.54
bin_tree,core,7,8,0.54
bin_tree,core,7,16,0.54
bin_tree,core,7,32,0.65
bin_tree,core,7,64,0.65
bin_tree,core,7,128,0.93
bin_tree,core,7,256,0.98
bin_tree,core,7,512,1.04
bin_tree,core,7,1024,1.36
bin_tree,core,7,2048,1.85
bin_tree,core,7,4096,2.71
bin_tree,core,7,8192,4.12
bin_tree,core,7,16384,10.33
bin_tree,core,7,32768,15.76
bin_tree,core,7,65536,26.16
bin_tree,core,7,131072,46.51
bin_tree,core,7,262144,87.41
bin_tree,core,7,524288,167.46
bin_tree,core,7,1048576,322.72
bin_tree,core,8,1,0.71
bin_tree,core,8,2,0.71
bin_tree,core,8,4,0.71
bin_tree,core,8,8,0.70
bin_tree,core,8,16,0.69
bin_tree,core,8,32,0.85
bin_tree,core,8,64,0.84
bin_tree,core,8,128,1.14
bin_tree,core,8,256,1.22
bin_tree,core,8,512,1.35
bin_tree,core,8,1024,1.58
bin_tree,core,8,2048,2.10
bin_tree,core,8,4096,3.07
bin_tree,core,8,8192,4.63
bin_tree,core,8,16384,11.90
bin_tree,core,8,32768,17.53
bin_tree,core,8,65536,29.19
bin_tree,core,8,131072,51.65
bin_tree,core,8,262144,98.30
bin_tree,core,8,524288,186.51
bin_tree,core,8,1048576,348.46
bin_tree,core,9,1,1.07
bin_tree,core,9,2,0.97
bin_tree,core,9,4,0.92
bin_tree,core,9,8,0.91
bin_tree,core,9,16,0.90
bin_tree,core,9,32,1.06
bin_tree,core,9,64,1.04
bin_tree,core,9,128,1.31
bin_tree,core,9,256,1.36
bin_tree,core,9,512,1.47
bin_tree,core,9,1024,1.76
bin_tree,core,9,2048,2.30
bin_tree,core,9,4096,3.26
bin_tree,core,9,8192,5.08
bin_tree,core,9,16384,12.62
bin_tree,core,9,32768,18.94
bin_tree,core,9,65536,31.43
bin_tree,core,9,131072,56.61
bin_tree,core,9,262144,106.02
bin_tree,core,9,524288,200.88
bin_tree,core,9,1048576,380.09
bin_tree,core,10,1,0.89
bin_tree,core,10,2,0.89
bin_tree,core,10,4,0.89
bin_tree,core,10,8,0.88
