Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
chain,core,2,1,0.22
chain,core,2,2,0.23
chain,core,2,4,0.22
chain,core,2,8,0.22
chain,core,2,16,0.22
chain,core,2,32,0.29
chain,core,2,64,0.27
chain,core,2,128,0.33
chain,core,2,256,0.35
chain,core,2,512,0.37
chain,core,2,1024,0.44
chain,core,2,2048,0.57
chain,core,2,4096,0.85
chain,core,2,8192,1.35
chain,core,2,16384,3.10
chain,core,2,32768,5.36
chain,core,2,65536,6.78
chain,core,2,131072,9.77
chain,core,2,262144,15.98
chain,core,2,524288,28.92
chain,core,2,1048576,59.30
chain,core,3,1,0.40
chain,core,3,2,0.40
chain,core,3,4,0.40
chain,core,3,8,0.40
chain,core,3,16,0.40
chain,core,3,32,0.42
chain,core,3,64,0.42
chain,core,3,128,0.52
chain,core,3,256,0.56
chain,core,3,512,0.61
chain,core,3,1024,0.78
chain,core,3,2048,0.97
chain,core,3,4096,1.45
chain,core,3,8192,2.16
chain,core,3,16384,4.80
chain,core,3,32768,7.85
chain,core,3,65536,11.83
chain,core,3,131072,18.10
chain,core,3,262144,31.23
chain,core,3,524288,58.98
chain,core,3,1048576,120.06
chain,core,4,1,0.21
chain,core,4,2,0.21
chain,core,4,4,0.21
chain,core,4,8,0.21
chain,core,4,16,0.21
chain,core,4,32,0.27
chain,core,4,64,0.26
chain,core,4,128,0.43
chain,core,4,256,0.47
chain,core,4,512,0.54
chain,core,4,1024,0.73
chain,core,4,2048,1.05
chain,core,4,4096,1.67
chain,core,4,8192,2.56
chain,core,4,16384,5.67
chain,core,4,32768,8.92
chain,core,4,65536,15.06
chain,core,4,131072,27.70
chain,core,4,262144,54.23
chain,core,4,524288,107.85
chain,core,4,1048576,219.28
chain,core,5,1,0.27
chain,core,5,2,0.30
chain,core,5,4,0.28
chain,core,5,8,0.27
chain,core,5,16,0.28
chain,core,5,32,0.35
chain,core,5,64,0.35
chain,core,5,128,0.57
chain,core,5,256,0.62
chain,core,5,512,0.68
chain,core,5,1024,0.92
chain,core,5,2048,1.30
chain,core,5,4096,2.04
chain,core,5,8192,3.08
chain,core,5,16384,5.97
chain,core,5,32768,10.33
chain,core,5,65536,19.19
chain,core,5,131072,35.97
chain,core,5,262144,70.18
chain,core,5,524288,143.27
chain,core,5,1048576,255.20
chain,core,6,1,0.34
chain,core,6,2,0.34
chain,core,6,4,0.34
chain,core,6,8,0.34
chain,core,6,16,0.34
chain,core,6,32,0.43
chain,core,6,64,0.42
chain,core,6,128,0.65
chain,core,6,256,0.70
chain,core,6,512,0.76
chain,core,6,1024,1.05
chain,core,6,2048,1.43
chain,core,6,4096,2.23
chain,core,6,8192,3.44
chain,core,6,16384,7.58
chain,core,6,32768,12.55
chain,core,6,65536,22.05
chain,core,6,131072,40.88
chain,core,6,262144,80.81
chain,core,6,524288,162.43
chain,core,6,1048576,326.28
chain,core,7,1,0.55
chain,core,7,2,0.50
chain,core,7,4,0.48
chain,core,7,8,0.48
chain,core,7,16,0.48
chain,core,7,32,0.57
chain,core,7,64,0.57
chain,core,7,128,0.78
chain,core,7,256,0.84
chain,core,7,512,0.90
chain,core,7,1024,1.24
chain,core,7,2048,1.63
chain,core,7,4096,2.50
chain,core,7,8192,3.81
chain,core,7,16384,8.74
chain,core,7,32768,14.24
chain,core,7,65536,25.50
chain,core,7,131072,47.37
chain,core,7,262144,91.95
chain,core,7,524288,183.48
chain,core,7,1048576,338.69
chain,core,8,1,0.56
chain,core,8,2,0.57
chain,core,8,4,0.57
chain,core,8,8,0.56
chain,core,8,16,0.57
chain,core,8,32,0.66
chain,core,8,64,0.70
chain,core,8,128,1.11
chain,core,8,256,1.14
chain,core,8,512,1.18
chain,core,8,1024,1.47
chain,core,8,2048,1.93
chain,core,8,4096,2.82
chain,core,8,8192,4.33
chain,core,8,16384,9.28
chain,core,8,32768,15.48
