Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
default,core,2,1,0.20
default,core,2,2,0.20
default,core,2,4,0.20
default,core,2,8,0.20
default,core,2,16,0.20
default,core,2,32,0.24
default,core,2,64,0.26
default,core,2,128,0.31
default,core,2,256,0.34
default,core,2,512,0.36
default,core,2,1024,0.42
default,core,2,2048,0.53
default,core,2,4096,0.84
default,core,2,8192,1.33
default,core,2,16384,3.10
default,core,2,32768,5.27
default,core,2,65536,6.73
default,core,2,131072,9.88
default,core,2,262144,16.28
default,core,2,524288,29.49
default,core,2,1048576,63.95
default,core,3,1,0.50
default,core,3,2,0.50
default,core,3,4,0.49
default,core,3,8,0.49
default,core,3,16,0.49
default,core,3,32,0.43
default,core,3,64,0.44
default,core,3,128,0.54
default,core,3,256,0.70
default,core,3,512,0.61
default,core,3,1024,0.77
default,core,3,2048,0.97
default,core,3,4096,1.45
default,core,3,8192,2.15
default,core,3,16384,4.71
default,core,3,32768,7.82
default,core,3,65536,11.91
default,core,3,131072,25.40
default,core,3,262144,31.70
default,core,3,524288,61.65
default,core,3,1048576,125.46
default,core,4,1,0.33
default,core,4,2,0.33
default,core,4,4,0.33
default,core,4,8,0.33
default,core,4,16,0.33
default,core,4,32,0.37
default,core,4,64,0.36
default,core,4,128,0.54
default,core,4,256,0.58
default,core,4,512,0.62
default,core,4,1024,0.83
default,core,4,2048,1.13
default,core,4,4096,1.76
default,core,4,8192,2.55
default,core,4,16384,5.84
default,core,4,32768,9.25
default,core,4,65536,15.25
default,core,4,131072,27.05
default,core,4,262144,53.04
default,core,4,524288,104.00
default,core,4,1048576,233.87
default,core,5,1,0.41
default,core,5,2,0.41
default,core,5,4,0.40
default,core,5,8,0.40
default,core,5,16,0.40
default,core,5,32,0.47
default,core,5,64,0.39
default,core,5,128,0.64
default,core,5,256,0.69
default,core,5,512,0.77
default,core,5,1024,1.01
default,core,5,2048,1.27
default,core,5,4096,1.96
default,core,5,8192,3.06
default,core,5,16384,5.87
default,core,5,32768,10.19
default,core,5,65536,18.88
default,core,5,131072,35.53
default,core,5,262144,69.99
