Algorithm,Allocation,Processes,MessageSize,Avg Latency(us)
linear,core,2,1,0.18
linear,core,2,2,0.19
linear,core,2,4,0.19
linear,core,2,8,0.18
linear,core,2,16,0.18
linear,core,2,32,0.23
linear,core,2,64,0.24
linear,core,2,128,0.30
linear,core,2,256,0.32
linear,core,2,512,0.35
linear,core,2,1024,0.42
linear,core,2,2048,0.53
linear,core,2,4096,0.83
linear,core,2,8192,1.33
linear,core,2,16384,3.09
linear,core,2,32768,5.21
linear,core,2,65536,6.71
linear,core,2,131072,9.85
linear,core,2,262144,16.09
linear,core,2,524288,29.72
linear,core,2,1048576,62.26
linear,core,3,1,0.41
linear,core,3,2,0.40
linear,core,3,4,0.39
linear,core,3,8,0.40
linear,core,3,16,0.39
linear,core,3,32,0.43
linear,core,3,64,0.42
linear,core,3,128,0.56
linear,core,3,256,0.57
linear,core,3,512,0.59
linear,core,3,1024,0.77
linear,core,3,2048,0.97
linear,core,3,4096,1.45
linear,core,3,8192,2.19
linear,core,3,16384,4.78
linear,core,3,32768,7.86
linear,core,3,65536,12.03
linear,core,3,131072,18.92
linear,core,3,262144,32.86
linear,core,3,524288,62.79
linear,core,3,1048576,126.34
linear,core,4,1,0.19
linear,core,4,2,0.20
linear,core,4,4,0.19
linear,core,4,8,0.19
linear,core,4,16,0.19
linear,core,4,32,0.27
linear,core,4,64,0.26
linear,core,4,128,0.43
linear,core,4,256,0.45
linear,core,4,512,0.53
linear,core,4,1024,0.71
linear,core,4,2048,1.03
linear,core,4,4096,1.65
linear,core,4,8192,2.55
linear,core,4,16384,5.66
linear,core,4,32768,8.82
linear,core,4,65536,14.75
linear,core,4,131072,26.44
linear,core,4,262144,51.88
linear,core,4,524288,104.46
linear,core,4,1048576,217.33
linear,core,5,1,0.25
linear,core,5,2,0.25
linear,core,5,4,0.25
linear,core,5,8,0.25
linear,core,5,16,0.25
linear,core,5,32,0.31
linear,core,5,64,0.31
linear,core,5,128,0.55
linear,core,5,256,0.62
linear,core,5,512,0.64
linear,core,5,1024,0.89
linear,core,5,2048,1.27
linear,core,5,4096,2.03
linear,core,5,8192,3.06
linear,core,5,16384,5.70
linear,core,5,32768,10.07
linear,core,5,65536,18.20
linear,core,5,131072,34.58
linear,core,5,262144,68.00
linear,core,5,524288,138.47
linear,core,5,1048576,268.28
linear,core,6,1,0.32
linear,core,6,2,0.31
linear,core,6,4,0.32
linear,core,6,8,0.32
linear,core,6,16,0.32
linear,core,6,32,0.44
linear,core,6,64,0.42
linear,core,6,128,0.69
linear,core,6,256,0.74
linear,core,6,512,0.77
linear,core,6,1024,1.07
linear,core,6,2048,1.50
linear,core,6,4096,2.39
linear,core,6,8192,3.58
linear,core,6,16384,6.55
linear,core,6,32768,10.93
linear,core,6,65536,20.94
linear,core,6,131072,40.88
linear,core,6,262144,81.77
linear,core,6,524288,166.16
linear,core,6,1048576,306.58
linear,core,7,1,0.35
linear,core,7,2,0.37
linear,core,7,4,0.35
linear,core,7,8,0.36
linear,core,7,16,0.35
linear,core,7,32,0.51
linear,core,7,64,0.45
linear,core,7,128,0.81
linear,core,7,256,0.84
linear,core,7,512,0.87
linear,core,7,1024,1.26
linear,core,7,2048,1.74
linear,core,7,4096,2.71
linear,core,7,8192,4.06
linear,core,7,16384,7.60
linear,core,7,32768,12.68
linear,core,7,65536,24.02
