Size,Cores,Time
240000000,65,6.315376
240000000,65,7.348485
240000000,65,6.828387
240000000,65,6.422926
240000000,65,6.230549
240000000,66,7.117909
240000000,66,6.914642
240000000,66,7.286625
240000000,66,6.858495
240000000,66,7.021981
240000000,67,8.756016
240000000,67,7.862413
240000000,67,6.641687
240000000,67,7.263689
240000000,67,7.612230
240000000,68,6.726614
240000000,68,6.831948
240000000,68,7.316644
240000000,68,6.936564
240000000,68,6.254012
240000000,69,6.401948
240000000,69,6.903023
240000000,69,7.091525
240000000,69,7.717655
240000000,69,6.892886
240000000,70,8.298858
240000000,70,6.271990
240000000,70,5.725816
240000000,70,5.800968
240000000,70,7.222507
240000000,71,6.102940
240000000,71,6.741712
240000000,71,7.584541
240000000,71,6.141200
240000000,71,9.398536
240000000,72,6.655696
240000000,72,7.619236
240000000,72,6.355481
240000000,72,7.892450
240000000,72,8.458501
240000000,73,6.686340
240000000,73,7.114243
240000000,73,6.657621
240000000,73,7.066791
240000000,73,6.900153
240000000,74,6.375320
240000000,74,7.391145
240000000,74,6.578887
240000000,74,6.506556
240000000,74,6.654126
240000000,75,6.289986
240000000,75,5.641525
240000000,75,6.298696
240000000,75,7.543262
240000000,75,5.661239
240000000,76,6.814110
240000000,76,5.717441
240000000,76,6.397160
240000000,76,6.148463
240000000,76,6.051257
240000000,77,5.981960
240000000,77,6.313782
240000000,77,6.460197
240000000,77,6.539484
240000000,77,6.616180
240000000,78,7.815518
240000000,78,5.509441
240000000,78,6.659662
240000000,78,6.464095
240000000,78,6.164517
240000000,79,5.569725
240000000,79,6.450718
240000000,79,6.150925
240000000,79,6.694560
240000000,79,6.158728
240000000,80,5.975098
240000000,80,6.735201
240000000,80,6.451546
240000000,80,6.110284
240000000,80,6.505271
240000000,81,7.058756
240000000,81,6.248903
240000000,81,6.195534
240000000,81,7.209295
240000000,81,6.159893
240000000,82,5.643832
240000000,82,6.134856
240000000,82,6.360246
240000000,82,6.248313
240000000,82,5.835629
240000000,83,6.073884
240000000,83,7.132967
240000000,83,5.980125
240000000,83,6.228019
240000000,83,6.998800
240000000,84,6.474898
240000000,84,5.869721
240000000,84,6.659425
240000000,84,6.472465
240000000,84,6.544609
240000000,85,5.856898
240000000,85,5.987488
240000000,85,6.363780
240000000,85,6.566709
240000000,85,5.872267
240000000,86,6.378928
240000000,86,6.076461
240000000,86,6.199638
240000000,86,7.583334
240000000,86,6.136965
240000000,87,6.202134
240000000,87,6.005687
240000000,87,6.003226
240000000,87,5.873731
240000000,87,5.849437
240000000,88,6.260609
240000000,88,6.312234
240000000,88,6.168601
240000000,88,6.001962
240000000,88,5.662925
240000000,89,6.056109
240000000,89,6.787868
240000000,89,7.108999
240000000,89,6.058690
240000000,89,6.208213
240000000,90,6.605170
240000000,90,6.509511
240000000,90,5.682092
240000000,90,6.175473
240000000,90,6.070619
240000000,91,6.228096
240000000,91,5.855679
240000000,91,5.503025
240000000,91,6.979786
240000000,91,6.460196
240000000,92,7.595896
240000000,92,6.521558
240000000,92,6.706660
240000000,92,6.092993
240000000,92,6.165945
240000000,93,6.600894
240000000,93,5.966449
240000000,93,5.374012
240000000,93,6.176132
