Size,Cores,Time
240000000,1,79.726683
240000000,1,63.577357
240000000,1,63.504468
240000000,1,63.449714
240000000,1,69.663567
240000000,2,22.667380
240000000,2,19.480427
240000000,2,29.410821
240000000,2,23.747755
240000000,2,27.830711
240000000,3,26.375369
240000000,3,29.636635
240000000,3,29.089488
240000000,3,27.630813
240000000,3,29.375897
240000000,4,19.182359
240000000,4,23.086199
240000000,4,18.416626
240000000,4,20.600303
240000000,4,24.252585
240000000,5,26.181401
240000000,5,28.329183
240000000,5,38.605361
240000000,5,29.808008
240000000,5,27.162381
240000000,6,26.742837
240000000,6,20.447454
240000000,6,24.841592
240000000,6,23.919367
240000000,6,18.043325
240000000,7,24.353001
240000000,7,20.278708
240000000,7,19.689421
240000000,7,22.813646
240000000,7,23.670901
240000000,8,17.947701
240000000,8,15.969808
240000000,8,23.112084
240000000,8,23.343748
240000000,8,20.459259
240000000,9,28.183930
240000000,9,25.647926
240000000,9,26.323636
240000000,9,24.596733
240000000,9,24.628192
240000000,10,15.202527
240000000,10,17.027249
240000000,10,17.114215
240000000,10,17.089281
240000000,10,21.308228
240000000,11,16.356267
240000000,11,20.507783
240000000,11,15.049418
240000000,11,14.542977
240000000,11,14.631123
240000000,12,15.164272
240000000,12,13.598256
240000000,12,17.471008
240000000,12,16.441316
240000000,12,18.511734
240000000,13,16.572794
240000000,13,14.921839
240000000,13,15.684155
240000000,13,17.507569
240000000,13,17.439643
240000000,14,13.574030
240000000,14,13.047503
240000000,14,13.051339
240000000,14,16.221289
240000000,14,21.914769
240000000,15,10.985396
240000000,15,13.102215
240000000,15,13.250902
240000000,15,15.212174
240000000,15,12.430776
240000000,16,15.813350
240000000,16,14.191598
240000000,16,13.302717
240000000,16,13.387530
240000000,16,15.026437
240000000,17,13.473064
240000000,17,14.085154
240000000,17,18.844855
240000000,17,15.386771
240000000,17,14.183191
240000000,18,13.324897
240000000,18,16.252446
240000000,18,16.077264
240000000,18,12.576220
240000000,18,12.834073
240000000,19,15.328179
240000000,19,13.401901
240000000,19,14.029955
240000000,19,16.859420
240000000,19,17.537981
240000000,20,12.879234
240000000,20,20.451420
240000000,20,12.223872
240000000,20,15.967510
240000000,20,11.055655
240000000,21,13.475935
240000000,21,11.055334
240000000,21,11.062352
240000000,21,13.352471
240000000,21,14.356896
240000000,22,15.776829
240000000,22,11.195397
240000000,22,11.231551
240000000,22,10.248815
240000000,22,11.106997
240000000,23,10.699536
240000000,23,13.103840
240000000,23,10.798185
240000000,23,10.027632
240000000,23,12.129515
240000000,24,12.748769
240000000,24,10.479570
240000000,24,13.397742
240000000,24,11.792036
240000000,24,11.327674
240000000,25,11.986524
240000000,25,9.840535
240000000,25,11.701727
240000000,25,11.689241
240000000,25,11.152925
240000000,26,14.088009
240000000,26,9.587990
240000000,26,12.279050
240000000,26,12.183742
240000000,26,10.434304
240000000,27,10.464902
240000000,27,9.263104
240000000,27,9.515949
240000000,27,10.197519
240000000,27,12.146952
240000000,28,8.242993
240000000,28,9.393736
240000000,28,11.246529
240000000,28,9.984452
240000000,28,10.064045
240000000,29,9.192429
240000000,29,11.018158
240000000,29,10.203938
240000000,29,10.602632
240000000,29,8.711322
240000000,30,8.923299
240000000,30,9.291837
240000000,30,9.604096
240000000,30,9.262072
240000000,30,8.383546
240000000,31,9.107941
240000000,31,8.771003
240000000,31,8.171100
240000000,31,10.877817
240000000,31,11.564542
240000000,32,7.225541
240000000,32,8.291710
240000000,32,7.707659
240000000,32,8.466761
240000000,32,8.655196
240000000,33,9.299957
240000000,33,9.007310
240000000,33,10.840791
240000000,33,8.952620
240000000,33,12.054985
240000000,34,8.567803
240000000,34,11.383549
240000000,34,10.816444
240000000,34,10.918573
240000000,34,9.488374
240000000,35,9.978804
240000000,35,11.177817
240000000,35,10.024204
240000000,35,8.670751
240000000,35,9.259852
240000000,36,10.045959
240000000,36,8.667120
240000000,36,8.898215
240000000,36,8.412964
240000000,36,8.245578
240000000,37,10.421103
240000000,37,9.943725
240000000,37,10.562741
240000000,37,12.636539
240000000,37,9.612081
240000000,38,8.926398
240000000,38,9.742381
240000000,38,9.960901
240000000,38,10.715330
240000000,38,9.763246
240000000,39,8.169253
240000000,39,8.703482
240000000,39,9.088128
240000000,39,8.243616
240000000,39,9.590865
240000000,40,8.694312
240000000,40,6.987009
240000000,40,8.789233
240000000,40,10.767094
240000000,40,8.811749
240000000,41,8.604550
240000000,41,8.912701
240000000,41,8.603127
240000000,41,9.141580
240000000,41,8.223037
240000000,42,7.794559
240000000,42,8.934678
240000000,42,8.066175
240000000,42,8.570282
240000000,42,9.020494
240000000,43,9.409423
240000000,43,10.327290
240000000,43,8.518272
240000000,43,9.784104
240000000,43,7.885274
240000000,44,7.862483
240000000,44,9.489240
240000000,44,10.188565
240000000,44,8.656614
240000000,44,8.458073
240000000,45,9.423818
240000000,45,8.397682
240000000,45,7.907252
240000000,45,7.970347
240000000,45,8.607373
240000000,46,8.082047
240000000,46,7.711771
240000000,46,8.252309
240000000,46,8.047469
240000000,46,6.845193
240000000,47,7.379829
240000000,47,7.565201
240000000,47,8.936225
240000000,47,7.007649
240000000,47,8.016057
240000000,48,7.133609
240000000,48,6.755207
240000000,48,9.114591
240000000,48,6.934882
240000000,48,9.757669
240000000,49,6.908443
240000000,49,7.292737
240000000,49,8.323179
240000000,49,7.204028
240000000,49,8.205197
240000000,50,9.844867
240000000,50,7.979092
240000000,50,7.331390
240000000,50,8.217589
240000000,50,7.225756
240000000,51,7.817368
240000000,51,8.493768
240000000,51,7.974690
240000000,51,9.887872
240000000,51,7.580775
240000000,52,7.288441
240000000,52,7.177181
240000000,52,7.678938
240000000,52,7.717574
240000000,52,8.336769
240000000,53,6.736703
240000000,53,6.760247
240000000,53,7.485047
240000000,53,7.575733
240000000,53,7.484661
240000000,54,9.580327
240000000,54,7.252600
240000000,54,7.760763
240000000,54,6.974451
240000000,54,7.554610
240000000,55,7.806343
240000000,55,7.901789
240000000,55,6.595347
240000000,55,7.345431
240000000,55,7.564663
240000000,56,6.360670
240000000,56,8.022107
240000000,56,7.214502
240000000,56,7.413925
240000000,56,7.781325
240000000,57,7.680419
240000000,57,7.134340
240000000,57,8.239993
240000000,57,7.407276
240000000,57,7.396224
240000000,58,7.203920
240000000,58,7.053857
240000000,58,7.405681
240000000,58,7.269209
240000000,58,7.876931
240000000,59,6.937498
240000000,59,6.812657
240000000,59,6.590178
240000000,59,7.014278
240000000,59,6.627837
240000000,60,7.540647
240000000,60,7.217586
240000000,60,5.821854
240000000,60,6.472022
240000000,60,6.322543
240000000,61,7.034761
240000000,61,7.241251
240000000,61,6.679594
240000000,61,7.337000
240000000,61,6.510034
240000000,62,6.638502
240000000,62,7.187516
240000000,62,6.711656
240000000,62,6.505501
240000000,62,6.470547
240000000,63,6.982984
240000000,63,6.192480
240000000,63,7.349981
240000000,63,6.229344
240000000,63,6.836055
240000000,64,7.414995
240000000,64,7.693836
240000000,64,5.817193
240000000,64,7.057373
240000000,64,6.797121
