Size,Cores,Time
156000000,65,4.275350
156000000,65,4.991451
156000000,65,3.999078
156000000,65,5.469089
156000000,65,4.881606
158400000,66,4.471043
158400000,66,4.342241
158400000,66,4.917247
158400000,66,4.053721
160800000,67,4.644201
160800000,67,5.177331
160800000,67,5.895391
160800000,67,4.657777
160800000,67,4.616845
163200000,68,4.984356
163200000,68,4.669700
163200000,68,5.391056
163200000,68,4.995571
163200000,68,4.281341
165600000,69,4.488520
165600000,69,4.464699
165600000,69,4.124167
165600000,69,5.554033
165600000,69,4.461834
168000000,70,5.031297
168000000,70,4.333475
168000000,70,5.478827
168000000,70,4.057490
168000000,70,4.638407
170400000,71,4.985803
170400000,71,5.049862
170400000,71,4.704807
170400000,71,6.411224
170400000,71,4.910309
172800000,72,5.161774
172800000,72,4.448121
172800000,72,4.996103
172800000,72,4.844711
172800000,72,4.565353
175200000,73,5.469060
175200000,73,5.091233
175200000,73,5.328876
175200000,73,4.682702
175200000,73,4.849526
177600000,74,4.816540
177600000,74,4.921107
177600000,74,4.984983
177600000,74,4.968953
177600000,74,4.816901
180000000,75,4.504691
180000000,75,7.290704
180000000,75,4.843998
180000000,75,4.617241
180000000,75,5.013844
182400000,76,5.646531
182400000,76,5.079591
182400000,76,5.047311
182400000,76,4.828915
182400000,76,5.332392
184800000,77,4.711829
184800000,77,5.050218
184800000,77,5.258351
184800000,77,5.826472
184800000,77,5.749230
187200000,78,5.527873
187200000,78,4.880617
187200000,78,4.665549
187200000,78,4.601674
187200000,78,7.132500
189600000,79,5.141959
189600000,79,4.875288
189600000,79,5.348096
189600000,79,6.453634
189600000,79,6.000251
192000000,80,4.714086
192000000,80,5.422526
192000000,80,5.143812
192000000,80,5.686900
192000000,80,4.860145
194400000,81,4.949344
194400000,81,5.418083
194400000,81,5.400608
194400000,81,4.757698
194400000,81,4.864405
196800000,82,5.266275
196800000,82,5.354661
196800000,82,5.199721
196800000,82,5.550131
196800000,82,5.077952
199200000,83,5.506825
199200000,83,6.758298
199200000,83,5.240049
199200000,83,5.234013
199200000,83,5.607308
201600000,84,6.672988
201600000,84,5.174059
201600000,84,4.960501
201600000,84,5.035021
201600000,84,5.302030
204000000,85,6.336486
204000000,85,5.443652
204000000,85,5.352845
204000000,85,5.797887
204000000,85,4.532669
206400000,86,5.534770
206400000,86,5.138175
206400000,86,6.173908
206400000,86,5.395346
206400000,86,5.902827
208800000,87,5.099443
208800000,87,5.822858
208800000,87,5.643627
208800000,87,5.858004
208800000,87,5.557537
211200000,88,5.700230
211200000,88,5.943624
211200000,88,5.140718
211200000,88,5.741069
211200000,88,4.734489
213600000,89,5.312674
213600000,89,5.830032
213600000,89,5.176802
213600000,89,5.375689
213600000,89,5.610834
216000000,90,5.437379
216000000,90,5.414275
216000000,90,5.467786
216000000,90,5.321820
216000000,90,5.781777
218400000,91,5.225152
218400000,91,5.576635
218400000,91,5.620603
218400000,91,5.650407
218400000,91,5.831093
220800000,92,6.065568
220800000,92,5.504339
220800000,92,6.167505
220800000,92,5.446078
220800000,92,5.481006
223200000,93,5.857795
223200000,93,5.688933
223200000,93,5.896021
223200000,93,6.065464
223200000,93,5.746362
225600000,94,5.502638
225600000,94,6.111102
225600000,94,5.659004
225600000,94,6.224650
225600000,94,5.358420
228000000,95,5.488863
228000000,95,6.927234
228000000,95,5.578055
228000000,95,6.346432
228000000,95,5.947178
230400000,96,5.860573
230400000,96,5.261371
230400000,96,5.792221
230400000,96,5.966471
230400000,96,5.549391
232800000,97,5.723784
232800000,97,6.138418
232800000,97,5.769984
232800000,97,6.259796
232800000,97,5.678395
235200000,98,6.103106
235200000,98,6.037672
235200000,98,6.698120
235200000,98,6.721316
235200000,98,6.510666
237600000,99,6.628434
237600000,99,6.498023
237600000,99,5.737547
237600000,99,6.805472
237600000,99,5.927402
240000000,100,7.262305
240000000,100,5.754892
240000000,100,6.654237
240000000,100,6.181367
240000000,100,5.847015
242400000,101,5.959835
242400000,101,6.743433
242400000,101,7.063633
242400000,101,6.348829
242400000,101,8.252982
244800000,102,6.696345
244800000,102,6.318366
244800000,102,6.386782
244800000,102,7.367158
244800000,102,6.229320
247200000,103,5.987067
247200000,103,7.081795
247200000,103,6.551984
247200000,103,6.367344
247200000,103,5.616222
249600000,104,6.643395
249600000,104,6.091835
249600000,104,6.477618
249600000,104,6.462436
249600000,104,6.470994
252000000,105,6.548306
252000000,105,7.282155
252000000,105,6.684362
252000000,105,6.290036
252000000,105,6.344008
254400000,106,6.153197
254400000,106,6.019969
254400000,106,6.282554
254400000,106,7.515097
254400000,106,6.383352
256800000,107,7.379305
256800000,107,5.802413
256800000,107,6.433748
256800000,107,6.225501
256800000,107,6.799435
259200000,108,6.380802
259200000,108,6.138865
259200000,108,6.179579
259200000,108,6.638818
259200000,108,6.942055
261600000,109,6.405585
261600000,109,6.457783
261600000,109,6.573522
261600000,109,6.865331
261600000,109,7.377660
264000000,110,6.643629
264000000,110,6.406477
264000000,110,6.289631
264000000,110,7.194733
264000000,110,6.285492
266400000,111,6.684402
266400000,111,6.111958
266400000,111,6.694815
266400000,111,6.963877
266400000,111,6.521386
268800000,112,6.556057
268800000,112,6.451990
268800000,112,6.788807
268800000,112,6.666923
268800000,112,6.276046
271200000,113,6.812928
271200000,113,6.322528
271200000,113,7.769473
271200000,113,6.475318
271200000,113,6.868868
273600000,114,6.573021
273600000,114,6.611889
273600000,114,6.238662
273600000,114,6.636892
273600000,114,6.993411
276000000,115,6.443760
