Size,Cores,Time
24000000,1,5.532532
24000000,1,5.502190
24000000,1,5.512543
24000000,1,5.474623
24000000,1,5.533776
24000000,1,1.667528
24000000,1,1.655944
24000000,1,1.664343
24000000,1,1.662505
24000000,1,1.669950
48000000,2,5.557817
48000000,2,3.973547
48000000,2,5.611286
48000000,2,3.986871
48000000,2,5.675408
72000000,3,9.458251
72000000,3,7.619663
72000000,3,9.929539
72000000,3,7.449266
72000000,3,8.074759
96000000,4,9.078069
96000000,4,11.074077
96000000,4,6.456774
96000000,4,6.749234
96000000,4,7.424460
120000000,5,12.228217
120000000,5,13.896274
120000000,5,12.515833
120000000,5,15.973162
120000000,5,14.409001
144000000,6,13.169954
144000000,6,12.496020
144000000,6,10.139366
144000000,6,11.082099
144000000,6,12.054811
168000000,7,13.659453
168000000,7,13.197067
168000000,7,18.361338
168000000,7,13.944612
168000000,7,16.451375
192000000,8,15.644131
192000000,8,12.049551
192000000,8,13.740132
192000000,8,13.483882
192000000,8,16.502747
216000000,9,16.179071
216000000,9,19.011169
216000000,9,18.245435
