Size,Cores,Time
2400000,1,0.537070
2400000,1,0.537030
2400000,1,0.537129
2400000,1,0.537594
2400000,1,0.537283
4800000,2,0.496225
4800000,2,0.352250
4800000,2,0.455272
4800000,2,0.401562
4800000,2,0.327600
7200000,3,0.969250
7200000,3,0.712483
7200000,3,0.793357
7200000,3,0.811724
7200000,3,0.713440
9600000,4,0.725075
9600000,4,0.807579
9600000,4,0.715714
9600000,4,0.920468
9600000,4,0.692818
12000000,5,1.337932
12000000,5,1.231529
12000000,5,1.107144
12000000,5,1.172066
12000000,5,1.217833
14400000,6,1.117642
14400000,6,1.402290
14400000,6,1.241845
14400000,6,1.573609
14400000,6,1.399812
16800000,7,1.516222
16800000,7,1.241674
16800000,7,1.120758
16800000,7,1.416721
16800000,7,1.297541
19200000,8,1.036624
19200000,8,1.028003
19200000,8,1.092734
19200000,8,1.134084
19200000,8,0.981049
21600000,9,2.027556
21600000,9,1.701748
21600000,9,1.817188
21600000,9,1.645244
21600000,9,1.760433
24000000,10,1.657352
24000000,10,1.444098
24000000,10,2.244369
24000000,10,1.660634
24000000,10,2.172386
26400000,11,1.649946
26400000,11,2.208834
26400000,11,2.361412
26400000,11,1.784267
26400000,11,1.596770
28800000,12,2.055845
28800000,12,2.461696
28800000,12,2.631434
28800000,12,1.568414
28800000,12,2.036635
31200000,13,1.992906
31200000,13,2.130877
31200000,13,2.017273
31200000,13,2.650397
31200000,13,2.141069
33600000,14,1.762663
33600000,14,1.790639
33600000,14,1.982291
33600000,14,1.748506
33600000,14,1.662467
36000000,15,2.346526
36000000,15,2.018696
36000000,15,1.763727
36000000,15,1.758569
36000000,15,1.948021
38400000,16,1.367213
38400000,16,1.943872
38400000,16,1.611527
38400000,16,1.716431
38400000,16,1.632999
40800000,17,2.863165
40800000,17,2.790478
40800000,17,2.141509
40800000,17,2.752121
40800000,17,2.675229
43200000,18,3.000355
43200000,18,2.372569
43200000,18,2.940508
43200000,18,2.361462
43200000,18,2.474702
45600000,19,2.497835
45600000,19,3.165447
45600000,19,2.833780
45600000,19,2.401338
45600000,19,2.113783
48000000,20,2.202758
48000000,20,2.359659
48000000,20,2.380293
48000000,20,1.956889
48000000,20,2.289827
50400000,21,2.634100
50400000,21,2.505984
50400000,21,2.596110
50400000,21,2.429760
50400000,21,2.217379
52800000,22,2.186948
52800000,22,2.328787
52800000,22,2.301428
52800000,22,2.320790
52800000,22,2.451014
55200000,23,2.874449
55200000,23,2.303050
55200000,23,2.517096
55200000,23,2.066447
55200000,23,2.278157
57600000,24,1.933445
57600000,24,2.226839
57600000,24,2.708060
57600000,24,2.113161
57600000,24,2.738699
60000000,25,2.891330
60000000,25,2.872880
60000000,25,2.498676
60000000,25,2.237967
60000000,25,2.543100
62400000,26,2.928273
62400000,26,2.582176
62400000,26,2.105843
62400000,26,2.239775
62400000,26,2.815734
64800000,27,2.412289
64800000,27,2.907010
64800000,27,2.431772
64800000,27,2.642702
64800000,27,2.453368
67200000,28,2.207092
67200000,28,2.453298
67200000,28,3.323782
67200000,28,3.282327
67200000,28,3.425737
69600000,29,3.093199
69600000,29,2.908643
69600000,29,2.824563
69600000,29,2.212845
69600000,29,3.063872
72000000,30,2.700450
72000000,30,3.104224
72000000,30,2.357653
72000000,30,2.604645
72000000,30,3.008697
74400000,31,2.713465
74400000,31,2.329975
74400000,31,2.286675
74400000,31,2.365767
74400000,31,2.543886
76800000,32,2.230349
76800000,32,2.285822
76800000,32,2.310580
76800000,32,2.944747
76800000,32,2.152206
79200000,33,2.846469
79200000,33,3.055930
79200000,33,2.739212
79200000,33,3.314583
79200000,33,3.345326
81600000,34,3.209826
81600000,34,3.818836
81600000,34,2.781146
81600000,34,2.744582
81600000,34,2.812488
84000000,35,3.301039
84000000,35,3.167778
84000000,35,2.826697
84000000,35,3.213471
84000000,35,2.975871
86400000,36,3.123627
86400000,36,3.267550
86400000,36,3.130805
86400000,36,3.471080
86400000,36,3.021064
88800000,37,2.830934
88800000,37,3.166767
88800000,37,3.299124
88800000,37,3.588557
88800000,37,3.731749
91200000,38,4.264403
91200000,38,3.367845
91200000,38,3.065756
91200000,38,3.407674
91200000,38,3.256328
93600000,39,2.881321
93600000,39,3.861424
93600000,39,2.969841
93600000,39,3.283073
93600000,39,3.517631
96000000,40,3.336308
96000000,40,3.520002
96000000,40,3.164682
96000000,40,3.616886
96000000,40,3.111006
98400000,41,3.976568
98400000,41,4.047887
98400000,41,3.224164
98400000,41,2.922602
98400000,41,3.557488
100800000,42,3.120066
100800000,42,3.070389
100800000,42,3.203998
100800000,42,2.818094
100800000,42,3.156109
103200000,43,3.396579
103200000,43,4.433926
103200000,43,3.671620
103200000,43,4.003180
103200000,43,3.685376
105600000,44,3.279522
105600000,44,3.441822
105600000,44,3.254559
105600000,44,3.346622
105600000,44,4.476112
108000000,45,4.477294
108000000,45,3.226483
108000000,45,3.642283
108000000,45,3.702988
108000000,45,3.110543
110400000,46,4.040242
110400000,46,3.405566
110400000,46,3.824765
110400000,46,3.210570
110400000,46,3.776000
112800000,47,3.793818
112800000,47,3.537343
112800000,47,3.675791
112800000,47,3.209549
112800000,47,3.837842
115200000,48,3.657149
